id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
618,Raheem Sterling,33,2678,20,19.799912065267563,1,7.208590239286423,100,48,5,0,F M S,Manchester City,20,18.277569144964218,31.442028179764748,10.186004303395748,Manchester City,2019,EPL
619,Sergio Agüero,24,1462,16,15.557497031986713,3,2.920210164040327,76,19,1,0,F S,Manchester City,14,13.274028159677982,16.878257554024458,2.6447667879983783,Manchester City,2019,EPL
447,Kevin De Bruyne,35,2818,14,8.106427356600761,20,20.620712891221046,100,133,3,0,M S,Manchester City,12,6.5840903371572495,37.79830400645733,19.244827073067427,Manchester City,2019,EPL
5543,Gabriel Jesus,34,2022,14,21.01520355977118,7,3.5988585241138935,101,32,3,0,F S,Manchester City,14,20.254034588113427,27.65223414450884,7.181312914937735,Manchester City,2019,EPL
750,Riyad Mahrez,33,1938,11,8.649655694141984,9,11.059849355369806,74,60,0,0,F M S,Manchester City,10,7.888486390933394,27.765530444681644,13.285876329988241,Manchester City,2019,EPL
3635,Bernardo Silva,34,2020,6,7.420338202267885,7,6.312828056514263,52,51,5,0,F M S,Manchester City,6,7.420338202267885,23.837779246270657,14.727361917495728,Manchester City,2019,EPL
617,David Silva,27,1846,5,6.932368505746126,10,7.650991026312113,46,49,0,0,M S,Manchester City,5,6.932368505746126,24.6870179772377,12.764222756028175,Manchester City,2019,EPL
6055,Phil Foden,23,888,5,3.556827375665307,2,1.5590799991041422,34,18,0,0,F M S,Manchester City,5,3.556827375665307,9.372161615639925,5.848771080374718,Manchester City,2019,EPL
2496,Rodri,35,2488,3,0.7440792061388493,2,2.910294508561492,24,33,8,0,D M S,Manchester City,3,0.7440792061388493,22.697251569479704,21.21717146784067,Manchester City,2019,EPL
314,Ilkay Gündogan,31,2006,2,4.346704069525003,1,2.919196816161275,32,34,7,0,M S,Manchester City,1,2.8244022112339735,19.26157533749938,15.24622729793191,Manchester City,2019,EPL
611,Nicolás Otamendi,24,1705,2,2.0548217091709375,0,0.1775842010974884,15,4,3,0,D S,Manchester City,2,2.0548217091709375,10.63933565095067,10.601855654269457,Manchester City,2019,EPL
638,Kyle Walker,29,2407,1,1.3122373102232814,4,1.9309353735297918,14,19,5,0,D S,Manchester City,1,1.3122373102232814,17.875285930931568,16.14107497781515,Manchester City,2019,EPL
2498,Aymeric Laporte,15,1112,1,0.7192277908325195,0,0.17903700098395348,4,3,1,0,D S,Manchester City,1,0.7192277908325195,7.432041570544243,7.252393588423729,Manchester City,2019,EPL
337,Leroy Sané,1,6,0,0.0981592983007431,0,0,2,0,0,0,S,Manchester City,0,0.0981592983007431,0.17216899991035461,0.12103500217199326,Manchester City,2019,EPL
586,John Stones,16,1114,0,0.5476329140365124,0,0.06062990054488182,6,2,0,0,D S,Manchester City,0,0.5476329140365124,6.485635861754417,6.46672286093235,Manchester City,2019,EPL
614,Fernandinho,30,2401,0,0.7617601957172155,1,0.4479130953550339,16,8,7,2,D M S,Manchester City,0,0.7617601957172155,16.46185427904129,16.192967295646667,Manchester City,2019,EPL
1040,Angelino,6,417,0,0.2092329002916813,0,1.9232037886977196,5,9,1,0,D S,Manchester City,0,0.2092329002916813,2.7633529901504517,2.369253024458885,Manchester City,2019,EPL
1731,Claudio Bravo,4,347,0,0,0,0,0,0,0,0,GK S,Manchester City,0,0,0.7041245102882385,0.7041245102882385,Manchester City,2019,EPL
2379,João Cancelo,17,1198,0,0.5605656001716852,0,2.9995753997936845,15,17,4,0,D S,Manchester City,0,0.5605656001716852,14.226686300709844,11.60988806374371,Manchester City,2019,EPL
2958,Oleksandr Zinchenko,19,1265,0,0.4770019007846713,0,2.0930051282048225,16,20,0,1,D S,Manchester City,0,0.4770019007846713,10.344594731926918,9.809204554185271,Manchester City,2019,EPL
3389,Benjamin Mendy,19,1508,0,0.3174634035676718,3,1.6260080877691507,10,21,3,0,D S,Manchester City,0,0.3174634035676718,10.95017634704709,10.008164498955011,Manchester City,2019,EPL
6054,Ederson,35,3071,0,0,0,0.07479359954595566,0,1,3,1,GK,Manchester City,0,0,8.338198896497488,8.26340490207076,Manchester City,2019,EPL
8045,Eric Garcia,13,780,0,0.6039479970932007,0,0.22260919585824013,2,2,1,0,D S,Manchester City,0,0.6039479970932007,4.964903242886066,4.964903242886066,Manchester City,2019,EPL
8496,Tommy Doyle,1,13,0,0.07760050147771835,0,0,1,0,0,0,S,Manchester City,0,0.07760050147771835,0.07760050147771835,0,Manchester City,2019,EPL
