id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
11650,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '0.380551', 'a': '1.13309'}",2019-08-11 14:00:00,"{'w': 0.12399782114521282, 'd': 0.3257518471227929, 'l': 0.5502503317302676}",l,Newcastle United,2019,EPL
11657,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '1'}","{'h': '2.09572', 'a': '0.920429'}",2019-08-17 15:00:00,"{'w': 0.6444382498357416, 'd': 0.20010026387122143, 'l': 0.1554614791520794}",l,Newcastle United,2019,EPL
11672,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '1'}","{'h': '1.25927', 'a': '0.51428'}",2019-08-25 16:30:00,"{'w': 0.5496096238234834, 'd': 0.29877933980431687, 'l': 0.15161103636472084}",w,Newcastle United,2019,EPL
11679,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '1'}","{'h': '1.04131', 'a': '1.1068'}",2019-08-31 15:00:00,"{'w': 0.3357026361854515, 'd': 0.29530126639986054, 'l': 0.36899609741291434}",d,Newcastle United,2019,EPL
11683,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '1'}","{'h': '2.93281', 'a': '0.291073'}",2019-09-14 11:30:00,"{'w': 0.8985248284927656, 'd': 0.08175286633955148, 'l': 0.01972179727252179}",l,Newcastle United,2019,EPL
11699,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '0'}","{'h': '1.09807', 'a': '1.21592'}",2019-09-21 16:30:00,"{'w': 0.3299625743710501, 'd': 0.2820419566633465, 'l': 0.38799546895988485}",d,Newcastle United,2019,EPL
11710,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '5', 'a': '0'}","{'h': '1.82438', 'a': '0.054134'}",2019-09-29 15:30:00,"{'w': 0.8227904108807647, 'd': 0.16828613175448395, 'l': 0.00892345621638917}",l,Newcastle United,2019,EPL
11721,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '0'}","{'h': '0.650296', 'a': '0.969204'}",2019-10-06 16:30:00,"{'w': 0.2377171949977939, 'd': 0.3438853373360854, 'l': 0.41839746766592656}",w,Newcastle United,2019,EPL
11725,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '0'}","{'h': '2.30068', 'a': '0.197082'}",2019-10-19 15:00:00,"{'w': 0.8538261636002783, 'd': 0.12401913301202812, 'l': 0.02215467946008335}",l,Newcastle United,2019,EPL
11738,True,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '0.603104', 'a': '1.93255'}",2019-10-27 14:00:00,"{'w': 0.10692536473324776, 'd': 0.20218185413444595, 'l': 0.6908927786685178}",d,Newcastle United,2019,EPL
