id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
11643,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '4', 'a': '1'}","{'h': '2.23456', 'a': '0.842407'}",2019-08-09 20:00:00,"{'w': 0.6896093951833545, 'd': 0.1833392788505386, 'l': 0.12705130953729557}",l,Norwich,2019,EPL
11657,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '1'}","{'h': '2.09572', 'a': '0.920429'}",2019-08-17 15:00:00,"{'w': 0.6444382498357416, 'd': 0.20010026387122143, 'l': 0.1554614791520794}",w,Norwich,2019,EPL
11664,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '3'}","{'h': '1.07904', 'a': '1.89428'}",2019-08-24 12:30:00,"{'w': 0.21317435387739106, 'd': 0.22287128670691633, 'l': 0.5639543575234972}",l,Norwich,2019,EPL
11674,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '2.20657', 'a': '1.1674'}",2019-08-31 15:00:00,"{'w': 0.6092628813392742, 'd': 0.19848258676627945, 'l': 0.19225451793512768}",l,Norwich,2019,EPL
11689,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '3', 'a': '2'}","{'h': '1.7413', 'a': '2.34436'}",2019-09-14 16:30:00,"{'w': 0.2877079515175896, 'd': 0.19684662085969867, 'l': 0.5154453965406504}",w,Norwich,2019,EPL
11696,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '2.39312', 'a': '0.801428'}",2019-09-21 14:00:00,"{'w': 0.7268248516204552, 'd': 0.1663530389799099, 'l': 0.10682206974882061}",l,Norwich,2019,EPL
11709,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '1.80497', 'a': '0.712129'}",2019-09-28 14:00:00,"{'w': 0.635200611958434, 'd': 0.22290723657599473, 'l': 0.14189215046960357}",l,Norwich,2019,EPL
11717,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '5'}","{'h': '1.84838', 'a': '3.67827'}",2019-10-05 15:00:00,"{'w': 0.15489283157543532, 'd': 0.13140834874417778, 'l': 0.7136911969443224}",l,Norwich,2019,EPL
11724,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '0', 'a': '0'}","{'h': '0.675554', 'a': '0.402873'}",2019-10-19 15:00:00,"{'w': 0.3696778723176865, 'd': 0.4391930951000295, 'l': 0.19112903258228262}",d,Norwich,2019,EPL
11739,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '3'}","{'h': '0.8924', 'a': '4.51232'}",2019-10-27 16:30:00,"{'w': 0.02717715358633167, 'd': 0.05139603178964382, 'l': 0.9213509333244214}",l,Norwich,2019,EPL
11746,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '2.65496', 'a': '0.455082'}",2019-11-02 15:00:00,"{'w': 0.8397565237422698, 'd': 0.11711962081182896, 'l': 0.043123707817080775}",l,Norwich,2019,EPL
11757,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '0', 'a': '2'}","{'h': '0.62104', 'a': '1.36017'}",2019-11-08 20:00:00,"{'w': 0.17011644104724916, 'd': 0.2814262134298334, 'l': 0.5484573455012864}",l,Norwich,2019,EPL
11768,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '0', 'a': '2'}","{'h': '0.812693', 'a': '1.80849'}",2019-11-23 15:00:00,"{'w': 0.16408342802729417, 'd': 0.22590015970336685, 'l': 0.610016411247176}",w,Norwich,2019,EPL
11781,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '2'}","{'h': '0.810596', 'a': '1.96157'}",2019-12-01 14:00:00,"{'w': 0.14697419062736067, 'd': 0.209188391610295, 'l': 0.6438374147633246}",d,Norwich,2019,EPL
11790,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '1'}","{'h': '2.00232', 'a': '0.896647'}",2019-12-04 19:30:00,"{'w': 0.6311135615334649, 'd': 0.20827827423315476, 'l': 0.16060816030266534}",l,Norwich,2019,EPL
11799,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '2'}","{'h': '0.585805', 'a': '0.712899'}",2019-12-08 14:00:00,"{'w': 0.2611128805402032, 'd': 0.3993124784290308, 'l': 0.3395746410307638}",l,Norwich,2019,EPL
11807,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '1', 'a': '1'}","{'h': '1.06421', 'a': '1.16408'}",2019-12-14 15:00:00,"{'w': 0.33069561744949755, 'd': 0.28862717253900305, 'l': 0.3806772100082667}",d,Norwich,2019,EPL
11819,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '1.26536', 'a': '1.65224'}",2019-12-21 15:00:00,"{'w': 0.2934423555859762, 'd': 0.24184466451254996, 'l': 0.464712979588659}",l,Norwich,2019,EPL
11823,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '1', 'a': '0'}","{'h': '0.654194', 'a': '1.45005'}",2019-12-26 15:00:00,"{'w': 0.1679262800934482, 'd': 0.26811123618791594, 'l': 0.5639624836666939}",l,Norwich,2019,EPL
11839,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '0.268052', 'a': '1.82189'}",2019-12-28 17:30:00,"{'w': 0.04763090696431931, 'd': 0.19188964152958268, 'l': 0.7604794503784119}",d,Norwich,2019,EPL
11850,True,h,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '1.66454', 'a': '1.29896'}",2020-01-01 17:30:00,"{'w': 0.4602754081243745, 'd': 0.24027764632072263, 'l': 0.29944694520661297}",d,Norwich,2019,EPL
