id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
11645,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '1.34099', 'a': '1.59864'}",2019-08-10 15:00:00,"{'w': 0.321167444974406, 'd': 0.24360891683953226, 'l': 0.435223637972882}",d,Sheffield United,2019,EPL
11660,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '1.84778', 'a': '0.241912'}",2019-08-18 14:00:00,"{'w': 0.7727989786198157, 'd': 0.18552648470450686, 'l': 0.04167453531533999}",w,Sheffield United,2019,EPL
11665,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '0.654318', 'a': '0.704879'}",2019-08-24 15:00:00,"{'w': 0.2897717463343949, 'd': 0.3897185815491391, 'l': 0.3205096721164636}",l,Sheffield United,2019,EPL
11675,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '2'}","{'h': '2.30579', 'a': '1.04649'}",2019-08-31 15:00:00,"{'w': 0.6556705064015356, 'd': 0.18635729478180865, 'l': 0.1579721741958869}",d,Sheffield United,2019,EPL
11686,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '1'}","{'h': '1.88034', 'a': '1.57659'}",2019-09-14 14:00:00,"{'w': 0.45152675418640864, 'd': 0.22184240138467504, 'l': 0.3266308425519164}",l,Sheffield United,2019,EPL
11698,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '0', 'a': '2'}","{'h': '1.26041', 'a': '0.508011'}",2019-09-21 14:00:00,"{'w': 0.5517758411634814, 'd': 0.2986203745052582, 'l': 0.14960378432368773}",w,Sheffield United,2019,EPL
11703,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '1.17022', 'a': '1.97079'}",2019-09-28 11:30:00,"{'w': 0.22289262056045006, 'd': 0.2175208994562161, 'l': 0.5595864767905513}",l,Sheffield United,2019,EPL
11719,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '0', 'a': '0'}","{'h': '1.44318', 'a': '0.353724'}",2019-10-05 15:00:00,"{'w': 0.6493867063485741, 'd': 0.26189129009245954, 'l': 0.08872200351028654}",d,Sheffield United,2019,EPL
11730,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '0'}","{'h': '0.895722', 'a': '0.949735'}",2019-10-21 20:00:00,"{'w': 0.3235116640781052, 'd': 0.3237505990265752, 'l': 0.35273773689511095}",w,Sheffield United,2019,EPL
11742,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '2.33891', 'a': '1.16171'}",2019-10-26 15:00:00,"{'w': 0.6360969957868319, 'd': 0.18788638384964215, 'l': 0.17601659079167256}",d,Sheffield United,2019,EPL
11750,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '0'}","{'h': '2.58392', 'a': '0.716613'}",2019-11-02 15:00:00,"{'w': 0.775232873902233, 'd': 0.14403308710799878, 'l': 0.08073393401303712}",w,Sheffield United,2019,EPL
11759,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '1.5104', 'a': '0.923443'}",2019-11-09 15:00:00,"{'w': 0.5094311930589045, 'd': 0.25989078020357287, 'l': 0.23067802664691087}",d,Sheffield United,2019,EPL
11770,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '3'}","{'h': '1.56025', 'a': '1.33065'}",2019-11-24 16:30:00,"{'w': 0.42802927537206037, 'd': 0.24639324928241135, 'l': 0.3255774751889014}",d,Sheffield United,2019,EPL
11780,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '1.27422', 'a': '1.47296'}",2019-12-01 14:00:00,"{'w': 0.3275473496899998, 'd': 0.2541541407003241, 'l': 0.4182985095365517}",d,Sheffield United,2019,EPL
11786,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '2'}","{'h': '1.09175', 'a': '0.533775'}",2019-12-05 19:30:00,"{'w': 0.4914011932977151, 'd': 0.32932922389927255, 'l': 0.17926958280198468}",l,Sheffield United,2019,EPL
11799,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '2'}","{'h': '0.585805', 'a': '0.712899'}",2019-12-08 14:00:00,"{'w': 0.2611128805402032, 'd': 0.3993124784290308, 'l': 0.3395746410307638}",w,Sheffield United,2019,EPL
11810,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '1.888', 'a': '0.97258'}",2019-12-14 15:00:00,"{'w': 0.5880393436652267, 'd': 0.22163961719385408, 'l': 0.19032103733075031}",w,Sheffield United,2019,EPL
11815,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '0', 'a': '1'}","{'h': '0.428371', 'a': '1.65933'}",2019-12-21 15:00:00,"{'w': 0.0908262926190861, 'd': 0.22904453074880193, 'l': 0.6801291763092092}",w,Sheffield United,2019,EPL
11830,True,h,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '1'}","{'h': '2.04481', 'a': '0.596611'}",2019-12-26 15:00:00,"{'w': 0.7144962880127665, 'd': 0.18858969852835594, 'l': 0.0969140082816255}",d,Sheffield United,2019,EPL
