id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1736,Oliver McBurnie,36,2123,6,8.068318895995617,0,1.135003101080656,50,10,4,0,F S,Sheffield United,6,8.068318895995617,10.194577626883984,3.9475047774612904,Sheffield United,2019,EPL
1748,Lys Mousset,30,1220,6,6.072984084486961,4,3.6121045984327793,37,12,1,0,F S,Sheffield United,6,6.072984084486961,9.621276477351785,2.463756689801812,Sheffield United,2019,EPL
7708,John Lundstram,34,2448,5,5.921481820754707,3,3.8296410171315074,44,21,5,0,M S,Sheffield United,5,5.921481820754707,12.008115600794554,5.026100870221853,Sheffield United,2019,EPL
7709,John Fleck,30,2513,5,3.248101287521422,2,3.429328804835677,31,39,8,0,M S,Sheffield United,5,3.248101287521422,10.274550246074796,5.323464645072818,Sheffield United,2019,EPL
7712,Billy Sharp,25,1045,3,4.138953751884401,2,3.0103288423269987,16,15,1,1,F S,Sheffield United,3,4.138953751884401,5.812584816478193,1.0371485203504562,Sheffield United,2019,EPL
7703,John Egan,36,3193,2,2.6867086198180914,0,0.4515930116176605,27,1,3,1,D,Sheffield United,2,2.6867086198180914,3.889268606901169,3.759342309087515,Sheffield United,2019,EPL
7706,George Baldock,38,3420,2,0.7630060948431492,3,1.6253086160868406,13,22,7,0,D,Sheffield United,2,0.7630060948431492,8.718191336840391,7.147828293964267,Sheffield United,2019,EPL
7707,Enda Stevens,38,3350,2,1.5212564039975405,4,5.414861211553216,22,34,7,0,D,Sheffield United,2,1.5212564039975405,13.609743199311197,10.10498693305999,Sheffield United,2019,EPL
7711,David McGoldrick,28,1841,2,8.715958962216973,2,2.095127190463245,45,17,2,0,F S,Sheffield United,2,8.715958962216973,12.238809522241354,3.0863607339560986,Sheffield United,2019,EPL
4476,Callum Robinson,16,674,1,1.5612489879131317,1,0.6526461057364941,12,4,1,0,F S,Sheffield United,1,1.5612489879131317,2.835602728649974,0.7018378023058176,Sheffield United,2019,EPL
7710,Oliver Norwood,38,3119,1,1.3383014099672437,1,3.8799228239804506,17,49,8,0,M S,Sheffield United,0,0.5771326068788767,9.954602483659983,9.053659860044718,Sheffield United,2019,EPL
8285,Sander Berge,14,957,1,0.6007534898817539,1,0.714387908577919,5,2,0,0,M S,Sheffield United,1,0.6007534898817539,2.35891617462039,1.2101591117680073,Sheffield United,2019,EPL
587,Phil Jagielka,6,233,0,0,0,0,0,0,0,0,D S,Sheffield United,0,0,0.09513119980692863,0.09513119980692863,Sheffield United,2019,EPL
733,Jack Rodwell,1,13,0,0,0,0,0,0,0,0,S,Sheffield United,0,0,0,0,Sheffield United,2019,EPL
908,Muhamed Besic,9,236,0,0.14954010397195816,0,0.08683919906616211,4,1,2,0,M S,Sheffield United,0,0.14954010397195816,1.20465599745512,0.9843139946460724,Sheffield United,2019,EPL
1883,Ravel Morrison,1,11,0,0.0266938004642725,0,0,1,0,0,0,S,Sheffield United,0,0.0266938004642725,0,0,Sheffield United,2019,EPL
7702,Dean Henderson,36,3240,0,0.03304079920053482,0,0.02186880074441433,1,1,2,0,GK,Sheffield United,0,0.03304079920053482,0.2936275973916054,0.2936275973916054,Sheffield United,2019,EPL
7704,Chris Basham,38,3275,0,0.3295384980738163,1,1.3122201254591346,6,13,4,0,D,Sheffield United,0,0.3295384980738163,4.4559616930782795,4.018944967538118,Sheffield United,2019,EPL
7705,Jack O&#039;Connell,33,2913,0,0.8287769919261336,1,3.5576168531551957,14,16,4,0,D S,Sheffield United,0,0.8287769919261336,7.513772958889604,6.3223857544362545,Sheffield United,2019,EPL
7713,Luke Freeman,11,358,0,0.05767989903688431,0,0.18556099943816662,3,3,2,0,M S,Sheffield United,0,0.05767989903688431,0.681845810264349,0.462127011269331,Sheffield United,2019,EPL
7714,Ben Osborn,13,586,0,0.19521039724349976,0,0.8878787830471992,3,7,0,0,M S,Sheffield United,0,0.19521039724349976,2.3332080245018005,1.5885960310697556,Sheffield United,2019,EPL
7715,Simon Moore,2,180,0,0,0,0,0,0,0,0,GK,Sheffield United,0,0,0.029432499781250954,0.029432499781250954,Sheffield United,2019,EPL
8046,Kieron Freeman,2,5,0,0,0,0,0,0,0,0,S,Sheffield United,0,0,0.023521900177001953,0.023521900177001953,Sheffield United,2019,EPL
8061,Leon Clarke,2,29,0,0.42813000082969666,0,0,1,0,0,0,S,Sheffield United,0,0.42813000082969666,0.48809200525283813,0.05996190011501312,Sheffield United,2019,EPL
8286,Jack Robinson,6,507,0,0,0,0.14816639944911003,0,2,0,0,D,Sheffield United,0,0,1.0926758833229542,0.9445103816688061,Sheffield United,2019,EPL
8472,Richairo Zivkovic,5,95,0,0.06403879821300507,0,0.1380251944065094,1,2,0,0,S,Sheffield United,0,0.06403879821300507,0.2056465968489647,0.2056465968489647,Sheffield United,2019,EPL
