id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
11649,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '1'}","{'h': '2.57262', 'a': '0.639599'}",2019-08-10 17:30:00,"{'w': 0.7902275582840087, 'd': 0.1393111770045347, 'l': 0.07046116537863237}",w,Tottenham,2019,EPL
11659,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '3.20076', 'a': '0.074542'}",2019-08-17 17:30:00,"{'w': 0.9493361552831221, 'd': 0.04737799558940912, 'l': 0.0032843779810223894}",d,Tottenham,2019,EPL
11672,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '1'}","{'h': '1.25927', 'a': '0.51428'}",2019-08-25 16:30:00,"{'w': 0.5496096238234834, 'd': 0.29877933980431687, 'l': 0.15161103636472084}",l,Tottenham,2019,EPL
11682,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '1.92509', 'a': '1.95514'}",2019-09-01 16:30:00,"{'w': 0.3888962725084671, 'd': 0.21045172375685103, 'l': 0.4006519985215696}",d,Tottenham,2019,EPL
11687,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '4', 'a': '0'}","{'h': '1.04944', 'a': '0.577323'}",2019-09-14 14:00:00,"{'w': 0.46516510429391306, 'd': 0.33495660619421425, 'l': 0.19987828951128167}",w,Tottenham,2019,EPL
11694,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '1.28752', 'a': '1.33735'}",2019-09-21 11:30:00,"{'w': 0.3571974744925919, 'd': 0.2623558061640894, 'l': 0.3804467193160167}",l,Tottenham,2019,EPL
11704,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '1'}","{'h': '1.19008', 'a': '1.16256'}",2019-09-28 14:00:00,"{'w': 0.36679598942240554, 'd': 0.27987220030497445, 'l': 0.35333181026673405}",w,Tottenham,2019,EPL
11713,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '3', 'a': '0'}","{'h': '2.60017', 'a': '0.478504'}",2019-10-05 12:30:00,"{'w': 0.8282731494515603, 'd': 0.12375166397459442, 'l': 0.0479750729710609}",l,Tottenham,2019,EPL
11731,True,h,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '1'}","{'h': '0.891617', 'a': '0.846851'}",2019-10-19 15:00:00,"{'w': 0.34451184790907863, 'd': 0.3357821722551821, 'l': 0.31970597983565113}",d,Tottenham,2019,EPL
11736,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '2.18851', 'a': '1.35143'}",2019-10-27 16:30:00,"{'w': 0.5649464485921641, 'd': 0.20348525370887205, 'l': 0.23156828513239586}",l,Tottenham,2019,EPL
