id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
11651,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '0'}","{'h': '0.543759', 'a': '0.812949'}",2019-08-11 14:00:00,"{'w': 0.22617545688064214, 'd': 0.3845525792667278, 'l': 0.38927196385261387}",d,Wolverhampton Wanderers,2019,EPL
11662,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.307356', 'a': '1.14332'}",2019-08-19 20:00:00,"{'w': 0.09923489359411587, 'd': 0.3243110513585023, 'l': 0.5764540550454251}",d,Wolverhampton Wanderers,2019,EPL
11668,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '1'}","{'h': '1.32793', 'a': '1.22762'}",2019-08-25 16:30:00,"{'w': 0.3905761982137357, 'd': 0.26618374504054176, 'l': 0.34324005672491076}",d,Wolverhampton Wanderers,2019,EPL
11681,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '3', 'a': '2'}","{'h': '1.48842', 'a': '2.00172'}",2019-09-01 14:00:00,"{'w': 0.2874818393424644, 'd': 0.21615391434320208, 'l': 0.4963642423249791}",l,Wolverhampton Wanderers,2019,EPL
11688,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '5'}","{'h': '1.49359', 'a': '3.06799'}",2019-09-14 14:00:00,"{'w': 0.15852410901828054, 'd': 0.15072773674630846, 'l': 0.6907472731213703}",l,Wolverhampton Wanderers,2019,EPL
11697,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '0.984777', 'a': '1.75572'}",2019-09-22 13:00:00,"{'w': 0.21041479521915477, 'd': 0.23469741734684985, 'l': 0.5548877867452084}",d,Wolverhampton Wanderers,2019,EPL
11705,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '0'}","{'h': '1.16363', 'a': '1.06615'}",2019-09-28 14:00:00,"{'w': 0.3801191419322305, 'd': 0.2885344886224106, 'l': 0.3313463694421211}",w,Wolverhampton Wanderers,2019,EPL
11716,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '2'}","{'h': '1.61884', 'a': '1.18825'}",2019-10-06 14:00:00,"{'w': 0.47386895010673197, 'd': 0.24587189951326743, 'l': 0.2802591501451737}",w,Wolverhampton Wanderers,2019,EPL
11732,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '1'}","{'h': '0.887495', 'a': '1.37695'}",2019-10-19 15:00:00,"{'w': 0.24197185740681362, 'd': 0.2753169116548724, 'l': 0.4827112309126644}",d,Wolverhampton Wanderers,2019,EPL
11738,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '0.603104', 'a': '1.93255'}",2019-10-27 14:00:00,"{'w': 0.10692536473324776, 'd': 0.20218185413444595, 'l': 0.6908927786685178}",d,Wolverhampton Wanderers,2019,EPL
11743,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '1.02552', 'a': '1.5103'}",2019-11-02 15:00:00,"{'w': 0.2571521214062087, 'd': 0.2583729309457518, 'l': 0.4844749475571799}",d,Wolverhampton Wanderers,2019,EPL
11760,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '1'}","{'h': '2.09891', 'a': '0.473225'}",2019-11-10 14:00:00,"{'w': 0.7557099377741845, 'd': 0.1732792231861139, 'l': 0.07101083175567499}",w,Wolverhampton Wanderers,2019,EPL
11765,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '0.849789', 'a': '1.2765'}",2019-11-23 15:00:00,"{'w': 0.24784542893767453, 'd': 0.28828534466289385, 'l': 0.4638692263903781}",w,Wolverhampton Wanderers,2019,EPL
11780,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '1'}","{'h': '1.27422', 'a': '1.47296'}",2019-12-01 14:00:00,"{'w': 0.3275473496899998, 'd': 0.2541541407003241, 'l': 0.4182985095365517}",d,Wolverhampton Wanderers,2019,EPL
11787,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '0'}","{'h': '1.82237', 'a': '0.501977'}",2019-12-04 19:30:00,"{'w': 0.6952199790252681, 'd': 0.21003152890786872, 'l': 0.09474849093521855}",w,Wolverhampton Wanderers,2019,EPL
11795,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '2', 'a': '2'}","{'h': '0.951621', 'a': '1.87208'}",2019-12-08 16:30:00,"{'w': 0.18764837707265186, 'd': 0.22274480612126085, 'l': 0.5896068151880849}",d,Wolverhampton Wanderers,2019,EPL
11812,True,h,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '0.718669', 'a': '0.989205'}",2019-12-15 14:00:00,"{'w': 0.2573556811684928, 'd': 0.3348962645676052, 'l': 0.4077480542636419}",l,Wolverhampton Wanderers,2019,EPL
11819,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '1.26536', 'a': '1.65224'}",2019-12-21 15:00:00,"{'w': 0.2934423555859762, 'd': 0.24184466451254996, 'l': 0.464712979588659}",w,Wolverhampton Wanderers,2019,EPL
