team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Aston Villa,71,2020,EPL,,,,,,,,,,,,,
Everton,72,2020,EPL,,,,,,,,,,,,,
Southampton,74,2020,EPL,,,,,,,,,,,,,
Leicester,75,2020,EPL,,,,,,,,,,,,,
West Bromwich Albion,76,2020,EPL,,,,,,,,,,,,,
Crystal Palace,78,2020,EPL,,,,,,,,,,,,,
Chelsea,80,2020,EPL,,,,,,,,,,,,,
West Ham,81,2020,EPL,,,,,,,,,,,,,
Tottenham,82,2020,EPL,,,,,,,,,,,,,
Arsenal,83,2020,EPL,,,,,,,,,,,,,
Newcastle United,86,2020,EPL,,,,,,,,,,,,,
Liverpool,87,2020,EPL,,,,,,,,,,,,,
Manchester City,88,2020,EPL,,,,,,,,,,,,,
Manchester United,89,2020,EPL,,,,,,,,,,,,,
Burnley,92,2020,EPL,,,,,,,,,,,,,
Brighton,220,2020,EPL,,,,,,,,,,,,,
Fulham,228,2020,EPL,,,,,,,,,,,,,
Wolverhampton Wanderers,229,2020,EPL,,,,,,,,,,,,,
Sheffield United,238,2020,EPL,,,,,,,,,,,,,
Leeds,245,2020,EPL,,,,,,,,,,,,,
