id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
3277,Alexandre Lacazette,31,1939,13,12.02891095355153,2,2.2092133089900017,45,22,3,0,F M S,Arsenal,10,9.745402950793505,14.361543761566281,2.937945641577244,Arsenal,2020,EPL
318,Pierre-Emerick Aubameyang,29,2333,10,10.450049884617329,3,2.4313496705144644,57,22,2,0,F M S,Arsenal,8,8.92772065103054,15.113904694095254,3.955130212008953,Arsenal,2020,EPL
5656,Nicolas Pepe,29,1602,10,6.000205853953958,1,1.0121595980599523,47,11,1,1,F M S,Arsenal,9,5.23903716634959,9.359735170379281,4.2177279610186815,Arsenal,2020,EPL
7322,Bukayo Saka,32,2577,5,7.169173154979944,3,4.511790509335697,61,38,1,0,D F M S,Arsenal,5,7.169173154979944,18.292466957122087,9.18044448364526,Arsenal,2020,EPL
5613,Gabriel,23,1994,2,1.5645487178117037,0,0.05609600059688091,16,2,2,1,D S,Arsenal,2,1.5645487178117037,5.762659789994359,5.748225750401616,Arsenal,2020,EPL
6482,Eddie Nketiah,17,405,2,2.022098023444414,1,0.7423548139631748,12,8,0,0,F S,Arsenal,2,2.022098023444414,2.0772799979895353,0.22055049799382687,Arsenal,2020,EPL
7230,Emile Smith-Rowe,20,1456,2,1.592160290107131,4,3.622620165348053,13,27,0,0,M S,Arsenal,2,1.592160290107131,9.538249481469393,5.6345065496861935,Arsenal,2020,EPL
7752,Gabriel Martinelli,14,581,2,3.2524473667144775,1,1.7456525303423405,20,9,0,0,F M S,Arsenal,2,3.2524473667144775,6.1597150303423405,1.7565969750285149,Arsenal,2020,EPL
204,Granit Xhaka,31,2537,1,0.7788539975881577,2,1.4596665930002928,21,17,7,1,D M S,Arsenal,1,0.7788539975881577,13.89865631237626,12.85003492794931,Arsenal,2020,EPL
492,Héctor Bellerín,25,2098,1,0.8602303061634302,2,2.1715131886303425,15,21,8,0,D S,Arsenal,1,0.8602303061634302,8.0598920956254,6.266995308920741,Arsenal,2020,EPL
496,Mohamed Elneny,23,1540,1,0.4756157035008073,0,0.2569415085017681,9,4,3,0,M S,Arsenal,1,0.4756157035008073,5.195760786533356,4.651168327778578,Arsenal,2020,EPL
700,Willian,25,1413,1,1.8349484112113714,5,3.591709390282631,20,32,0,0,F M S,Arsenal,1,1.8349484112113714,7.110169928520918,3.815574500709772,Arsenal,2020,EPL
1676,David Luiz,20,1410,1,0.6695672031491995,0,0.5240253880620003,15,2,1,1,D S,Arsenal,1,0.6695672031491995,4.749539636075497,4.629008233547211,Arsenal,2020,EPL
2517,Martin Odegaard,14,865,1,0.618740500882268,2,1.9558854773640633,15,19,0,0,M S,Arsenal,1,0.618740500882268,5.297232031822205,4.07069668546319,Arsenal,2020,EPL
8089,Kieran Tierney,27,2305,1,0.3866765992715955,3,3.8238940481096506,15,31,4,0,D S,Arsenal,1,0.3866765992715955,8.635928499512374,5.60839013569057,Arsenal,2020,EPL
181,Bernd Leno,35,3136,0,0,0,0,0,0,0,1,GK,Arsenal,0,0,4.326597798615694,4.326597798615694,Arsenal,2020,EPL
342,Sead Kolasinac,1,90,0,0,0,0,0,0,0,0,D,Arsenal,0,0,0.42935800552368164,0.42935800552368164,Arsenal,2020,EPL
508,Calum Chambers,10,750,0,0.3639728929847479,2,1.0427637845277786,8,11,0,0,D S,Arsenal,0,0.3639728929847479,3.8356559574604034,2.8100062385201454,Arsenal,2020,EPL
847,Cédric Soares,10,746,0,0.20354269538074732,1,0.8928053807467222,7,6,1,0,D S,Arsenal,0,0.20354269538074732,3.335597813129425,2.919353038072586,Arsenal,2020,EPL
1699,Shkodran Mustafi,3,43,0,0,0,0,0,0,0,0,S,Arsenal,0,0,0.06472480297088623,0.06472480297088623,Arsenal,2020,EPL
1749,Rob Holding,30,2548,0,0.7339214868843555,1,0.20068280026316643,14,4,2,0,D S,Arsenal,0,0.7339214868843555,7.403348095715046,7.163188092410564,Arsenal,2020,EPL
1750,Ainsley Maitland-Niles,11,483,0,0.10147440060973167,0,0.08144230209290981,2,2,0,0,D S,Arsenal,0,0.10147440060973167,2.4045515954494476,2.2486816067248583,Arsenal,2020,EPL
2328,Thomas Partey,24,1543,0,1.157276201993227,2,1.1210453063249588,26,12,5,0,M S,Arsenal,0,1.157276201993227,7.274703920818865,5.83660644851625,Arsenal,2020,EPL
2385,Mat Ryan,3,270,0,0,0,0.06032729893922806,0,1,0,0,GK,Arsenal,0,0,0.4281695932149887,0.4281695932149887,Arsenal,2020,EPL
2446,Dani Ceballos,25,1613,0,0.6592578887939453,3,2.578972002491355,13,27,4,0,M S,Arsenal,0,0.6592578887939453,9.275819662958384,8.116629021242261,Arsenal,2020,EPL
6492,Reiss Nelson,2,59,0,0.05691710114479065,0,0,1,0,0,0,S,Arsenal,0,0.05691710114479065,0.3480401039123535,0.29112300276756287,Arsenal,2020,EPL
6630,Joe Willock,7,229,0,0.24291200190782547,0,0.06149899959564209,4,2,1,0,M S,Arsenal,0,0.24291200190782547,0.5193419978022575,0.21493099629878998,Arsenal,2020,EPL
6875,Rúnar Alex Rúnarsson,1,11,0,0,0,0,0,0,0,0,S,Arsenal,0,0,0,0,Arsenal,2020,EPL
8380,Pablo Marí,10,900,0,0.04052269924432039,0,0.05424389988183975,2,1,2,0,D,Arsenal,0,0.04052269924432039,3.6049748361110687,3.590737834572792,Arsenal,2020,EPL
