id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14104,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '0'}","{'h': '0.80527', 'a': '0.849709'}",2020-09-21 17:00:00,"{'w': 0.31445103588945894, 'd': 0.34599529946777313, 'l': 0.3395536646427237}",w,Aston Villa,2020,EPL
14114,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '3'}","{'h': '0.534675', 'a': '2.03222'}",2020-09-28 17:00:00,"{'w': 0.08621336437896339, 'd': 0.1857845937309477, 'l': 0.7280020371153559}",w,Aston Villa,2020,EPL
14466,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '7', 'a': '2'}","{'h': '3.07626', 'a': '1.65705'}",2020-10-04 18:15:00,"{'w': 0.6612906841036155, 'd': 0.15590551720421522, 'l': 0.18280288802668007}",w,Aston Villa,2020,EPL
14479,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '1'}","{'h': '0.671595', 'a': '0.873776'}",2020-10-18 18:15:00,"{'w': 0.2625240345899147, 'd': 0.35796195593434293, 'l': 0.37951400947569675}",w,Aston Villa,2020,EPL
14486,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '3'}","{'h': '1.50125', 'a': '2.37695'}",2020-10-23 19:00:00,"{'w': 0.2362785040209709, 'd': 0.19322390591668334, 'l': 0.5704975536206734}",l,Aston Villa,2020,EPL
14495,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '4'}","{'h': '2.44855', 'a': '1.00333'}",2020-11-01 12:00:00,"{'w': 0.6909498385144374, 'd': 0.17260377418567305, 'l': 0.13644633420156618}",l,Aston Villa,2020,EPL
14505,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '3'}","{'h': '1.39037', 'a': '1.98553'}",2020-11-08 19:15:00,"{'w': 0.2687083096484149, 'd': 0.21753954090807417, 'l': 0.5137521458955175}",w,Aston Villa,2020,EPL
14515,True,h,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '2'}","{'h': '1.76514', 'a': '1.50038'}",2020-11-21 15:00:00,"{'w': 0.4411187470046579, 'd': 0.22955903231915373, 'l': 0.3293222198539315}",l,Aston Villa,2020,EPL
14526,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '1'}","{'h': '0.571633', 'a': '2.39051'}",2020-11-30 20:00:00,"{'w': 0.07050873597088914, 'd': 0.15050116925081972, 'l': 0.7789900556766113}",l,Aston Villa,2020,EPL
14552,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '1'}","{'h': '1.1356', 'a': '1.26872'}",2020-12-12 12:30:00,"{'w': 0.32998135839200915, 'd': 0.27556111020710733, 'l': 0.3944575313908106}",w,Aston Villa,2020,EPL
