id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14090,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '4', 'a': '3'}","{'h': '3.15412', 'a': '0.269813'}",2020-09-12 16:30:00,"{'w': 0.9183936141456687, 'd': 0.06680200105511737, 'l': 0.01480315237369953}",l,Leeds,2020,EPL
14097,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '4', 'a': '3'}","{'h': '1.45254', 'a': '1.55503'}",2020-09-19 14:00:00,"{'w': 0.35634152573186345, 'd': 0.24230829415400332, 'l': 0.4013501799265757}",w,Leeds,2020,EPL
14110,True,a,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '1'}","{'h': '1.53278', 'a': '1.46641'}",2020-09-27 11:00:00,"{'w': 0.3931482981641634, 'd': 0.24289324027896655, 'l': 0.3639584613858119}",w,Leeds,2020,EPL
14469,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '1'}","{'h': '2.56662', 'a': '1.41533'}",2020-10-03 16:30:00,"{'w': 0.6236801174834827, 'd': 0.17929654765228786, 'l': 0.1970232383777893}",d,Leeds,2020,EPL
14478,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '1.08332', 'a': '0.618191'}",2020-10-19 19:00:00,"{'w': 0.4651931484101064, 'd': 0.32660549940553735, 'l': 0.20820135218343402}",l,Leeds,2020,EPL
14486,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '3'}","{'h': '1.50125', 'a': '2.37695'}",2020-10-23 19:00:00,"{'w': 0.2362785040209709, 'd': 0.19322390591668334, 'l': 0.5704975536206734}",w,Leeds,2020,EPL
14498,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '4'}","{'h': '1.74822', 'a': '3.07657'}",2020-11-02 20:00:00,"{'w': 0.1971084277363943, 'd': 0.15856090537855907, 'l': 0.6443297547706872}",l,Leeds,2020,EPL
14508,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '4', 'a': '1'}","{'h': '1.30169', 'a': '0.847913'}",2020-11-07 15:00:00,"{'w': 0.4715658698240363, 'd': 0.2853027518027854, 'l': 0.2431313783613333}",l,Leeds,2020,EPL
14518,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '1.9617', 'a': '0.710778'}",2020-11-22 16:30:00,"{'w': 0.6690410979927893, 'd': 0.20466008167762287, 'l': 0.1262988173279613}",d,Leeds,2020,EPL
14531,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '1'}","{'h': '1.29229', 'a': '3.11324'}",2020-11-28 17:30:00,"{'w': 0.12545481341805914, 'd': 0.139380397776881, 'l': 0.7351637363587282}",w,Leeds,2020,EPL
14538,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '3', 'a': '1'}","{'h': '4.89472', 'a': '1.0277'}",2020-12-05 20:00:00,"{'w': 0.9271483279243302, 'd': 0.046240015782602756, 'l': 0.02643059987388665}",l,Leeds,2020,EPL
14548,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '2'}","{'h': '1.56644', 'a': '1.7851'}",2020-12-11 20:00:00,"{'w': 0.34088559533337043, 'd': 0.22690326412482537, 'l': 0.43221113953408946}",l,Leeds,2020,EPL
14558,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '5', 'a': '2'}","{'h': '2.95137', 'a': '1.44437'}",2020-12-16 18:00:00,"{'w': 0.6822776188475084, 'd': 0.15586548226823443, 'l': 0.16185635004229681}",w,Leeds,2020,EPL
14570,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '6', 'a': '2'}","{'h': '4.77743', 'a': '1.63467'}",2020-12-20 16:30:00,"{'w': 0.856996601813555, 'd': 0.07596984071086851, 'l': 0.06689344746982284}",l,Leeds,2020,EPL
14578,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '0'}","{'h': '2.13271', 'a': '1.54591'}",2020-12-27 12:00:00,"{'w': 0.5121507558682974, 'd': 0.20824670667995052, 'l': 0.2796025283575346}",w,Leeds,2020,EPL
14590,True,a,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '5'}","{'h': '0.43551', 'a': '1.54225'}",2020-12-29 18:00:00,"{'w': 0.10172640762735692, 'd': 0.24814496280101367, 'l': 0.6501286294514677}",w,Leeds,2020,EPL
14599,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '3', 'a': '0'}","{'h': '2.5286', 'a': '1.15626'}",2021-01-02 12:30:00,"{'w': 0.6715182891396027, 'd': 0.17314351380048973, 'l': 0.15533811718616705}",l,Leeds,2020,EPL
14618,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '1'}","{'h': '0.245193', 'a': '1.14424'}",2021-01-16 15:00:00,"{'w': 0.07900362438772109, 'd': 0.32419646229840293, 'l': 0.5967999133118972}",l,Leeds,2020,EPL
14631,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '2'}","{'h': '1.1364', 'a': '0.785914'}",2021-01-26 18:00:00,"{'w': 0.438149511176619, 'd': 0.30913163520307607, 'l': 0.2527188536184972}",w,Leeds,2020,EPL
14643,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '3'}","{'h': '1.73432', 'a': '1.8141'}",2021-01-31 14:00:00,"{'w': 0.37327260821817126, 'd': 0.22094098412852303, 'l': 0.4057864060037488}",w,Leeds,2020,EPL
14648,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '2'}","{'h': '1.14303', 'a': '1.91539'}",2021-02-03 19:30:00,"{'w': 0.22452337105218587, 'd': 0.22178971021063174, 'l': 0.5536869165452905}",l,Leeds,2020,EPL
14658,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '0'}","{'h': '2.64769', 'a': '0.370278'}",2021-02-08 20:00:00,"{'w': 0.8563224182334565, 'd': 0.10995329820982865, 'l': 0.03372414091866304}",w,Leeds,2020,EPL
14665,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '4', 'a': '2'}","{'h': '2.50614', 'a': '0.77074'}",2021-02-14 16:30:00,"{'w': 0.7518262534369562, 'd': 0.15440545481078746, 'l': 0.09376822041474489}",l,Leeds,2020,EPL
14684,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '0'}","{'h': '0.592049', 'a': '2.4793'}",2021-02-19 20:00:00,"{'w': 0.06871474901105296, 'd': 0.14384749047781822, 'l': 0.7874376982827561}",l,Leeds,2020,EPL
14608,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '0'}","{'h': '1.84753', 'a': '1.47981'}",2021-02-23 20:00:00,"{'w': 0.46413085245009356, 'd': 0.22533615643078517, 'l': 0.3105329896927082}",w,Leeds,2020,EPL
14691,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '1'}","{'h': '1.00106', 'a': '0.876255'}",2021-02-27 17:30:00,"{'w': 0.37367589986136407, 'd': 0.3196728573150425, 'l': 0.30665124282324213}",l,Leeds,2020,EPL
14704,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '2', 'a': '0'}","{'h': '2.37556', 'a': '1.34971'}",2021-03-08 20:00:00,"{'w': 0.6021611103002525, 'd': 0.19047381212741354, 'l': 0.20736504146563617}",l,Leeds,2020,EPL
14709,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '0'}","{'h': '0.382957', 'a': '0.971054'}",2021-03-13 12:30:00,"{'w': 0.14275303758499716, 'd': 0.3635249695758859, 'l': 0.49372199283891854}",d,Leeds,2020,EPL
14718,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '2'}","{'h': '1.47498', 'a': '1.40706'}",2021-03-19 20:00:00,"{'w': 0.39096301879068696, 'd': 0.24848082273286937, 'l': 0.3605561583764866}",w,Leeds,2020,EPL
14729,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '1'}","{'h': '2.50597', 'a': '0.867652'}",2021-04-03 14:00:00,"{'w': 0.7304513284954445, 'd': 0.16050358620524863, 'l': 0.10904501402307376}",w,Leeds,2020,EPL
14740,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '2'}","{'h': '1.98825', 'a': '0.17525'}",2021-04-10 11:30:00,"{'w': 0.8154529749369674, 'd': 0.15859200439929233, 'l': 0.025955017081050566}",w,Leeds,2020,EPL
14749,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '1'}","{'h': '2.59719', 'a': '1.60043'}",2021-04-19 19:00:00,"{'w': 0.5915114513499115, 'd': 0.18167066748034968, 'l': 0.2268177689969808}",d,Leeds,2020,EPL
14758,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '0'}","{'h': '0.216834', 'a': '1.11635'}",2021-04-25 13:00:00,"{'w': 0.07158448793026373, 'd': 0.3314204084344475, 'l': 0.5969951036338861}",d,Leeds,2020,EPL
14765,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '2', 'a': '0'}","{'h': '2.52542', 'a': '0.510874'}",2021-05-01 14:00:00,"{'w': 0.8117249270083359, 'd': 0.1330439970722725, 'l': 0.055230997309922}",l,Leeds,2020,EPL
14778,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '3', 'a': '1'}","{'h': '2.55216', 'a': '1.03384'}",2021-05-08 11:30:00,"{'w': 0.7018203218524129, 'd': 0.1657809135649975, 'l': 0.13239867477359488}",w,Leeds,2020,EPL
14786,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '4'}","{'h': '1.41338', 'a': '1.85654'}",2021-05-15 11:30:00,"{'w': 0.29406118421426825, 'd': 0.22573103598824756, 'l': 0.4802077783123873}",w,Leeds,2020,EPL
14802,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '2'}","{'h': '1.3084', 'a': '1.58132'}",2021-05-18 17:00:00,"{'w': 0.31629806950063044, 'd': 0.245705521578495, 'l': 0.43799640873956175}",w,Leeds,2020,EPL
14808,True,h,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '3', 'a': '1'}","{'h': '2.49009', 'a': '1.02209'}",2021-05-23 15:00:00,"{'w': 0.6939453147226796, 'd': 0.17013763501837717, 'l': 0.135916984503309}",w,Leeds,2020,EPL
