id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14092,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '3'}","{'h': '0.352997', 'a': '2.95581'}",2020-09-13 13:00:00,"{'w': 0.02447399555262584, 'd': 0.0858883104493984, 'l': 0.8896371349922277}",l,West Bromwich Albion,2020,EPL
14096,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '5', 'a': '2'}","{'h': '4.16254', 'a': '0.315347'}",2020-09-19 11:30:00,"{'w': 0.9605850135822149, 'd': 0.03193315716658049, 'l': 0.007450635140947359}",l,West Bromwich Albion,2020,EPL
14108,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '3', 'a': '3'}","{'h': '0.911185', 'a': '2.36046'}",2020-09-26 16:30:00,"{'w': 0.1282678174980549, 'd': 0.17546222735524772, 'l': 0.696269921888246}",d,West Bromwich Albion,2020,EPL
14473,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '2', 'a': '0'}","{'h': '0.949079', 'a': '0.161283'}",2020-10-04 11:00:00,"{'w': 0.5561086016114712, 'd': 0.3818299882928217, 'l': 0.062061410095563097}",l,West Bromwich Albion,2020,EPL
14484,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '0'}","{'h': '0.731692', 'a': '1.08532'}",2020-10-19 16:30:00,"{'w': 0.2445517253220229, 'd': 0.3195609188606999, 'l': 0.4358873558163273}",d,West Bromwich Albion,2020,EPL
14487,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '1'}","{'h': '0.546807', 'a': '0.295654'}",2020-10-26 17:30:00,"{'w': 0.33703003434216505, 'd': 0.5031355144435185, 'l': 0.15983445121431628}",d,West Bromwich Albion,2020,EPL
14497,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '2', 'a': '0'}","{'h': '1.62247', 'a': '0.482685'}",2020-11-02 17:30:00,"{'w': 0.6559388673517335, 'd': 0.23762140383552877, 'l': 0.10643972857415424}",l,West Bromwich Albion,2020,EPL
14513,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '1'}","{'h': '0.799352', 'a': '1.87063'}",2020-11-08 12:00:00,"{'w': 0.15419060263854636, 'd': 0.21858866836576038, 'l': 0.6272207273943624}",l,West Bromwich Albion,2020,EPL
14520,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '0'}","{'h': '2.42994', 'a': '0.438646'}",2020-11-21 20:00:00,"{'w': 0.8149384312413306, 'd': 0.1354686706591009, 'l': 0.04959284991843597}",l,West Bromwich Albion,2020,EPL
14527,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '1', 'a': '0'}","{'h': '1.71644', 'a': '3.36544'}",2020-11-28 20:00:00,"{'w': 0.16404709780294496, 'd': 0.14237884114876134, 'l': 0.6935713789264858}",w,West Bromwich Albion,2020,EPL
14543,True,h,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '5'}","{'h': '0.567234', 'a': '1.68656'}",2020-12-06 12:00:00,"{'w': 0.12058552144139015, 'd': 0.232188122043925, 'l': 0.6472263561128069}",l,West Bromwich Albion,2020,EPL
