id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16376,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '0'}","{'h': '1.88818', 'a': '1.02385'}",2021-08-13 19:00:00,"{'w': 0.5757163363982951, 'd': 0.22259666395968727, 'l': 0.20168699782934718}",l,Arsenal,2021,EPL
16394,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '2'}","{'h': '0.630099', 'a': '3.64132'}",2021-08-22 15:30:00,"{'w': 0.030344888684455788, 'd': 0.06979273624546208, 'l': 0.8998555977019196}",l,Arsenal,2021,EPL
16396,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '5', 'a': '0'}","{'h': '4.47273', 'a': '0.116805'}",2021-08-28 11:30:00,"{'w': 0.9821221894920528, 'd': 0.016198958243945898, 'l': 0.0016099063835561677}",l,Arsenal,2021,EPL
16407,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '1', 'a': '0'}","{'h': '2.68515', 'a': '0.577292'}",2021-09-11 14:00:00,"{'w': 0.8182409171983739, 'd': 0.12503116603422335, 'l': 0.05672774667846501}",w,Arsenal,2021,EPL
16419,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '0.775574', 'a': '1.09928'}",2021-09-18 14:00:00,"{'w': 0.256024875643945, 'd': 0.31480041635485434, 'l': 0.4291747080000614}",w,Arsenal,2021,EPL
16434,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '3', 'a': '1'}","{'h': '1.44499', 'a': '0.980166'}",2021-09-26 15:30:00,"{'w': 0.47829118196240206, 'd': 0.2657597619408436, 'l': 0.2559490560470079}",w,Arsenal,2021,EPL
16436,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '1.11551', 'a': '0.36431'}",2021-10-02 16:30:00,"{'w': 0.5494914296219638, 'd': 0.33004127623346313, 'l': 0.12046729414318523}",d,Arsenal,2021,EPL
16446,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '2'}","{'h': '1.7436', 'a': '0.492239'}",2021-10-18 19:00:00,"{'w': 0.6809622376761548, 'd': 0.22032165001479434, 'l': 0.09871611168141746}",d,Arsenal,2021,EPL
16456,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '1'}","{'h': '3.4984', 'a': '1.41088'}",2021-10-22 19:00:00,"{'w': 0.7644054021257769, 'd': 0.12270335811137303, 'l': 0.11288699850242852}",w,Arsenal,2021,EPL
16468,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '2'}","{'h': '1.98801', 'a': '1.10288'}",2021-10-30 11:30:00,"{'w': 0.5788847827652518, 'd': 0.21507739566470632, 'l': 0.20603781799185186}",w,Arsenal,2021,EPL
