id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16376,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '0'}","{'h': '1.88818', 'a': '1.02385'}",2021-08-13 19:00:00,"{'w': 0.5757163363982951, 'd': 0.22259666395968727, 'l': 0.20168699782934718}",w,Brentford,2021,EPL
16389,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '0'}","{'h': '0.606313', 'a': '0.712439'}",2021-08-21 14:00:00,"{'w': 0.26935997922826604, 'd': 0.3960970918787837, 'l': 0.33454292889294784}",d,Brentford,2021,EPL
16399,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '1'}","{'h': '0.431464', 'a': '1.13312'}",2021-08-28 14:00:00,"{'w': 0.1405526041661379, 'd': 0.32464038014660396, 'l': 0.5348070156855311}",d,Brentford,2021,EPL
16408,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '1'}","{'h': '0.729786', 'a': '0.287902'}",2021-09-11 14:00:00,"{'w': 0.42548606232244024, 'd': 0.44145160480557705, 'l': 0.13306233287197924}",l,Brentford,2021,EPL
16417,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '2'}","{'h': '1.02316', 'a': '2.32741'}",2021-09-18 11:30:00,"{'w': 0.1514732109645898, 'd': 0.18358259818171863, 'l': 0.6649441630964094}",w,Brentford,2021,EPL
16432,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '3', 'a': '3'}","{'h': '2.94058', 'a': '2.25736'}",2021-09-25 16:30:00,"{'w': 0.5288129230106052, 'd': 0.17265739588611798, 'l': 0.298529137703121}",d,Brentford,2021,EPL
16444,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '2'}","{'h': '1.37258', 'a': '1.30098'}",2021-10-03 13:00:00,"{'w': 0.38683496345660473, 'd': 0.2594649163205816, 'l': 0.3537001201865856}",w,Brentford,2021,EPL
16448,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '1'}","{'h': '1.62169', 'a': '0.248256'}",2021-10-16 16:30:00,"{'w': 0.7249001326503733, 'd': 0.22271667258597388, 'l': 0.05238319452661242}",l,Brentford,2021,EPL
16457,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '1.16789', 'a': '1.00254'}",2021-10-24 13:00:00,"{'w': 0.39562746764549545, 'd': 0.29235054693013224, 'l': 0.3120219854214305}",l,Brentford,2021,EPL
16467,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '3', 'a': '1'}","{'h': '2.72901', 'a': '0.834312'}",2021-10-30 14:00:00,"{'w': 0.7710824818923403, 'd': 0.14035937508538643, 'l': 0.08855793477890578}",l,Brentford,2021,EPL
