id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
998,Ivan Toney,33,2905,12,12.048585828393698,5,7.343530809506774,88,43,8,0,F S,Brentford,7,8.242776174098253,12.169118613004684,2.3933666069060564,Brentford,2021,EPL
5786,Yoane Wissa,30,1230,7,3.4018343733623624,1,0.6705948002636433,32,9,0,0,F M S,Brentford,7,3.4018343733623624,4.416324868798256,1.8253055810928345,Brentford,2021,EPL
6552,Bryan Mbeumo,35,2934,4,9.805259482935071,7,3.957220805808902,77,34,4,0,F M S,Brentford,3,9.044090459123254,17.78692425787449,6.478674702346325,Brentford,2021,EPL
9680,Vitaly Janelt,31,2328,4,2.989832724444568,0,1.8168051782995462,30,23,3,0,D M S,Brentford,4,2.989832724444568,7.372113709338009,3.241404203698039,Brentford,2021,EPL
1078,Sergi Canos,31,2128,3,3.4899188801646233,2,2.1664950996637344,33,17,6,1,D F M S,Brentford,3,3.4899188801646233,6.9550468772649765,2.181806704029441,Brentford,2021,EPL
1801,Pontus Jansson,37,3325,3,4.593423327431083,1,0.5605823006480932,22,5,7,0,D,Brentford,3,4.593423327431083,5.387516871094704,3.885910749435425,Brentford,2021,EPL
7083,Christian Nørgaard,35,3068,3,4.969032805413008,4,4.0477693835273385,27,29,8,0,M,Brentford,3,4.969032805413008,13.346250873059034,7.89542396273464,Brentford,2021,EPL
9679,Rico Henry,34,2796,3,1.899935700930655,0,1.872443387284875,14,18,2,0,D M S,Brentford,3,1.899935700930655,9.128159390762448,6.301865139976144,Brentford,2021,EPL
646,Christian Eriksen,11,935,1,1.4037851188331842,4,3.7309530712664127,22,30,1,0,M S,Brentford,1,1.4037851188331842,4.987491987645626,2.9094995334744453,Brentford,2021,EPL
6030,Zanka,8,514,1,0.14217300713062286,0,0.07679279893636703,2,2,2,0,D S,Brentford,1,0.14217300713062286,1.8502167314291,1.8271526284515858,Brentford,2021,EPL
7069,Saman Ghoddos,17,499,1,0.7120704911649227,1,1.1907186191529036,8,6,2,0,D F M S,Brentford,1,0.7120704911649227,3.1678579915314913,1.429826844483614,Brentford,2021,EPL
9677,Kristoffer Ajer,24,2012,1,1.0655757747590542,3,2.2111876308918,7,8,5,0,D S,Brentford,1,1.0655757747590542,5.553348563611507,3.8359059505164623,Brentford,2021,EPL
9678,Ethan Pinnock,32,2701,1,1.7465080497786403,1,1.7245045565068722,16,12,1,0,D,Brentford,1,1.7465080497786403,6.184837121516466,4.275091532617807,Brentford,2021,EPL
9685,Mads Roerslev,21,1240,1,0.2831443063914776,1,0.9667048780247569,5,7,1,0,D S,Brentford,1,0.2831443063914776,1.3581679975613952,0.4798683002591133,Brentford,2021,EPL
9914,Shandon Baptiste,22,909,1,0.5783805977553129,0,0.5454354956746101,12,9,0,1,M S,Brentford,1,0.5783805977553129,2.3360376888886094,1.4911788003519177,Brentford,2021,EPL
3468,Jonas Lössl,2,180,0,0,0,0,0,0,0,0,GK,Brentford,0,0,0,0,Brentford,2021,EPL
5191,Álvaro Fernández,12,1080,0,0,0,0,0,0,0,0,GK,Brentford,0,0,0.34285609796643257,0.34285609796643257,Brentford,2021,EPL
7166,Mathias Jensen,31,1598,0,2.7016564928926528,1,3.1610329784452915,19,35,0,0,M S,Brentford,0,2.7016564928926528,7.237036062870175,2.972486024722457,Brentford,2021,EPL
9676,David Raya,24,2160,0,0,0,0.0409960001707077,0,1,1,0,GK,Brentford,0,0,4.120813246816397,4.120813246816397,Brentford,2021,EPL
9681,Frank Onyeka,20,1056,0,0.7653771908953786,0,0.16351560223847628,16,4,4,0,M S,Brentford,0,0.7653771908953786,1.5919902855530381,0.9403915964066982,Brentford,2021,EPL
9682,Mads Bidstrup,4,26,0,0,0,0,0,0,0,0,S,Brentford,0,0,0,0,Brentford,2021,EPL
9683,Mads Bech Sørensen,11,841,0,0.07186190038919449,0,0.34183360263705254,2,7,3,0,D S,Brentford,0,0.07186190038919449,1.5663126846775413,1.2244802778586745,Brentford,2021,EPL
9684,Marcus Forss,7,183,0,0.2957523949444294,1,0.42056599259376526,5,1,0,0,F S,Brentford,0,0.2957523949444294,0.158866997808218,0,Brentford,2021,EPL
9687,Charlie Goode,6,446,0,0.08599329739809036,0,1.0358272045850754,2,7,3,0,D S,Brentford,0,0.08599329739809036,1.197367712855339,0.8813184946775436,Brentford,2021,EPL
9915,Dominic Thompson,2,154,0,0.025226600468158722,0,0,1,0,0,0,D,Brentford,0,0.025226600468158722,0.05206830054521561,0.026841599494218826,Brentford,2021,EPL
9916,Finley Stevens,1,11,0,0,0,0.028888199478387833,0,1,0,0,S,Brentford,0,0,0,0,Brentford,2021,EPL
10092,Tariqe Fosu-Henry,1,15,0,0.05358149856328964,0,0,1,0,0,0,S,Brentford,0,0.05358149856328964,0.05358149856328964,0,Brentford,2021,EPL
10150,Nathan Young-Coombes,1,1,0,0,0,0,0,0,0,0,S,Brentford,0,0,0,0,Brentford,2021,EPL
10405,Josh Dasilva,9,242,0,0.10198599845170975,0,0.18233780562877655,1,3,0,1,F M S,Brentford,0,0.10198599845170975,0.4496143078431487,0.16529020201414824,Brentford,2021,EPL
