id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16378,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '2'}","{'h': '1.79548', 'a': '1.6853'}",2021-08-14 14:00:00,"{'w': 0.4110658131285517, 'd': 0.22315885529787888, 'l': 0.3657753302472962}",w,Brighton,2021,EPL
16391,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '0'}","{'h': '1.77896', 'a': '0.407224'}",2021-08-21 16:30:00,"{'w': 0.7123903485010171, 'd': 0.20971260088421098, 'l': 0.07789704979404068}",w,Brighton,2021,EPL
16400,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '2'}","{'h': '0.701622', 'a': '1.54868'}",2021-08-28 14:00:00,"{'w': 0.16818477892983516, 'd': 0.25498079426216325, 'l': 0.5768344266808634}",l,Brighton,2021,EPL
16408,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '1'}","{'h': '0.729786', 'a': '0.287902'}",2021-09-11 14:00:00,"{'w': 0.42548606232244024, 'd': 0.44145160480557705, 'l': 0.13306233287197924}",w,Brighton,2021,EPL
16423,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '1.47438', 'a': '1.25373'}",2021-09-19 13:00:00,"{'w': 0.42309584825922947, 'd': 0.25483511927276264, 'l': 0.32206903239580087}",w,Brighton,2021,EPL
16435,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '1'}","{'h': '1.36836', 'a': '0.649566'}",2021-09-27 19:00:00,"{'w': 0.542849379426018, 'd': 0.28008249405140234, 'l': 0.17706812649909137}",d,Brighton,2021,EPL
16436,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '1.11551', 'a': '0.36431'}",2021-10-02 16:30:00,"{'w': 0.5494914296219638, 'd': 0.33004127623346313, 'l': 0.12046729414318523}",d,Brighton,2021,EPL
16453,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '0'}","{'h': '1.16088', 'a': '1.17572'}",2021-10-16 14:00:00,"{'w': 0.35584189113206366, 'd': 0.28103429194891155, 'l': 0.3631238169137187}",d,Brighton,2021,EPL
16458,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '4'}","{'h': '1.1695', 'a': '3.57376'}",2021-10-23 16:30:00,"{'w': 0.08064968042546537, 'd': 0.10630081080343544, 'l': 0.8130440621581189}",l,Brighton,2021,EPL
16469,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '2'}","{'h': '1.39778', 'a': '1.51032'}",2021-10-30 14:00:00,"{'w': 0.3514535444923276, 'd': 0.24692772115849188, 'l': 0.4016187342272897}",d,Brighton,2021,EPL
16478,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '1'}","{'h': '1.43123', 'a': '0.227321'}",2021-11-06 17:30:00,"{'w': 0.6857869791129992, 'd': 0.2575906916074541, 'l': 0.0566223292360932}",d,Brighton,2021,EPL
16486,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '0'}","{'h': '1.06946', 'a': '0.582787'}",2021-11-20 15:00:00,"{'w': 0.47032528761468506, 'd': 0.3309980088436183, 'l': 0.1986767035409266}",l,Brighton,2021,EPL
16498,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '0', 'a': '0'}","{'h': '1.90498', 'a': '0.864829'}",2021-11-27 17:30:00,"{'w': 0.618251782710345, 'd': 0.21709728264772887, 'l': 0.1646509326042052}",d,Brighton,2021,EPL
16510,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '1'}","{'h': '1.14679', 'a': '1.2607'}",2021-12-01 19:30:00,"{'w': 0.33464771573231616, 'd': 0.2755522615702667, 'l': 0.38980002268778013}",d,Brighton,2021,EPL
16521,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '1'}","{'h': '1.34236', 'a': '1.4872'}",2021-12-04 15:00:00,"{'w': 0.3420649921401655, 'd': 0.2505391981595657, 'l': 0.4073958096088944}",d,Brighton,2021,EPL
16538,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '1.20118', 'a': '1.11736'}",2021-12-15 19:30:00,"{'w': 0.3796148614790984, 'd': 0.2820241016982019, 'l': 0.33836103681739144}",l,Brighton,2021,EPL
16557,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '0'}","{'h': '0.943363', 'a': '1.10342'}",2021-12-26 20:00:00,"{'w': 0.3070871560649892, 'd': 0.3028899693870187, 'l': 0.3900228745466684}",w,Brighton,2021,EPL
16568,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '1'}","{'h': '0.763458', 'a': '0.78663'}",2021-12-29 19:30:00,"{'w': 0.31321480170945626, 'd': 0.36014778459896707, 'l': 0.3266374136915602}",d,Brighton,2021,EPL
16580,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '3'}","{'h': '1.82698', 'a': '1.48397'}",2022-01-02 14:00:00,"{'w': 0.4586203507907088, 'd': 0.22644686663606853, 'l': 0.31493278133171193}",w,Brighton,2021,EPL
16587,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '2.18053', 'a': '0.509681'}",2022-01-14 20:00:00,"{'w': 0.7604597682568816, 'd': 0.16702411099599668, 'l': 0.07251610878095965}",d,Brighton,2021,EPL
16607,True,h,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '1'}","{'h': '0.747557', 'a': '0.572994'}",2022-01-18 09:45:00,"{'w': 0.35642413316131233, 'd': 0.39419686478844834, 'l': 0.2493790020502343}",d,Brighton,2021,EPL
16602,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '1'}","{'h': '1.70979', 'a': '1.19738'}",2022-01-23 14:00:00,"{'w': 0.49381952538333274, 'd': 0.2385474753047742, 'l': 0.26763299882531916}",d,Brighton,2021,EPL
16625,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '2'}","{'h': '0.532979', 'a': '1.80456'}",2022-02-12 15:00:00,"{'w': 0.10271398112208233, 'd': 0.2143078535087878, 'l': 0.6829781643761732}",w,Brighton,2021,EPL
