id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16380,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '2.38863', 'a': '0.580601'}",2021-08-14 14:00:00,"{'w': 0.7766462465891861, 'd': 0.15138718760226236, 'l': 0.07196652709811825}",w,Everton,2021,EPL
16390,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '2'}","{'h': '0.966093', 'a': '1.85713'}",2021-08-21 14:00:00,"{'w': 0.192761256566604, 'd': 0.22450756070908043, 'l': 0.5827311812695134}",d,Everton,2021,EPL
16400,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '2'}","{'h': '0.701622', 'a': '1.54868'}",2021-08-28 14:00:00,"{'w': 0.16818477892983516, 'd': 0.25498079426216325, 'l': 0.5768344266808634}",w,Everton,2021,EPL
16415,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '1'}","{'h': '1.80386', 'a': '1.82061'}",2021-09-13 19:00:00,"{'w': 0.3873600647763987, 'd': 0.2185180820108881, 'l': 0.3941218511076859}",w,Everton,2021,EPL
16422,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '0'}","{'h': '0.777716', 'a': '0.755035'}",2021-09-18 16:30:00,"{'w': 0.32528882393766706, 'd': 0.36261645178744584, 'l': 0.3120947242748727}",l,Everton,2021,EPL
16428,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '2.26681', 'a': '0.800903'}",2021-09-25 14:00:00,"{'w': 0.70520417133964, 'd': 0.1780150240899427, 'l': 0.11678078480329916}",w,Everton,2021,EPL
16442,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '1.0496', 'a': '1.32211'}",2021-10-02 11:30:00,"{'w': 0.29613070604320213, 'd': 0.2753103555853145, 'l': 0.4285589383562494}",d,Everton,2021,EPL
16449,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '1'}","{'h': '0.854165', 'a': '2.03034'}",2021-10-17 13:00:00,"{'w': 0.1488810534359029, 'd': 0.20385257192962386, 'l': 0.647266369917298}",l,Everton,2021,EPL
16461,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '5'}","{'h': '1.84089', 'a': '3.10344'}",2021-10-23 14:00:00,"{'w': 0.20896414507204716, 'd': 0.15957459044970715, 'l': 0.6314602502211963}",l,Everton,2021,EPL
16475,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '1'}","{'h': '1.69344', 'a': '1.69767'}",2021-11-01 20:00:00,"{'w': 0.3857386453004309, 'd': 0.22676236601369854, 'l': 0.38749898782250675}",l,Everton,2021,EPL
16481,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '0'}","{'h': '0.597906', 'a': '0.801798'}",2021-11-07 14:00:00,"{'w': 0.24887638108322588, 'd': 0.3798741817110142, 'l': 0.3712494372057463}",d,Everton,2021,EPL
16490,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '0'}","{'h': '2.61302', 'a': '0.266894'}",2021-11-21 14:00:00,"{'w': 0.8737457250609684, 'd': 0.10267005762246124, 'l': 0.023584096443596825}",l,Everton,2021,EPL
16497,True,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '1.19813', 'a': '0.968075'}",2021-11-28 14:00:00,"{'w': 0.41241837129712833, 'd': 0.2914401782845391, 'l': 0.29614145041439005}",l,Everton,2021,EPL
16507,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '4'}","{'h': '0.512263', 'a': '2.86067'}",2021-12-01 20:15:00,"{'w': 0.04237192937652401, 'd': 0.10623341120242555, 'l': 0.8513942857059952}",l,Everton,2021,EPL
16517,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '1'}","{'h': '1.06108', 'a': '1.05723'}",2021-12-06 20:00:00,"{'w': 0.3519832076839053, 'd': 0.2980026905419334, 'l': 0.35001410177281617}",w,Everton,2021,EPL
16531,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '3', 'a': '1'}","{'h': '2.09864', 'a': '1.27556'}",2021-12-12 16:30:00,"{'w': 0.5630670286244209, 'd': 0.20892342257179491, 'l': 0.22800954152304356}",l,Everton,2021,EPL
16543,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '3.20239', 'a': '0.627528'}",2021-12-16 19:45:00,"{'w': 0.8647831283539202, 'd': 0.09282400346458106, 'l': 0.04239138798929623}",d,Everton,2021,EPL
16580,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '3'}","{'h': '1.82698', 'a': '1.48397'}",2022-01-02 14:00:00,"{'w': 0.4586203507907088, 'd': 0.22644686663606853, 'l': 0.31493278133171193}",l,Everton,2021,EPL
16592,True,a,"{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '1'}","{'h': '1.00153', 'a': '0.541027'}",2022-01-15 15:00:00,"{'w': 0.4588855382698701, 'd': 0.34637382817624346, 'l': 0.19474063355358007}",l,Everton,2021,EPL
16600,True,h,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '1'}","{'h': '1.2384', 'a': '0.860245'}",2022-01-22 12:30:00,"{'w': 0.4501933919091119, 'd': 0.2924518313726335, 'l': 0.2573547767122843}",l,Everton,2021,EPL
