id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16377,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '5', 'a': '1'}","{'h': '1.64248', 'a': '0.568342'}",2021-08-14 11:30:00,"{'w': 0.6365469649332408, 'd': 0.23843640721913695, 'l': 0.12501662756617554}",w,Manchester United,2021,EPL
16392,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.587526', 'a': '2.26173'}",2021-08-22 13:00:00,"{'w': 0.08054367897110651, 'd': 0.1644672336734928, 'l': 0.7549890681520648}",d,Manchester United,2021,EPL
16405,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '1'}","{'h': '1.79575', 'a': '0.944083'}",2021-08-29 15:30:00,"{'w': 0.5741710399455605, 'd': 0.2302054480112784, 'l': 0.19562351111275728}",w,Manchester United,2021,EPL
16410,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '4', 'a': '1'}","{'h': '2.77326', 'a': '0.622042'}",2021-09-11 14:00:00,"{'w': 0.8200269705113314, 'd': 0.12165357498081435, 'l': 0.05831920009073029}",w,Manchester United,2021,EPL
16424,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '2'}","{'h': '1.6671', 'a': '1.8954'}",2021-09-19 13:00:00,"{'w': 0.34400521703179054, 'd': 0.21926341551769155, 'l': 0.4367313652004939}",w,Manchester United,2021,EPL
16431,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '1'}","{'h': '1.9251', 'a': '1.57249'}",2021-09-25 11:30:00,"{'w': 0.46224060456209165, 'd': 0.21957436912154138, 'l': 0.31818502381877367}",l,Manchester United,2021,EPL
16442,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '1.0496', 'a': '1.32211'}",2021-10-02 11:30:00,"{'w': 0.29613070604320213, 'd': 0.2753103555853145, 'l': 0.4285589383562494}",d,Manchester United,2021,EPL
16450,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '4', 'a': '2'}","{'h': '2.96611', 'a': '1.02494'}",2021-10-16 14:00:00,"{'w': 0.7657253540159012, 'd': 0.13488823339708356, 'l': 0.09938582922632884}",l,Manchester United,2021,EPL
16463,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '5'}","{'h': '1.35584', 'a': '4.04765'}",2021-10-24 15:30:00,"{'w': 0.07542094203850502, 'd': 0.09266474572346198, 'l': 0.8318915275426896}",l,Manchester United,2021,EPL
16473,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '3'}","{'h': '1.15787', 'a': '1.38612'}",2021-10-30 16:30:00,"{'w': 0.3135380507490739, 'd': 0.2651958252987048, 'l': 0.42126612392185586}",w,Manchester United,2021,EPL
16483,True,h,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '0.759561', 'a': '2.04202'}",2021-11-06 12:30:00,"{'w': 0.12870763362932616, 'd': 0.198341518876991, 'l': 0.672950842408206}",l,Manchester United,2021,EPL
16494,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '4', 'a': '1'}","{'h': '2.73393', 'a': '1.66794'}",2021-11-20 15:00:00,"{'w': 0.6025269977712333, 'd': 0.1752267402388766, 'l': 0.22224604867047237}",l,Manchester United,2021,EPL
16500,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '2.34525', 'a': '0.563367'}",2021-11-28 16:30:00,"{'w': 0.7740075427694219, 'd': 0.15423245710481243, 'l': 0.07175996951171008}",d,Manchester United,2021,EPL
