id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
7696,Teemu Pukki,37,3278,11,11.44952037371695,3,4.062802174128592,71,27,4,0,F,Norwich,8,9.166050033643842,11.974240876734257,1.043409519828856,Norwich,2021,EPL
7295,Joshua Sargent,26,1578,2,2.0713036227971315,1,0.5363337956368923,23,11,1,0,F M S,Norwich,2,2.0713036227971315,2.816050668247044,0.5686431573703885,Norwich,2021,EPL
1032,Kieran Dowell,19,912,1,1.2521583996713161,1,1.239989422261715,8,16,0,0,F M S,Norwich,1,1.2521583996713161,2.7508563911542296,0.794395606033504,Norwich,2021,EPL
5619,Pierre Lees-Melou,33,2293,1,1.3564588129520416,0,1.8592525953426957,33,25,5,0,M S,Norwich,1,1.3564588129520416,5.121012233197689,3.338285904377699,Norwich,2021,EPL
6523,Milot Rashica,31,2248,1,2.569660095497966,2,1.9145782003179193,44,36,0,0,D F M S,Norwich,1,2.569660095497966,4.716784189455211,1.4207799918949604,Norwich,2021,EPL
7470,Mathias Normann,23,1661,1,0.835538562387228,2,2.2901421673595905,26,13,6,0,M S,Norwich,1,0.835538562387228,3.4090149104595184,1.4079527165740728,Norwich,2021,EPL
7690,Grant Hanley,33,2899,1,1.696234492585063,0,0.39794129505753517,20,6,2,0,D,Norwich,1,1.696234492585063,3.552236177958548,3.4605953795835376,Norwich,2021,EPL
7693,Kenny McLean,31,2710,1,1.9170859884470701,0,1.0888230931013823,33,10,3,0,M S,Norwich,1,1.9170859884470701,5.813929988071322,3.868613997474313,Norwich,2021,EPL
8021,Adam Idah,17,611,1,1.9293015375733376,1,0.46092280000448227,14,5,0,0,F M S,Norwich,1,1.9293015375733376,2.403534699231386,0.5110170058906078,Norwich,2021,EPL
9833,Andrew Omobamidele,5,380,1,0.17112190276384354,0,0,2,0,1,0,D S,Norwich,1,0.17112190276384354,0.4068540930747986,0.4068540930747986,Norwich,2021,EPL
62,Lukas Rupp,19,744,0,0.46627569291740656,0,1.3048201203346252,12,9,0,0,M S,Norwich,0,0.46627569291740656,2.5540910232812166,1.5202579200267792,Norwich,2021,EPL
902,Sam Byram,15,1019,0,0.3631415069103241,0,0.25589700043201447,7,4,3,0,D S,Norwich,0,0.3631415069103241,1.2248425083234906,1.041966606862843,Norwich,2021,EPL
982,Tim Krul,29,2610,0,0,0,0.47920700907707214,0,1,1,0,GK,Norwich,0,0,2.564329088665545,2.564329088665545,Norwich,2021,EPL
1707,Ben Gibson,28,2496,0,1.3600882897153497,0,0.11564311292022467,8,3,3,1,D,Norwich,0,1.3600882897153497,4.114081885665655,4.07492888905108,Norwich,2021,EPL
5544,Angus Gunn,9,810,0,0,0,0,0,0,0,0,GK,Norwich,0,0,0.2774380147457123,0.2774380147457123,Norwich,2021,EPL
7376,Ozan Kabak,11,926,0,0.5807484108954668,0,0.030333801172673702,5,2,2,0,D,Norwich,0,0.5807484108954668,0.9165707966312766,0.8188285967335105,Norwich,2021,EPL
7688,Max Aarons,34,2882,0,0.8394248560070992,2,1.7876457879319787,13,20,8,0,D S,Norwich,0,0.8394248560070992,4.762461667880416,2.484261809848249,Norwich,2021,EPL
7695,Todd Cantwell,8,443,0,0.1200836393982172,0,0.30902099609375,5,1,2,0,F M S,Norwich,0,0.1200836393982172,0.6448747999966145,0.28419749438762665,Norwich,2021,EPL
7988,Billy Gilmour,24,1864,0,0.8399608237668872,1,1.0502577098086476,18,25,2,0,M S,Norwich,0,0.8399608237668872,4.431802229955792,3.5529233319684863,Norwich,2021,EPL
7990,Christoph Zimmermann,3,162,0,0.03771389927715063,0,0,2,0,0,0,D S,Norwich,0,0.03771389927715063,0.25520010106265545,0.22771450132131577,Norwich,2021,EPL
8075,Brandon Williams,26,2120,0,0.15530789736658335,1,1.9216502672061324,4,21,8,0,D S,Norwich,0,0.15530789736658335,4.284037738107145,3.1663006637245417,Norwich,2021,EPL
9745,Dimitris Giannoulis,18,1170,0,0.10428130254149437,1,0.5381213938817382,2,9,2,0,D S,Norwich,0,0.10428130254149437,2.320780213922262,1.895545769482851,Norwich,2021,EPL
9746,Christos Tzolis,14,321,0,0.3333491999655962,0,0.7744663059711456,6,8,0,0,F M S,Norwich,0,0.3333491999655962,1.6014234013855457,0.6376846889033914,Norwich,2021,EPL
9747,Bali Mumba,1,43,0,0,0,0,0,0,0,0,S,Norwich,0,0,0,0,Norwich,2021,EPL
9748,Jacob Sørensen,10,595,0,0.1915943929925561,0,0,5,0,0,0,D M S,Norwich,0,0.1915943929925561,0.5175428995862603,0.5074065998196602,Norwich,2021,EPL
10097,Przemyslaw Placheta,12,513,0,0.39591009728610516,0,0.588469609618187,8,4,1,0,F M S,Norwich,0,0.39591009728610516,0.9923206083476543,0.1289863958954811,Norwich,2021,EPL
10172,Jonathan Rowe,13,179,0,0.19853759557008743,1,0.4054669924080372,3,5,0,0,S,Norwich,0,0.19853759557008743,0.5169213898479939,0.2255803979933262,Norwich,2021,EPL
10525,Tony Springett,3,138,0,0.5181649923324585,0,0.5140159726142883,1,2,1,0,M S,Norwich,0,0.5181649923324585,1.0925300121307373,0.0603456012904644,Norwich,2021,EPL
