id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
16380,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '2.38863', 'a': '0.580601'}",2021-08-14 14:00:00,"{'w': 0.7766462465891861, 'd': 0.15138718760226236, 'l': 0.07196652709811825}",l,Southampton,2021,EPL
16392,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '1'}","{'h': '0.587526', 'a': '2.26173'}",2021-08-22 13:00:00,"{'w': 0.08054367897110651, 'd': 0.1644672336734928, 'l': 0.7549890681520648}",d,Southampton,2021,EPL
16397,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '2'}","{'h': '1.19077', 'a': '3.46036'}",2021-08-28 14:00:00,"{'w': 0.08924753425621608, 'd': 0.11367053421809079, 'l': 0.7970782031492377}",d,Southampton,2021,EPL
16411,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '0'}","{'h': '0.692135', 'a': '0.725407'}",2021-09-11 14:00:00,"{'w': 0.2999797223339374, 'd': 0.3801169308566204, 'l': 0.31990334680943755}",d,Southampton,2021,EPL
16421,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '0'}","{'h': '1.22451', 'a': '0.490923'}",2021-09-18 14:00:00,"{'w': 0.5459336610533665, 'd': 0.3054009617791, 'l': 0.14866537716245629}",d,Southampton,2021,EPL
16433,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '0.909342', 'a': '0.909833'}",2021-09-26 13:00:00,"{'w': 0.336486779121899, 'd': 0.32675919432875966, 'l': 0.33675402654918407}",l,Southampton,2021,EPL
16438,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '1'}","{'h': '3.79243', 'a': '1.52634'}",2021-10-02 14:00:00,"{'w': 0.780079206832094, 'd': 0.11284581631402872, 'l': 0.10706412655706528}",l,Southampton,2021,EPL
16454,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': '1', 'a': '0'}","{'h': '1.83082', 'a': '0.446173'}",2021-10-16 14:00:00,"{'w': 0.7122945713131968, 'd': 0.20514528509259025, 'l': 0.08256014239075396}",w,Southampton,2021,EPL
16464,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '2'}","{'h': '1.42567', 'a': '0.673195'}",2021-10-23 14:00:00,"{'w': 0.5521732686511277, 'd': 0.2716868256732626, 'l': 0.17613990563440615}",d,Southampton,2021,EPL
16474,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '1'}","{'h': '0.852556', 'a': '1.90757'}",2021-10-30 14:00:00,"{'w': 0.1616999667079172, 'd': 0.21642973516285488, 'l': 0.6218702960545647}",w,Southampton,2021,EPL
16484,True,h,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '0'}","{'h': '0.89818', 'a': '0.536077'}",2021-11-05 20:00:00,"{'w': 0.4233574999108837, 'd': 0.36760135270626204, 'l': 0.20904114738278803}",w,Southampton,2021,EPL
