id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
501,Danny Welbeck,35,2158,13,12.551776513457298,1,2.2625304386019707,54,20,5,0,F S,Brighton,12,10.268269868567586,14.832503136247396,4.773262246511877,Brighton,2025,EPL
13364,Diego Gómez,30,2100,5,5.593415547162294,1,2.0924463979899883,36,20,9,0,F M S,Brighton,5,5.593415547162294,13.458113759756088,6.886252888478339,Brighton,2025,EPL
11269,Jack Hinshelwood,25,1613,4,4.531751740723848,3,2.0764727191999555,34,13,0,0,D M S,Brighton,4,4.531751740723848,10.701174147427082,5.389585096389055,Brighton,2025,EPL
6937,Georginio Rutter,30,1747,3,2.692471490241587,3,4.473127547651529,39,24,2,0,F M S,Brighton,3,2.692471490241587,10.491895688697696,4.214052898809314,Brighton,2025,EPL
10806,Kaoru Mitoma,25,1723,3,4.789182621985674,1,3.54316034540534,32,30,5,0,F M S,Brighton,3,4.789182621985674,11.286602273583412,4.618424783460796,Brighton,2025,EPL
10807,Jan Paul van Hecke,34,3034,3,2.7940335692837834,3,0.9983751699328423,22,11,9,0,D,Brighton,3,2.7940335692837834,13.21765647828579,12.336129892617464,Brighton,2025,EPL
11385,Yasin Ayari,28,1911,3,2.1179441660642624,3,1.4007999636232853,41,15,1,0,M S,Brighton,3,2.1179441660642624,7.775305330753326,5.351266922429204,Brighton,2025,EPL
12759,Yankuba Minteh,32,2279,3,4.752463513985276,4,5.690702870488167,41,42,3,0,M S,Brighton,3,4.752463513985276,15.70837820880115,8.021752515807748,Brighton,2025,EPL
12758,Mats Wieffer,25,1832,2,1.9274322018027306,3,2.8690227568149567,18,19,8,0,D S,Brighton,2,1.9274322018027306,10.283977266401052,8.267712463624775,Brighton,2025,EPL
13711,Maxim De Cuyper,28,1273,2,1.5899631939828396,3,4.413247252814472,11,27,2,0,D M S,Brighton,2,1.5899631939828396,6.133637744933367,3.0311012119054794,Brighton,2025,EPL
14118,Charalampos Kostoulas,19,274,2,2.07052256539464,1,1.023241564631462,17,7,2,0,F S,Brighton,2,2.07052256539464,3.1018624752759933,0.41902770288288593,Brighton,2025,EPL
239,Pascal Groß,17,1455,1,1.0528861172497272,3,3.0529297906905413,14,35,2,0,M S,Brighton,1,1.0528861172497272,8.894396152347326,7.4284058175981045,Brighton,2025,EPL
489,James Milner,19,711,1,0.9794258084148169,1,0.6549300253391266,8,8,2,0,M S,Brighton,0,0.2182569708675146,3.918824218213558,3.7330453395843506,Brighton,2025,EPL
6048,Lewis Dunk,31,2651,1,1.253922250121832,0,0.5267416425049305,22,6,10,0,D S,Brighton,1,1.253922250121832,11.674747474491596,11.587368950247765,Brighton,2025,EPL
8780,Joël Veltman,23,959,1,0.9520808160305023,0,0.252019003033638,3,4,5,0,D S,Brighton,1,0.9520808160305023,2.436355007812381,2.2945651542395353,Brighton,2025,EPL
11310,Brajan Gruda,18,716,1,1.772459496743977,1,1.2154594017192721,16,16,2,0,M S,Brighton,1,1.772459496743977,5.479941666126251,2.844237370416522,Brighton,2025,EPL
13066,Ferdi Kadioglu,35,2965,1,1.9552533607929945,0,1.253510907292366,26,19,6,0,D M S,Brighton,1,1.9552533607929945,12.904335096478462,10.640489965677261,Brighton,2025,EPL
13206,Matt O&#039;Riley,6,195,1,1.139720857143402,0,0.14959949534386396,4,4,0,0,M S,Brighton,0,0.37855201959609985,0.5305772870779037,0.11395914107561111,Brighton,2025,EPL
14028,Stefanos Tzimas,9,111,1,0.6250067912042141,1,0.3843204230070114,4,6,0,0,F S,Brighton,1,0.6250067912042141,0.8074261322617531,0.009937935508787632,Brighton,2025,EPL
3645,Olivier Boscagli,12,801,0,0.02071521058678627,1,0.1475827321410179,1,3,2,0,D S,Brighton,0,0.02071521058678627,3.5460157245397568,3.5085763186216354,Brighton,2025,EPL
6049,Solly March,2,3,0,0,0,0,0,0,0,0,S,Brighton,0,0,0,0,Brighton,2025,EPL
10169,Diego Coppola,5,192,0,0,0,0,0,0,2,0,D S,Brighton,0,0,0.4860989674925804,0.4860989674925804,Brighton,2025,EPL
10527,Carlos Baleba,29,1581,0,0.5200888710096478,0,0.6776336953043938,18,6,5,0,M S,Brighton,0,0.5200888710096478,5.511792900972068,4.451778921298683,Brighton,2025,EPL
11711,Bart Verbruggen,36,3240,0,0,0,0.07646425813436508,0,1,3,0,GK,Brighton,0,0,7.286164598539472,7.286164598539472,Brighton,2025,EPL
13399,Joe Knight,1,1,0,0,0,0,0,0,0,0,S,Brighton,0,0,0,0,Brighton,2025,EPL
13584,Harry Howell,3,91,0,0,0,0,0,0,0,0,M S,Brighton,0,0,0,0,Brighton,2025,EPL
14029,Tom Watson,6,44,0,0.024704832583665848,0,0,1,0,1,0,S,Brighton,0,0.024704832583665848,0.024704832583665848,0,Brighton,2025,EPL
14127,Nehemiah Oriola,1,1,0,0,0,0,0,0,0,0,S,Brighton,0,0,0,0,Brighton,2025,EPL
