id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
13729,Zian Flemming,27,1615,10,9.432279833592474,0,0.6482639834284782,50,9,4,0,F S,Burnley,8,7.90994215477258,7.524087986908853,1.4174099173396826,Burnley,2025,EPL
10746,Jaidon Anthony,35,2597,8,5.464706630446017,2,4.263075370341539,52,35,4,0,F M S,Burnley,8,5.464706630446017,11.869306236505508,5.456020798534155,Burnley,2025,EPL
7498,Lyle Foster,26,1375,3,3.5921845473349094,2,1.145955815911293,20,10,4,0,F M S,Burnley,3,3.5921845473349094,5.975080406293273,2.1302394028753042,Burnley,2025,EPL
9451,Chimuanya Ugochukwu,33,2249,3,2.544327639043331,1,0.4298349469900131,21,9,1,1,M S,Burnley,3,2.544327639043331,7.085580289363861,4.825600050389767,Burnley,2025,EPL
1018,Josh Cullen,18,1533,2,1.0142266415059566,2,1.8168634045869112,11,13,2,0,M,Burnley,2,1.0142266415059566,6.162752605974674,4.625554047524929,Burnley,2025,EPL
9977,Loum Tchaouna,27,1099,2,1.195362207479775,0,1.0577591806650162,21,10,2,0,F M S,Burnley,2,1.195362207479775,3.857453793287277,1.8234017807990313,Burnley,2025,EPL
934,Axel Tuanzebe,12,1029,1,0.5582677125930786,0,0,2,0,1,0,D,Burnley,1,0.5582677125930786,2.73016569390893,2.171897981315851,Burnley,2025,EPL
8384,Armando Broja,24,822,1,2.5165178887546062,1,0.6097559537738562,16,5,0,0,F S,Burnley,1,2.5165178887546062,2.6858433932065964,1.0258077569305897,Burnley,2025,EPL
9558,Hannibal Mejbri,25,1103,1,0.4964469741098583,4,2.6572370454669,16,18,8,0,M S,Burnley,1,0.4964469741098583,5.426760409958661,3.28356571495533,Burnley,2025,EPL
13726,Oliver Sonne,7,149,1,0.3753026779741049,0,0.02691812254488468,3,1,0,0,D S,Burnley,1,0.3753026779741049,0.5079874768853188,0.1973782777786255,Burnley,2025,EPL
13728,Josh Laurent,32,1703,1,1.0436750873923302,0,0.7355106780305505,15,12,7,1,D M S,Burnley,1,1.0436750873923302,3.1661211233586073,1.6837338991463184,Burnley,2025,EPL
13730,Marcus Edwards,22,1049,1,2.2541669588536024,3,2.2145643904805183,22,18,0,0,F M S,Burnley,1,2.2541669588536024,5.67850873991847,2.743595637381077,Burnley,2025,EPL
638,Kyle Walker,34,2921,0,0.09304121043533087,2,1.6515101548284292,4,12,9,0,D M S,Burnley,0,0.09304121043533087,8.995877818204463,8.828137298114598,Burnley,2025,EPL
843,James Ward-Prowse,11,650,0,0.07130090892314911,1,1.6257032044231892,3,10,1,0,M S,Burnley,0,0.07130090892314911,2.5572593472898006,2.5207800175994635,Burnley,2025,EPL
4422,Ashley Barnes,6,24,0,0.11538831889629364,0,0,1,0,0,0,S,Burnley,0,0.11538831889629364,0.11538831889629364,0,Burnley,2025,EPL
5355,Jacob Bruun Larsen,26,996,0,1.3876315392553806,1,1.3782861307263374,16,12,0,0,F M S,Burnley,0,1.3876315392553806,4.458551725372672,2.226931793615222,Burnley,2025,EPL
6532,Martin Dubravka,35,3150,0,0,0,0,0,0,1,0,GK,Burnley,0,0,2.838488420471549,2.838488420471549,Burnley,2025,EPL
8969,Florentino Luís,29,1976,0,0.982088977470994,2,0.5249177720397711,11,12,6,0,M S,Burnley,0,0.982088977470994,4.620980126783252,3.8941937321797013,Burnley,2025,EPL
9487,Maxime Estève,33,2862,0,0.4516084846109152,0,0.7021042061969638,10,6,1,0,D,Burnley,0,0.4516084846109152,4.438025475479662,4.28961091581732,Burnley,2025,EPL
10756,Joe Worrall,11,478,0,0.03810013830661774,0,0,1,0,0,0,D S,Burnley,0,0.03810013830661774,0.5445791333913803,0.5064789950847626,Burnley,2025,EPL
11243,Bashir Humphreys,18,1489,0,0.5261353980749846,0,0.8644249252974987,9,9,6,0,D S,Burnley,0,0.5261353980749846,3.1372330458834767,2.733248450793326,Burnley,2025,EPL
11701,Zeki Amdouni,2,21,0,0.17281011119484901,0,0,3,0,0,0,S,Burnley,0,0.17281011119484901,0.1853007897734642,0.012490683235228062,Burnley,2025,EPL
11704,Hjalmar Ekdal,19,1545,0,0.6082124067470431,0,0.16814450826495886,6,4,0,0,D S,Burnley,0,0.6082124067470431,2.7116604670882225,2.586940612643957,Burnley,2025,EPL
11824,Lucas Pires,18,1211,0,0.4762053117156029,0,1.4497609855607152,11,18,0,1,D S,Burnley,0,0.4762053117156029,3.2721965722739697,2.1940818494185805,Burnley,2025,EPL
12094,Mike Trésor,6,25,0,0,0,0,0,0,0,0,S,Burnley,0,0,0.027223162353038788,0.027223162353038788,Burnley,2025,EPL
13727,Quilindschy Hartman,21,1843,0,0.377465664409101,5,2.790129487402737,9,20,1,0,D,Burnley,0,0.377465664409101,5.23548704944551,4.075551783666015,Burnley,2025,EPL
13731,Max Weiss,1,90,0,0,0,0,0,0,0,0,GK,Burnley,0,0,0.01872127875685692,0.01872127875685692,Burnley,2025,EPL
14281,Jaydon Banel,1,7,0,0,0,0,0,0,0,0,S,Burnley,0,0,0,0,Burnley,2025,EPL
