id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5829,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '1'}","{'h': '0.978788', 'a': '0.399306'}",2014-08-23 22:00:00,"{'w': 0.49162986463816766, 'd': 0.3606260763294006, 'l': 0.14774405903220938}",d,Almeria,2014,La_liga
5836,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '1', 'a': '0'}","{'h': '1.31774', 'a': '1.31079'}",2014-08-29 19:00:00,"{'w': 0.3705018012587148, 'd': 0.2622374249373449, 'l': 0.36726077377694466}",l,Almeria,2014,La_liga
5786,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '1', 'a': '1'}","{'h': '1.03628', 'a': '0.763656'}",2014-09-12 20:00:00,"{'w': 0.41202261942323654, 'd': 0.3244023162500809, 'l': 0.2635750643261812}",d,Almeria,2014,La_liga
5801,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '1', 'a': '2'}","{'h': '1.67935', 'a': '0.603236'}",2014-09-21 11:00:00,"{'w': 0.6356333971253996, 'd': 0.23468617513078852, 'l': 0.12968042736440807}",w,Almeria,2014,La_liga
5810,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '1'}","{'h': '0.263228', 'a': '1.689'}",2014-09-24 19:00:00,"{'w': 0.05251555434879767, 'd': 0.21244182680620677, 'l': 0.7350426184352392}",l,Almeria,2014,La_liga
5823,True,a,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '0', 'a': '1'}","{'h': '0.957268', 'a': '0.72135'}",2014-09-28 16:00:00,"{'w': 0.3963095128217271, 'd': 0.3395360153280853, 'l': 0.2641544718500223}",w,Almeria,2014,La_liga
5758,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '2', 'a': '2'}","{'h': '2.34067', 'a': '0.511144'}",2014-10-04 21:00:00,"{'w': 0.785506473488621, 'd': 0.15044480246088934, 'l': 0.06404869419438222}",d,Almeria,2014,La_liga
5772,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '2', 'a': '0'}","{'h': '2.75077', 'a': '0.336251'}",2014-10-19 20:00:00,"{'w': 0.8738328029362834, 'd': 0.09867474857018853, 'l': 0.027492218586917534}",l,Almeria,2014,La_liga
5775,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '0', 'a': '1'}","{'h': '0.310169', 'a': '0.921626'}",2014-10-25 15:00:00,"{'w': 0.12116882814474249, 'd': 0.38132650401742557, 'l': 0.49750466783773734}",l,Almeria,2014,La_liga
5722,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '2', 'a': '1'}","{'h': '1.46581', 'a': '1.32208'}",2014-11-02 18:00:00,"{'w': 0.4062816078068085, 'd': 0.2526946024653516, 'l': 0.3410237896530098}",l,Almeria,2014,La_liga
5726,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '0.710826', 'a': '2.88307'}",2014-11-08 15:00:00,"{'w': 0.06396958845058637, 'd': 0.12018245993650864, 'l': 0.8158475401380062}",l,Almeria,2014,La_liga
5744,True,a,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '0', 'a': '0'}","{'h': '1.26093', 'a': '0.0493305'}",2014-11-24 19:45:00,"{'w': 0.6991427399199821, 'd': 0.28679157039030084, 'l': 0.014065689682101071}",d,Almeria,2014,La_liga
5686,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '0', 'a': '1'}","{'h': '0.80016', 'a': '1.25863'}",2014-12-01 19:45:00,"{'w': 0.23638838843845578, 'd': 0.29233842531645693, 'l': 0.4712731862376486}",l,Almeria,2014,La_liga
5695,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '5', 'a': '2'}","{'h': '1.57541', 'a': '1.39683'}",2014-12-08 16:00:00,"{'w': 0.4177688389662091, 'd': 0.2432353011482856, 'l': 0.3389958596940553}",l,Almeria,2014,La_liga
5697,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '4'}","{'h': '1.33389', 'a': '1.25169'}",2014-12-12 19:45:00,"{'w': 0.38704680106721345, 'd': 0.2645050281470452, 'l': 0.3484481707623195}",l,Almeria,2014,La_liga
5707,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '0', 'a': '1'}","{'h': '1.44921', 'a': '1.36468'}",2014-12-19 19:45:00,"{'w': 0.39320599696598096, 'd': 0.25183099066735504, 'l': 0.35496301229249727}",w,Almeria,2014,La_liga
5646,True,a,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '1', 'a': '2'}","{'h': '0.574598', 'a': '1.38062'}",2015-01-03 21:00:00,"{'w': 0.15461094873270606, 'd': 0.2781434468685546, 'l': 0.5672456043721944}",w,Almeria,2014,La_liga
5657,True,h,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '0', 'a': '2'}","{'h': '1.13032', 'a': '1.07199'}",2015-01-11 11:00:00,"{'w': 0.3691876310482948, 'd': 0.2909707090776304, 'l': 0.3398416598716106}",l,Almeria,2014,La_liga
5664,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '3', 'a': '2'}","{'h': '2.23964', 'a': '0.822402'}",2015-01-17 17:00:00,"{'w': 0.6952537158991245, 'd': 0.18179294561948753, 'l': 0.12295332156336604}",l,Almeria,2014,La_liga
