id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
2097,Lionel Messi,38,3374,43,35.89176997169852,18,17.61194877512753,187,95,4,0,F S,Barcelona,38,31.432101871818304,54.75358371436596,19.756728649139404,Barcelona,2014,La_liga
2099,Neymar,33,2573,22,22.72161516547203,7,8.261538552120328,95,52,6,0,F S,Barcelona,21,21.978335231542587,36.88821509107947,11.678398191928864,Barcelona,2014,La_liga
2098,Luis Suárez,27,2182,16,14.542303636670113,14,13.520650519058108,75,60,4,0,F S,Barcelona,16,14.542303636670113,28.306167721748352,6.215008330531418,Barcelona,2014,La_liga
687,Pedro,35,1523,6,7.806145261973143,6,6.433853264898062,38,25,3,0,F S,Barcelona,6,7.806145261973143,20.684921579435468,8.467201376333833,Barcelona,2014,La_liga
2092,Gerard Piqué,27,2383,5,3.7534050419926643,1,0.8372067920863628,20,4,6,0,D S,Barcelona,5,3.7534050419926643,14.04041063785553,12.00807374715805,Barcelona,2014,La_liga
2094,Ivan Rakitic,32,2042,5,3.106178796850145,7,4.0247916132211685,34,35,1,0,M S,Barcelona,5,3.106178796850145,21.61297656595707,16.874901469796896,Barcelona,2014,La_liga
2101,Jeremy Mathieu,28,2103,2,1.0263464795425534,0,1.4110260903835297,11,5,5,0,D S,Barcelona,2,1.0263464795425534,10.112881558015943,9.848886162042618,Barcelona,2014,La_liga
2537,Sandro Ramírez,7,142,2,1.857080616056919,0,0,8,0,0,0,S,Barcelona,2,1.857080616056919,3.034938633441925,1.2844110876321793,Barcelona,2014,La_liga
4093,Xavi,31,1778,2,2.16897951066494,8,6.04245572630316,28,53,1,0,M S,Barcelona,2,2.16897951066494,20.904979046434164,16.479307387024164,Barcelona,2014,La_liga
2093,Jordi Alba,27,2336,1,2.623541111126542,3,3.402686797082424,18,27,6,1,D,Barcelona,1,2.623541111126542,18.62773597985506,14.66482782177627,Barcelona,2014,La_liga
2095,Sergio Busquets,33,2493,1,0.7489578146487474,2,1.5559155829250813,7,17,7,0,M S,Barcelona,1,0.7489578146487474,22.83164554834366,22.19501729682088,Barcelona,2014,La_liga
2100,Rafinha,24,1149,1,1.0632960172370076,1,0.9242738001048565,12,8,2,0,F M S,Barcelona,1,1.0632960172370076,12.764134738594294,11.088795993477106,Barcelona,2014,La_liga
2106,Munir,10,467,1,2.889257188886404,1,0.2769458005204797,18,4,0,0,F S,Barcelona,1,2.889257188886404,4.148797817528248,2.015440764836967,Barcelona,2014,La_liga
2453,Marc Bartra,14,1035,1,1.0710399337112904,3,0.49942611157894135,11,3,1,0,D S,Barcelona,1,1.0710399337112904,6.294476244598627,5.238087687641382,Barcelona,2014,La_liga
1288,Dani Alves,30,2524,0,0.9760406948626041,6,4.9315378135070205,21,40,6,1,D S,Barcelona,0,0.9760406948626041,19.290697433054447,15.587288424372673,Barcelona,2014,La_liga
1635,Thomas Vermaelen,1,66,0,0.014312700368463993,0,0,1,0,0,0,D,Barcelona,0,0.014312700368463993,0.014312700368463993,0,Barcelona,2014,La_liga
1731,Claudio Bravo,37,3330,0,0,0,0,0,0,1,0,GK,Barcelona,0,0,8.037419196218252,8.037419196218252,Barcelona,2014,La_liga
1950,Martín Montoya,8,588,0,0.17038419842720032,0,0.275332098826766,3,3,0,0,D S,Barcelona,0,0.17038419842720032,5.079282611608505,4.776764161884785,Barcelona,2014,La_liga
2091,Javier Mascherano,28,2207,0,0.03024849947541952,0,0.8246176894754171,2,5,8,1,D M S,Barcelona,0,0.03024849947541952,14.08257419243455,13.858413133770227,Barcelona,2014,La_liga
2096,Andrés Iniesta,24,1592,0,1.4732553996145725,1,3.624230720102787,24,20,3,0,M S,Barcelona,0,1.4732553996145725,13.803079441189766,9.69073892571032,Barcelona,2014,La_liga
2104,Sergi Roberto,12,502,0,0.1913990043103695,0,0.1751415990293026,4,4,0,0,M S,Barcelona,0,0.1913990043103695,2.322469614446163,2.117416113615036,Barcelona,2014,La_liga
2105,Jordi Masip,1,90,0,0,0,0,0,0,0,0,GK,Barcelona,0,0,0.017293699085712433,0.017293699085712433,Barcelona,2014,La_liga
2454,Adriano,16,953,0,0.47237520292401314,1,1.1670643873512745,8,9,2,0,D S,Barcelona,0,0.47237520292401314,6.874592484906316,6.427686989307404,Barcelona,2014,La_liga
2504,Douglas,2,97,0,0,0,0,0,0,1,0,D S,Barcelona,0,0,0.3557179942727089,0.3557179942727089,Barcelona,2014,La_liga
