id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5834,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '2', 'a': '0'}","{'h': '0.612645', 'a': '0.37841'}",2014-08-25 19:00:00,"{'w': 0.3476626372680084, 'd': 0.4623547836894502, 'l': 0.1899825790425411}",l,Cordoba,2014,La_liga
5838,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '1', 'a': '1'}","{'h': '0.241504', 'a': '0.786352'}",2014-08-30 18:00:00,"{'w': 0.10691742021473886, 'd': 0.4290115236048837, 'l': 0.4640710561803676}",d,Cordoba,2014,La_liga
5786,True,a,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '1', 'a': '1'}","{'h': '1.03628', 'a': '0.763656'}",2014-09-12 20:00:00,"{'w': 0.41202261942323654, 'd': 0.3244023162500809, 'l': 0.2635750643261812}",d,Cordoba,2014,La_liga
5803,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '3'}","{'h': '0.901931', 'a': '2.64146'}",2014-09-21 18:00:00,"{'w': 0.10434073884024578, 'd': 0.1514758801149564, 'l': 0.7441832425614684}",l,Cordoba,2014,La_liga
5815,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '3', 'a': '0'}","{'h': '1.26428', 'a': '0.116667'}",2014-09-25 21:00:00,"{'w': 0.6767904900796973, 'd': 0.289802735291599, 'l': 0.03340677462080288}",l,Cordoba,2014,La_liga
5825,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '0', 'a': '0'}","{'h': '0.137119', 'a': '0.112527'}",2014-09-28 20:00:00,"{'w': 0.1153620280056117, 'd': 0.7911438072196767, 'l': 0.09349416477471162}",d,Cordoba,2014,La_liga
5754,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '1', 'a': '1'}","{'h': '1.4608', 'a': '0.377042'}",2014-10-03 20:00:00,"{'w': 0.6468872792955833, 'd': 0.25965894486734203, 'l': 0.09345377577962698}",d,Cordoba,2014,La_liga
5768,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '1', 'a': '2'}","{'h': '0.395949', 'a': '1.41292'}",2014-10-18 21:00:00,"{'w': 0.10235197040904051, 'd': 0.2691431951538277, 'l': 0.6285048344006939}",l,Cordoba,2014,La_liga
5778,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '1'}","{'h': '2.09938', 'a': '0.967731'}",2014-10-25 21:00:00,"{'w': 0.6339123976691476, 'd': 0.2015189303507714, 'l': 0.16456866467455283}",d,Cordoba,2014,La_liga
5717,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '4', 'a': '2'}","{'h': '1.77353', 'a': '0.785648'}",2014-11-01 17:00:00,"{'w': 0.6089970134426075, 'd': 0.22907273343731302, 'l': 0.1619302523321515}",l,Cordoba,2014,La_liga
5725,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '0', 'a': '0'}","{'h': '1.22585', 'a': '0.217729'}",2014-11-07 19:45:00,"{'w': 0.6314343145705604, 'd': 0.30342337754230464, 'l': 0.0651423078819813}",d,Cordoba,2014,La_liga
5742,True,a,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '2', 'a': '2'}","{'h': '2.11064', 'a': '0.941968'}",2014-11-23 18:00:00,"{'w': 0.6422842505059253, 'd': 0.19952542174645968, 'l': 0.1581903199142359}",d,Cordoba,2014,La_liga
5752,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '2'}","{'h': '0.541323', 'a': '0.84254'}",2014-11-30 18:00:00,"{'w': 0.22018052293878074, 'd': 0.3786198973191622, 'l': 0.40119957974203035}",l,Cordoba,2014,La_liga
5688,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '0', 'a': '1'}","{'h': '0.611024', 'a': '1.1939'}",2014-12-06 17:00:00,"{'w': 0.18952123772583263, 'd': 0.30822140291618855, 'l': 0.5022573593544054}",w,Cordoba,2014,La_liga
5700,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '0', 'a': '0'}","{'h': '0.806315', 'a': '0.603413'}",2014-12-13 19:00:00,"{'w': 0.37159052332269976, 'd': 0.3782857056437632, 'l': 0.2501237710335228}",d,Cordoba,2014,La_liga
5708,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '5', 'a': '0'}","{'h': '2.59358', 'a': '0.29662'}",2014-12-20 15:00:00,"{'w': 0.8655919420404311, 'd': 0.10727068991070991, 'l': 0.02713725801877603}",l,Cordoba,2014,La_liga
5651,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '2', 'a': '0'}","{'h': '0.980041', 'a': '0.501211'}",2015-01-05 19:45:00,"{'w': 0.4625118192443633, 'd': 0.35351638441744454, 'l': 0.18397179633796626}",w,Cordoba,2014,La_liga
5661,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '0', 'a': '1'}","{'h': '1.78825', 'a': '0.573866'}",2015-01-12 19:45:00,"{'w': 0.6683307645227451, 'd': 0.21873535045144515, 'l': 0.11293388414602515}",w,Cordoba,2014,La_liga
5662,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '1', 'a': '1'}","{'h': '1.11225', 'a': '0.290839'}",2015-01-16 19:45:00,"{'w': 0.5715282399056569, 'd': 0.33202811220970485, 'l': 0.09644364788330552}",d,Cordoba,2014,La_liga
5672,True,h,"{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '2'}","{'h': '1.63834', 'a': '1.99717'}",2015-01-24 15:00:00,"{'w': 0.32054039307872684, 'd': 0.21490054901086927, 'l': 0.46455905383850676}",l,Cordoba,2014,La_liga
