id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5831,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '3', 'a': '0'}","{'h': '1.54124', 'a': '0.10804'}",2014-08-24 20:00:00,"{'w': 0.750682373131572, 'd': 0.22554769599278063, 'l': 0.023769930756548156}",l,Elche,2014,La_liga
5785,True,h,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '1'}","{'h': '1.35652', 'a': '0.762738'}",2014-08-31 22:00:00,"{'w': 0.5090433307015034, 'd': 0.28049957197279807, 'l': 0.21045709730484555}",d,Elche,2014,La_liga
5791,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '2', 'a': '3'}","{'h': '1.42044', 'a': '0.570631'}",2014-09-14 11:00:00,"{'w': 0.5793207166126184, 'd': 0.2717818920231513, 'l': 0.14889739132504756}",w,Elche,2014,La_liga
5796,True,h,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '0', 'a': '2'}","{'h': '1.03354', 'a': '0.903058'}",2014-09-19 20:00:00,"{'w': 0.3777791109670625, 'd': 0.3136333041868737, 'l': 0.30858758484551624}",l,Elche,2014,La_liga
5806,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '5', 'a': '1'}","{'h': '3.93785', 'a': '1.07447'}",2014-09-23 19:00:00,"{'w': 0.861622259634499, 'd': 0.0830158892690635, 'l': 0.055345163924188666}",l,Elche,2014,La_liga
5816,True,h,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '0', 'a': '1'}","{'h': '0.402099', 'a': '2.04008'}",2014-09-26 20:00:00,"{'w': 0.0618500148416878, 'd': 0.1743500650550573, 'l': 0.7637999150807239}",l,Elche,2014,La_liga
5758,True,a,"{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '2', 'a': '2'}","{'h': '2.34067', 'a': '0.511144'}",2014-10-04 21:00:00,"{'w': 0.785506473488621, 'd': 0.15044480246088934, 'l': 0.06404869419438222}",d,Elche,2014,La_liga
5771,True,h,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '0', 'a': '2'}","{'h': '0.47658', 'a': '2.52963'}",2014-10-19 18:00:00,"{'w': 0.050546249170184084, 'd': 0.12970599832594734, 'l': 0.8197476722197415}",l,Elche,2014,La_liga
5777,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '3', 'a': '1'}","{'h': '1.18501', 'a': '0.498984'}",2014-10-25 19:00:00,"{'w': 0.5313667560665697, 'd': 0.31272718864255317, 'l': 0.15590605528765628}",l,Elche,2014,La_liga
5723,True,h,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '1'}","{'h': '2.35234', 'a': '2.01995'}",2014-11-02 20:00:00,"{'w': 0.4637753257994723, 'd': 0.1950625824258862, 'l': 0.3411620555425772}",w,Elche,2014,La_liga
5727,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '0', 'a': '0'}","{'h': '0.701376', 'a': '0.891117'}",2014-11-08 17:00:00,"{'w': 0.2697831026190677, 'd': 0.351856031717318, 'l': 0.3783608656635535}",d,Elche,2014,La_liga
5742,True,h,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '206', 'title': 'Cordoba', 'short_title': 'COR'}","{'h': '2', 'a': '2'}","{'h': '2.11064', 'a': '0.941968'}",2014-11-23 18:00:00,"{'w': 0.6422842505059253, 'd': 0.19952542174645968, 'l': 0.1581903199142359}",d,Elche,2014,La_liga
5745,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '3', 'a': '0'}","{'h': '1.32833', 'a': '0.749825'}",2014-11-28 19:45:00,"{'w': 0.5044828886654437, 'd': 0.28452233317770464, 'l': 0.21099477814122822}",l,Elche,2014,La_liga
5687,True,h,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '2'}","{'h': '0.424663', 'a': '0.279031'}",2014-12-06 15:00:00,"{'w': 0.2764534016140727, 'd': 0.5551395175253457, 'l': 0.16840708086058132}",l,Elche,2014,La_liga
