id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5835,True,h,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '0'}","{'h': '0.357337', 'a': '0.901586'}",2014-08-25 21:00:00,"{'w': 0.14143267275923524, 'd': 0.38308042418855104, 'l': 0.4754869030521443}",d,Rayo Vallecano,2014,La_liga
5843,True,a,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '2', 'a': '2'}","{'h': '1.89944', 'a': '2.23586'}",2014-08-31 20:00:00,"{'w': 0.3358923448502658, 'd': 0.2008792614619211, 'l': 0.46322837517441756}",d,Rayo Vallecano,2014,La_liga
5791,True,h,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '2', 'a': '3'}","{'h': '1.42044', 'a': '0.570631'}",2014-09-14 11:00:00,"{'w': 0.5793207166126184, 'd': 0.2717818920231513, 'l': 0.14889739132504756}",l,Rayo Vallecano,2014,La_liga
5802,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '4', 'a': '2'}","{'h': '4.38395', 'a': '1.40506'}",2014-09-21 16:00:00,"{'w': 0.8543517831729015, 'd': 0.0807259891073133, 'l': 0.0648668537103951}",l,Rayo Vallecano,2014,La_liga
5809,True,h,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '2', 'a': '1'}","{'h': '3.17965', 'a': '1.06179'}",2014-09-24 19:00:00,"{'w': 0.786358010094694, 'd': 0.12306060398590248, 'l': 0.09058002752658999}",w,Rayo Vallecano,2014,La_liga
5821,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '0', 'a': '2'}","{'h': '0.637848', 'a': '1.39355'}",2014-09-27 21:00:00,"{'w': 0.17056341109061643, 'd': 0.27634107402082425, 'l': 0.5530955148583956}",w,Rayo Vallecano,2014,La_liga
5756,True,h,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '2'}","{'h': '0.515599', 'a': '2.97834'}",2014-10-04 17:00:00,"{'w': 0.038880018066067515, 'd': 0.09831378276999668, 'l': 0.8628055856476741}",l,Rayo Vallecano,2014,La_liga
5764,True,a,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '0', 'a': '1'}","{'h': '0.432469', 'a': '0.471785'}",2014-10-17 20:00:00,"{'w': 0.24047477206646184, 'd': 0.4917551076690747, 'l': 0.2677701202644637}",w,Rayo Vallecano,2014,La_liga
5780,True,a,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '4', 'a': '0'}","{'h': '3.90394', 'a': '0.395055'}",2014-10-26 11:00:00,"{'w': 0.943193877968366, 'd': 0.04413234383829601, 'l': 0.01265865635903464}",l,Rayo Vallecano,2014,La_liga
5724,True,h,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '2', 'a': '3'}","{'h': '1.21559', 'a': '2.50481'}",2014-11-03 19:45:00,"{'w': 0.16813304105802948, 'd': 0.17721775594879602, 'l': 0.6546491321294828}",l,Rayo Vallecano,2014,La_liga
