id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1401,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '1', 'a': '0'}","{'h': '0.477297', 'a': '1.27636'}",2015-08-22 20:30:00,"{'w': 0.13865570486893616, 'd': 0.295810794977251, 'l': 0.5655335001448032}",l,Getafe,2015,La_liga
1417,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '2'}","{'h': '0.801319', 'a': '1.27622'}",2015-08-31 00:30:00,"{'w': 0.23387528493868184, 'd': 0.29002693328279644, 'l': 0.47609778176951256}",l,Getafe,2015,La_liga
1425,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '3', 'a': '1'}","{'h': '1.91225', 'a': '0.930841'}",2015-09-13 18:00:00,"{'w': 0.6035470736740743, 'd': 0.21827411936886226, 'l': 0.1781788048139987}",l,Getafe,2015,La_liga
1429,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '1', 'a': '0'}","{'h': '1.18708', 'a': '0.690557'}",2015-09-18 22:30:00,"{'w': 0.4785228520090203, 'd': 0.3064917216992436, 'l': 0.21498542628843467}",w,Getafe,2015,La_liga
1440,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '0'}","{'h': '1.48124', 'a': '0.480381'}",2015-09-22 22:00:00,"{'w': 0.6214889672054732, 'd': 0.25996974649397697, 'l': 0.11854128623112442}",l,Getafe,2015,La_liga
1457,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '3', 'a': '0'}","{'h': '1.09777', 'a': '0.589659'}",2015-09-27 20:15:00,"{'w': 0.4777217045333007, 'd': 0.32557363843204695, 'l': 0.19670465703354248}",w,Getafe,2015,La_liga
1459,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '0', 'a': '0'}","{'h': '1.48902', 'a': '1.32092'}",2015-10-02 22:30:00,"{'w': 0.4123755728759828, 'd': 0.2512826005824719, 'l': 0.3363418264525263}",d,Getafe,2015,La_liga
1476,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '4', 'a': '0'}","{'h': '2.86431', 'a': '0.443316'}",2015-10-18 20:15:00,"{'w': 0.864765040328734, 'd': 0.10009124531181621, 'l': 0.03514333472948173}",w,Getafe,2015,La_liga
1482,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '5', 'a': '0'}","{'h': '5.15361', 'a': '0.227689'}",2015-10-24 22:30:00,"{'w': 0.9859009285348801, 'd': 0.011808233788146553, 'l': 0.001981305000039614}",l,Getafe,2015,La_liga
1493,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '2'}","{'h': '0.18992', 'a': '2.07864'}",2015-10-31 23:30:00,"{'w': 0.026052043605713265, 'd': 0.1485172148217265, 'l': 0.8254307351555015}",l,Getafe,2015,La_liga
1502,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '3', 'a': '1'}","{'h': '2.65653', 'a': '0.607458'}",2015-11-07 23:30:00,"{'w': 0.8083380587373431, 'd': 0.12977405210253107, 'l': 0.06188774043299296}",l,Getafe,2015,La_liga
1518,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '1', 'a': '1'}","{'h': '0.721945', 'a': '1.1181'}",2015-11-23 23:30:00,"{'w': 0.2358788294619049, 'd': 0.315313656713891, 'l': 0.4488075138227676}",d,Getafe,2015,La_liga
1525,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '2', 'a': '0'}","{'h': '1.67288', 'a': '0.7886'}",2015-11-29 15:00:00,"{'w': 0.5845847844340112, 'd': 0.24088166349438012, 'l': 0.17453355171137538}",w,Getafe,2015,La_liga
1529,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '4', 'a': '1'}","{'h': '1.87007', 'a': '0.24488'}",2015-12-05 19:00:00,"{'w': 0.7760624843119331, 'd': 0.18254129494075347, 'l': 0.04139621915234054}",l,Getafe,2015,La_liga
1539,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '1'}","{'h': '0.762214', 'a': '1.82817'}",2015-12-11 23:30:00,"{'w': 0.15059163009716878, 'd': 0.22204685800202975, 'l': 0.6273615107202937}",d,Getafe,2015,La_liga
1549,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '2'}","{'h': '1.18705', 'a': '0.508532'}",2015-12-19 19:00:00,"{'w': 0.529224420195616, 'd': 0.3121386676533244, 'l': 0.1586369121477612}",d,Getafe,2015,La_liga
1563,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '0', 'a': '0'}","{'h': '0.742286', 'a': '0.584931'}",2015-12-30 23:30:00,"{'w': 0.35143371041197724, 'd': 0.39348574641014694, 'l': 0.25508054317787093}",d,Getafe,2015,La_liga
1577,True,a,"{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '1', 'a': '2'}","{'h': '1.85778', 'a': '2.18421'}",2016-01-04 23:30:00,"{'w': 0.33581050683591335, 'd': 0.20348908152489428, 'l': 0.46070039794700374}",w,Getafe,2015,La_liga
1580,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '0'}","{'h': '1.28639', 'a': '0.602107'}",2016-01-09 21:15:00,"{'w': 0.5325572130271758, 'd': 0.293229059637955, 'l': 0.17421372732483184}",w,Getafe,2015,La_liga
1594,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '3', 'a': '1'}","{'h': '2.98406', 'a': '1.6525'}",2016-01-17 21:15:00,"{'w': 0.6475455658143142, 'd': 0.16087779181752285, 'l': 0.19157601396663004}",w,Getafe,2015,La_liga
1601,True,a,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '3', 'a': '2'}","{'h': '2.75252', 'a': '1.57754'}",2016-01-23 23:30:00,"{'w': 0.6235477405344135, 'd': 0.17207195423050975, 'l': 0.20438007333753028}",l,Getafe,2015,La_liga
1610,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '0', 'a': '1'}","{'h': '1.33205', 'a': '1.59857'}",2016-01-30 21:15:00,"{'w': 0.3190009295347019, 'd': 0.24387605766847678, 'l': 0.4371230125853214}",l,Getafe,2015,La_liga
1618,True,a,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '3', 'a': '0'}","{'h': '2.07318', 'a': '0.524602'}",2016-02-05 23:30:00,"{'w': 0.7380798257757061, 'd': 0.1802590184497423, 'l': 0.08166114957434539}",l,Getafe,2015,La_liga
1635,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '1'}","{'h': '0.312685', 'a': '0.711788'}",2016-02-14 21:15:00,"{'w': 0.1461934211807951, 'd': 0.44344048806057235, 'l': 0.4103660907586301}",l,Getafe,2015,La_liga
1639,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '3', 'a': '0'}","{'h': '2.29436', 'a': '1.46167'}",2016-02-19 23:30:00,"{'w': 0.5626258026113014, 'd': 0.19787921185712198, 'l': 0.2394949623781123}",l,Getafe,2015,La_liga
1651,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '0', 'a': '1'}","{'h': '0.863924', 'a': '1.60224'}",2016-02-27 21:15:00,"{'w': 0.20220598880671792, 'd': 0.24994421238386338, 'l': 0.5478497986079686}",l,Getafe,2015,La_liga
1660,True,a,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '4', 'a': '0'}","{'h': '2.3145', 'a': '0.477963'}",2016-03-02 01:00:00,"{'w': 0.7893680493329844, 'd': 0.15026584688314654, 'l': 0.06036607794100277}",l,Getafe,2015,La_liga
1671,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '1'}","{'h': '1.13072', 'a': '0.467979'}",2016-03-05 23:30:00,"{'w': 0.5231741374628943, 'd': 0.324144073938274, 'l': 0.15268178859715498}",d,Getafe,2015,La_liga
1680,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '6', 'a': '0'}","{'h': '4.60705', 'a': '0.281872'}",2016-03-12 19:00:00,"{'w': 0.9746001728726392, 'd': 0.0209789525812061, 'l': 0.004325872390449099}",l,Getafe,2015,La_liga
1689,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '1', 'a': '1'}","{'h': '1.28229', 'a': '2.83807'}",2016-03-18 23:30:00,"{'w': 0.1470071573266104, 'd': 0.15658520851597507, 'l': 0.6964072953342374}",d,Getafe,2015,La_liga
1699,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '0'}","{'h': '2.4939', 'a': '0.759713'}",2016-04-01 22:30:00,"{'w': 0.7523715366413614, 'd': 0.15473656523660587, 'l': 0.0928918310787815}",l,Getafe,2015,La_liga
1716,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '0'}","{'h': '2.05697', 'a': '0.718479'}",2016-04-10 20:15:00,"{'w': 0.6861144354574612, 'd': 0.1945918002472536, 'l': 0.1192937587000944}",l,Getafe,2015,La_liga
1720,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '5'}","{'h': '1.0366', 'a': '3.07047'}",2016-04-16 18:00:00,"{'w': 0.09415342344521628, 'd': 0.12858896065840833, 'l': 0.7772567261598164}",l,Getafe,2015,La_liga
1737,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '1', 'a': '2'}","{'h': '1.22844', 'a': '1.58835'}",2016-04-21 22:30:00,"{'w': 0.29534629633117226, 'd': 0.2473566884682648, 'l': 0.45729701501620157}",w,Getafe,2015,La_liga
1746,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '2'}","{'h': '2.82608', 'a': '0.728167'}",2016-04-24 20:15:00,"{'w': 0.8054493746387268, 'd': 0.12563753981479, 'l': 0.06891276402942655}",d,Getafe,2015,La_liga
1756,True,a,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '0', 'a': '2'}","{'h': '0.669729', 'a': '0.961273'}",2016-05-01 20:15:00,"{'w': 0.24579216278917165, 'd': 0.34353701049282215, 'l': 0.41067082671783284}",w,Getafe,2015,La_liga
1762,True,h,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '1', 'a': '1'}","{'h': '1.25718', 'a': '0.508995'}",2016-05-08 19:00:00,"{'w': 0.5505234802614, 'd': 0.299198198304384, 'l': 0.15027832142690745}",d,Getafe,2015,La_liga
1776,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '1'}","{'h': '1.59407', 'a': '1.28875'}",2016-05-15 21:30:00,"{'w': 0.4453957887208172, 'd': 0.24539663356174368, 'l': 0.3092075775191742}",l,Getafe,2015,La_liga
