id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1408,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '1', 'a': '3'}","{'h': '0.893586', 'a': '1.81223'}",2015-08-24 22:30:00,"{'w': 0.18198335177822828, 'd': 0.22755421597885472, 'l': 0.590462431192201}",l,Granada,2015,La_liga
1417,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '2'}","{'h': '0.801319', 'a': '1.27622'}",2015-08-31 00:30:00,"{'w': 0.23387528493868184, 'd': 0.29002693328279644, 'l': 0.47609778176951256}",w,Granada,2015,La_liga
1424,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '1', 'a': '3'}","{'h': '0.817524', 'a': '1.48742'}",2015-09-13 14:00:00,"{'w': 0.20635147741079352, 'd': 0.263338008302179, 'l': 0.5303105142135349}",l,Granada,2015,La_liga
1430,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '0'}","{'h': '3.03758', 'a': '1.7661'}",2015-09-19 18:00:00,"{'w': 0.6347653552913576, 'd': 0.16109022969657522, 'l': 0.20414363386311404}",l,Granada,2015,La_liga
1441,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '0', 'a': '3'}","{'h': '0.393118', 'a': '2.65392'}",2015-09-23 00:00:00,"{'w': 0.036070905811322294, 'd': 0.11158155860054085, 'l': 0.8523473886828155}",l,Granada,2015,La_liga
1449,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '0'}","{'h': '2.0801', 'a': '0.990969'}",2015-09-25 22:30:00,"{'w': 0.6245005895025582, 'd': 0.2040786882641115, 'l': 0.17142071575686021}",l,Granada,2015,La_liga
1461,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '1', 'a': '1'}","{'h': '0.825643', 'a': '0.942041'}",2015-10-03 20:15:00,"{'w': 0.30214015076249523, 'd': 0.3316824724163035, 'l': 0.3661773768210519}",d,Granada,2015,La_liga
1478,True,a,"{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '3', 'a': '3'}","{'h': '1.39196', 'a': '2.51462'}",2015-10-19 22:30:00,"{'w': 0.1987671897162566, 'd': 0.18209481988860435, 'l': 0.6191379159081867}",d,Granada,2015,La_liga
1481,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '1'}","{'h': '1.06647', 'a': '1.11054'}",2015-10-24 20:15:00,"{'w': 0.34232904755690713, 'd': 0.2930605995486967, 'l': 0.3646103528923517}",d,Granada,2015,La_liga
1496,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '1'}","{'h': '1.71942', 'a': '0.680785'}",2015-11-01 19:00:00,"{'w': 0.6240172887804302, 'd': 0.23228786604688806, 'l': 0.14369484465207422}",d,Granada,2015,La_liga
1503,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '2', 'a': '1'}","{'h': '0.825919', 'a': '0.483537'}",2015-11-07 23:30:00,"{'w': 0.410238343178422, 'd': 0.3890355383264333, 'l': 0.2007261184951246}",l,Granada,2015,La_liga
1516,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '2', 'a': '0'}","{'h': '0.806379', 'a': '1.35423'}",2015-11-22 21:15:00,"{'w': 0.22303251509831126, 'd': 0.2799431958999313, 'l': 0.49702428898137546}",w,Granada,2015,La_liga
1522,True,a,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '2', 'a': '2'}","{'h': '1.40547', 'a': '0.557943'}",2015-11-28 23:30:00,"{'w': 0.5788476610276125, 'd': 0.27401542059105755, 'l': 0.14713691834743448}",d,Granada,2015,La_liga
1530,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '2'}","{'h': '0.602436', 'a': '1.93434'}",2015-12-05 21:15:00,"{'w': 0.10664453971012806, 'd': 0.20192641261004185, 'l': 0.6914290451857444}",l,Granada,2015,La_liga
1542,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '2'}","{'h': '0.727312', 'a': '0.752355'}",2015-12-12 21:15:00,"{'w': 0.30740133073673176, 'd': 0.37043595896983855, 'l': 0.3221627102934209}",w,Granada,2015,La_liga
1555,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '0', 'a': '2'}","{'h': '0.340342', 'a': '2.25068'}",2015-12-20 21:15:00,"{'w': 0.04281209775563074, 'd': 0.144325388938959, 'l': 0.81286249527819}",l,Granada,2015,La_liga
1566,True,a,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '4', 'a': '1'}","{'h': '1.28726', 'a': '0.688245'}",2015-12-31 00:00:00,"{'w': 0.5091000294262752, 'd': 0.2916125155415194, 'l': 0.19928745502207232}",l,Granada,2015,La_liga
1573,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '2', 'a': '1'}","{'h': '0.766685', 'a': '2.31991'}",2016-01-03 19:00:00,"{'w': 0.10656578235140757, 'd': 0.17096349044494943, 'l': 0.7224707005738079}",w,Granada,2015,La_liga
1578,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '4', 'a': '0'}","{'h': '4.72913', 'a': '0.325061'}",2016-01-09 19:00:00,"{'w': 0.9744609351927799, 'd': 0.020674748920584272, 'l': 0.004738569524940954}",l,Granada,2015,La_liga
1597,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '5', 'a': '1'}","{'h': '2.01571', 'a': '0.430886'}",2016-01-18 23:30:00,"{'w': 0.751956301348643, 'd': 0.1797870917956979, 'l': 0.06825660256547676}",l,Granada,2015,La_liga
1601,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '3', 'a': '2'}","{'h': '2.75252', 'a': '1.57754'}",2016-01-23 23:30:00,"{'w': 0.6235477405344135, 'd': 0.17207195423050975, 'l': 0.20438007333753028}",w,Granada,2015,La_liga
1611,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '0'}","{'h': '1.95153', 'a': '0.91326'}",2016-01-30 23:30:00,"{'w': 0.6163359089576377, 'd': 0.21387110970753384, 'l': 0.16979297853187067}",l,Granada,2015,La_liga
1626,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '2'}","{'h': '0.751196', 'a': '1.67636'}",2016-02-07 23:30:00,"{'w': 0.16512747830908325, 'd': 0.23967388863871741, 'l': 0.5951986326817678}",l,Granada,2015,La_liga
1633,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '3', 'a': '0'}","{'h': '2.55267', 'a': '1.47828'}",2016-02-14 15:00:00,"{'w': 0.6081974048207254, 'd': 0.18178880230733085, 'l': 0.21001370276889156}",l,Granada,2015,La_liga
1647,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '1', 'a': '2'}","{'h': '2.00307', 'a': '1.71536'}",2016-02-21 21:15:00,"{'w': 0.4505231253037157, 'd': 0.21342283662393002, 'l': 0.3360540336179455}",l,Granada,2015,La_liga
1657,True,a,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '0', 'a': '1'}","{'h': '0.822359', 'a': '1.84198'}",2016-02-28 21:15:00,"{'w': 0.16243831385589033, 'd': 0.22249361812058985, 'l': 0.6150680667188021}",w,Granada,2015,La_liga
1666,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '2', 'a': '0'}","{'h': '1.87883', 'a': '0.127036'}",2016-03-03 23:00:00,"{'w': 0.8109363585810917, 'd': 0.16862424286106759, 'l': 0.02043939686093361}",w,Granada,2015,La_liga
1673,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '2', 'a': '0'}","{'h': '0.844439', 'a': '0.363768'}",2016-03-06 15:00:00,"{'w': 0.45126995761969607, 'd': 0.39778927776553785, 'l': 0.15094076461473835}",l,Granada,2015,La_liga
1688,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '1'}","{'h': '0.793529', 'a': '0.699866'}",2016-03-14 23:30:00,"{'w': 0.34361016284138507, 'd': 0.36777406529390044, 'l': 0.28861577186470133}",d,Granada,2015,La_liga
1692,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '2', 'a': '2'}","{'h': '1.40008', 'a': '1.57585'}",2016-03-19 21:15:00,"{'w': 0.3397047397479314, 'd': 0.24309693493852733, 'l': 0.4171983251204773}",d,Granada,2015,La_liga
1704,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '1'}","{'h': '1.37516', 'a': '0.618683'}",2016-04-03 14:00:00,"{'w': 0.5533160486069332, 'd': 0.27912301208497925, 'l': 0.1675609392829461}",d,Granada,2015,La_liga
1709,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '0', 'a': '0'}","{'h': '0.613945', 'a': '1.05827'}",2016-04-08 22:30:00,"{'w': 0.21071316625090286, 'd': 0.3311808933155485, 'l': 0.45810594043288394}",d,Granada,2015,La_liga
1726,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '3', 'a': '0'}","{'h': '1.61364', 'a': '0.473812'}",2016-04-17 20:15:00,"{'w': 0.656377933878898, 'd': 0.23854735374634234, 'l': 0.10507471215311255}",l,Granada,2015,La_liga
1738,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '5', 'a': '1'}","{'h': '3.1552', 'a': '1.04939'}",2016-04-21 23:00:00,"{'w': 0.7855906674627497, 'd': 0.12387967519589382, 'l': 0.09052841980667406}",w,Granada,2015,La_liga
1748,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '2', 'a': '1'}","{'h': '1.96923', 'a': '0.740282'}",2016-04-25 22:30:00,"{'w': 0.6630967134175676, 'd': 0.20526256536864176, 'l': 0.13164071805679975}",l,Granada,2015,La_liga
1753,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '3', 'a': '2'}","{'h': '2.05186', 'a': '1.747'}",2016-05-01 00:05:00,"{'w': 0.45467575020760326, 'd': 0.21071610057953014, 'l': 0.3346081431527193}",w,Granada,2015,La_liga
1768,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '1', 'a': '4'}","{'h': '0.898919', 'a': '2.16052'}",2016-05-08 19:00:00,"{'w': 0.14463129998553095, 'd': 0.19306587838935899, 'l': 0.6623028110087533}",w,Granada,2015,La_liga
1771,True,h,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '3'}","{'h': '0.383514', 'a': '3.23381'}",2016-05-14 19:00:00,"{'w': 0.021454313190252306, 'd': 0.07202494950638934, 'l': 0.9065190727095886}",l,Granada,2015,La_liga
