id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1399,True,a,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '0', 'a': '0'}","{'h': '0.98272', 'a': '0.856601'}",2015-08-21 22:30:00,"{'w': 0.37232412804712145, 'd': 0.32363979394819137, 'l': 0.3040360780044191}",d,Sevilla,2015,La_liga
1415,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '3'}","{'h': '1.73824', 'a': '1.2446'}",2015-08-30 22:30:00,"{'w': 0.4898880350118837, 'd': 0.2358357919666637, 'l': 0.2742761724127882}",l,Sevilla,2015,La_liga
1419,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '1'}","{'h': '1.09171', 'a': '0.886593'}",2015-09-11 22:30:00,"{'w': 0.3997154861357834, 'd': 0.30826291962365393, 'l': 0.2920215942394804}",d,Sevilla,2015,La_liga
1434,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '1', 'a': '2'}","{'h': '1.52622', 'a': '0.84576'}",2015-09-20 14:00:00,"{'w': 0.533162466549441, 'd': 0.25863359685358894, 'l': 0.20820393649266458}",l,Sevilla,2015,La_liga
1447,True,a,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '2', 'a': '0'}","{'h': '1.02387', 'a': '1.53528'}",2015-09-24 00:00:00,"{'w': 0.2526970142154615, 'd': 0.25600775409316195, 'l': 0.49129523157795807}",l,Sevilla,2015,La_liga
1452,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '3', 'a': '2'}","{'h': '2.76392', 'a': '0.920477'}",2015-09-26 22:30:00,"{'w': 0.7583624411633557, 'd': 0.14314949848537722, 'l': 0.09848781638604706}",w,Sevilla,2015,La_liga
1460,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '1'}","{'h': '1.57705', 'a': '3.86997'}",2015-10-03 18:00:00,"{'w': 0.10782309798309705, 'd': 0.11134835924722303, 'l': 0.7808148571194291}",w,Sevilla,2015,La_liga
1470,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '1'}","{'h': '0.781265', 'a': '1.68695'}",2015-10-17 20:15:00,"{'w': 0.17106322339219734, 'd': 0.23906752615032648, 'l': 0.5898692500543394}",d,Sevilla,2015,La_liga
1482,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '5', 'a': '0'}","{'h': '5.15361', 'a': '0.227689'}",2015-10-24 22:30:00,"{'w': 0.9859009285348801, 'd': 0.011808233788146553, 'l': 0.001981305000039614}",w,Sevilla,2015,La_liga
1491,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '2', 'a': '1'}","{'h': '1.03337', 'a': '0.880961'}",2015-10-31 21:15:00,"{'w': 0.3828448964910284, 'd': 0.31548436912790895, 'l': 0.3016707343805366}",l,Sevilla,2015,La_liga
1508,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '3', 'a': '2'}","{'h': '2.39505', 'a': '1.25807'}",2015-11-08 23:30:00,"{'w': 0.6255365811812522, 'd': 0.18667450563574742, 'l': 0.18778887311426787}",w,Sevilla,2015,La_liga
1509,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '2', 'a': '0'}","{'h': '1.39018', 'a': '1.1262'}",2015-11-21 19:00:00,"{'w': 0.429459895901968, 'd': 0.266166806945563, 'l': 0.30437329712170436}",l,Sevilla,2015,La_liga
1528,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '1', 'a': '0'}","{'h': '1.63337', 'a': '0'}",2015-11-29 23:30:00,"{'w': 0.8047295969492247, 'd': 0.19527040278965008, 'l': 0}",w,Sevilla,2015,La_liga
1532,True,a,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '1'}","{'h': '0.64324', 'a': '1.09296'}",2015-12-06 01:00:00,"{'w': 0.21483549876282537, 'd': 0.32360373247834345, 'l': 0.46156076875778695}",d,Sevilla,2015,La_liga
1543,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '2', 'a': '0'}","{'h': '2.1509', 'a': '0.0656616'}",2015-12-12 23:30:00,"{'w': 0.867147892390329, 'd': 0.12492711478258176, 'l': 0.007924982809023238}",w,Sevilla,2015,La_liga
1551,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '0', 'a': '0'}","{'h': '0.377247', 'a': '1.02024'}",2015-12-19 23:30:00,"{'w': 0.13503453693982023, 'd': 0.3519235537886094, 'l': 0.5130419092711731}",d,Sevilla,2015,La_liga
1561,True,h,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '0'}","{'h': '2.87616', 'a': '0.633616'}",2015-12-30 21:15:00,"{'w': 0.8299238818800162, 'd': 0.11487129013204193, 'l': 0.055204428512519374}",w,Sevilla,2015,La_liga
