id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
2270,Antoine Griezmann,36,3072,16,11.523308165371418,8,7.356400892138481,88,56,3,0,F M,Atletico Madrid,16,10.036755248904228,23.41524144820869,8.286491699516773,Atletico Madrid,2016,La_liga
2442,Kevin Gameiro,31,1713,12,11.325677148997784,5,4.332531422376633,50,21,0,0,F S,Atletico Madrid,11,10.58239709585905,14.978774031624198,1.7622218001633883,Atletico Madrid,2016,La_liga
2272,Yannick Carrasco,35,2270,10,7.762834068387747,4,3.405597505159676,85,34,5,0,F M S,Atletico Madrid,10,7.019558098167181,12.585497761145234,4.025112464092672,Atletico Madrid,2016,La_liga
2271,Fernando Torres,31,1417,8,8.836137048900127,5,3.3759541157633066,45,20,3,0,F S,Atletico Madrid,7,7.349578399211168,10.937833284959197,2.140034981071949,Atletico Madrid,2016,La_liga
2266,Saúl Ñíguez,33,2545,4,2.9772111028432846,3,2.890185771510005,47,25,8,0,D M S,Atletico Madrid,4,2.9772111028432846,11.809206996113062,7.160972535610199,Atletico Madrid,2016,La_liga
2269,Koke,36,3172,4,2.5437191110104322,8,5.956621973775327,27,72,6,1,M,Atletico Madrid,4,2.5437191110104322,19.328001553192735,14.522138459607959,Atletico Madrid,2016,La_liga
2275,Ángel Correa,31,1215,4,5.156540215015411,8,3.7910694777965546,37,23,6,0,F M S,Atletico Madrid,4,5.156540215015411,10.943102907389402,4.109630391001701,Atletico Madrid,2016,La_liga
2264,Diego Godín,31,2705,3,2.8600117694586515,1,0.8685937020927668,29,7,10,1,D S,Atletico Madrid,3,2.8600117694586515,4.686632988974452,3.8518957924097776,Atletico Madrid,2016,La_liga
2265,Filipe Luis,34,3011,3,2.307006387040019,6,2.9120452785864472,25,34,5,0,D,Atletico Madrid,3,2.307006387040019,12.974659107625484,11.386349596083164,Atletico Madrid,2016,La_liga
5071,Nicolás Gaitán,23,1019,3,1.8604322094470263,2,2.242403708398342,10,21,1,0,M S,Atletico Madrid,3,1.8604322094470263,7.218149472028017,3.8768506944179535,Atletico Madrid,2016,La_liga
2263,Stefan Savic,32,2727,1,0.26896189898252487,1,0.1481530014425516,3,4,5,1,D S,Atletico Madrid,1,0.26896189898252487,4.6840797029435635,4.606871904805303,Atletico Madrid,2016,La_liga
2273,Tiago,12,448,1,0.664865929633379,0,0.034171201288700104,5,1,2,0,M S,Atletico Madrid,1,0.664865929633379,2.317222338169813,1.727474145591259,Atletico Madrid,2016,La_liga
2328,Thomas Partey,16,628,1,1.941542581655085,2,1.2754404991865158,8,11,5,0,D M S,Atletico Madrid,1,1.198264473117888,4.955592484213412,3.2640035450458527,Atletico Madrid,2016,La_liga
1951,Sime Vrsaljko,14,921,0,0.15732109919190407,0,0.5090436041355133,3,5,2,0,D S,Atletico Madrid,0,0.15732109919190407,3.119367890059948,2.7479392364621162,Atletico Madrid,2016,La_liga
2006,Alessio Cerci,1,13,0,0,0,0,0,0,0,0,S,Atletico Madrid,0,0,0,0,Atletico Madrid,2016,La_liga
2261,Jan Oblak,30,2650,0,0,0,0,0,0,1,0,GK,Atletico Madrid,0,0,3.1494873985648155,3.1494873985648155,Atletico Madrid,2016,La_liga
2262,Juanfran,23,1980,0,0.04507709853351116,2,2.1289619160816073,3,16,2,0,D S,Atletico Madrid,0,0.04507709853351116,8.112652235664427,6.617896200157702,Atletico Madrid,2016,La_liga
2267,Augusto Fernández,3,142,0,0,0,0,0,0,0,0,M S,Atletico Madrid,0,0,0.21058669686317444,0.21058669686317444,Atletico Madrid,2016,La_liga
2268,Gabi,34,2900,0,1.229175810702145,0,1.663816874846816,25,24,9,0,M S,Atletico Madrid,0,0.48589800018817186,12.556426698341966,12.077561186626554,Atletico Madrid,2016,La_liga
2276,Lucas Hernández,15,1253,0,0.04793630167841911,0,0,1,0,2,0,D S,Atletico Madrid,0,0.04793630167841911,2.946645338088274,2.946645338088274,Atletico Madrid,2016,La_liga
2277,Moyá,9,770,0,0,0,0,0,0,0,0,GK S,Atletico Madrid,0,0,0.10451480001211166,0.10451480001211166,Atletico Madrid,2016,La_liga
2278,Giménez,17,1009,0,0.7942314054816961,0,0.3807198088616133,13,5,5,0,D M S,Atletico Madrid,0,0.7942314054816961,1.9006027905270457,1.661685075610876,Atletico Madrid,2016,La_liga
