id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
922,Andreas Pereira,35,2833,5,4.384976324625313,3,3.722253249026835,75,52,10,1,F M S,Granada,5,4.384976324625313,6.914379893802106,2.7459495682269335,Granada,2016,La_liga
2630,Artem Kravets,26,1379,5,6.436827279627323,2,1.2329639922827482,40,12,2,0,F S,Granada,5,6.436827279627323,5.860536457970738,0.8280393043532968,Granada,2016,La_liga
5154,Mehdi Carcela-González,22,1755,5,2.03099786862731,1,1.4621970728039742,30,16,6,0,F M S,Granada,5,2.03099786862731,4.184556858614087,0.9695182964205742,Granada,2016,La_liga
324,Adrián Ramos,14,1133,4,2.524499997496605,1,0.7519183959811926,22,16,4,0,F S,Granada,4,2.524499997496605,3.783665217459202,0.999155405908823,Granada,2016,La_liga
2057,Ezequiel Ponce,25,1121,2,4.413149836473167,0,0.44716169871389866,38,9,4,1,F M S,Granada,2,3.6698718098923564,3.1042108461260796,0.9371599880978465,Granada,2016,La_liga
2081,Isaac Cuenca,25,1739,2,0.9838078003376722,0,1.024484584107995,17,20,4,0,D F M S,Granada,2,0.9838078003376722,3.198550700210035,1.8066059788689017,Granada,2016,La_liga
2085,Lombán,21,1840,2,2.0636583119630814,0,0.06508459895849228,10,4,6,0,D S,Granada,2,2.0636583119630814,1.2996031921356916,1.2506810929626226,Granada,2016,La_liga
3544,Jeremie Boga,26,1448,2,2.162444987334311,1,0.9019273016601801,29,13,0,0,F M S,Granada,2,2.162444987334311,3.675846178084612,1.5190692767500877,Granada,2016,La_liga
2362,Mubarak Wakaso,11,871,1,0.38741149473935366,1,0.2662440948188305,17,7,6,1,M S,Granada,1,0.38741149473935366,1.2893306966871023,1.0068817101418972,Granada,2016,La_liga
4119,Alberto Bueno,13,556,1,0.9761411845684052,2,1.2035921458154917,11,11,0,0,M S,Granada,1,0.9761411845684052,1.4580574501305819,0.3109472990036011,Granada,2016,La_liga
5104,Sverrir Ingi Ingason,17,1472,1,0.8730905205011368,0,0.06364020053297281,5,3,7,0,D,Granada,1,0.8730905205011368,0.7418311014771461,0.6855293996632099,Granada,2016,La_liga
980,Franck Tabanou,6,373,0,0.1299461992457509,0,0,2,0,3,0,D,Granada,0,0.1299461992457509,0.1857509994879365,0.05580480024218559,Granada,2016,La_liga
1561,Panagiotis Kone,2,41,0,0,0,0,0,0,0,0,S,Granada,0,0,0.03591910004615784,0.03591910004615784,Granada,2016,La_liga
1920,Gabriel Silva,12,974,0,0.0159015990793705,0,0.1938082966953516,1,4,3,0,D S,Granada,0,0.0159015990793705,0.6737542953342199,0.6106256954371929,Granada,2016,La_liga
1934,Gastón Silva,22,1747,0,0.20126345474272966,0,0.16247779224067926,6,7,6,0,D S,Granada,0,0.20126345474272966,1.4834958985447884,1.2956980941817164,Granada,2016,La_liga
2083,Rene Krhin,12,940,0,0.09235749766230583,0,0.14659380353987217,2,3,0,0,M S,Granada,0,0.09235749766230583,0.5294495094567537,0.4051158055663109,Granada,2016,La_liga
2087,David Barral,8,307,0,0.515756405889988,1,1.8468310460448265,10,4,1,0,F S,Granada,0,0.515756405889988,1.449468094855547,0.22985980100929737,Granada,2016,La_liga
2159,Tito,12,998,0,0.06417170073837042,1,0.4007070083171129,3,6,1,0,D S,Granada,0,0.06417170073837042,0.7735719922930002,0.5767132863402367,Granada,2016,La_liga
2237,Héctor,13,912,0,0.06741850171238184,2,0.5987451989203691,3,8,2,0,D M S,Granada,0,0.06741850171238184,1.4287722818553448,0.8016660008579493,Granada,2016,La_liga
2330,Guillermo Ochoa,38,3420,0,0,0,0.10105420090258121,0,2,2,0,GK,Granada,0,0,1.588868910446763,1.4878151137381792,Granada,2016,La_liga
2386,Rúben Vezo,18,1489,0,0.6654362883418798,0,0.12059870082885027,7,6,2,1,D S,Granada,0,0.6654362883418798,0.6964804902672768,0.598288094624877,Granada,2016,La_liga
2422,Javi Márquez,7,397,0,0.31093580275774,0,0.07681740075349808,11,3,2,0,M S,Granada,0,0.31093580275774,0.31653219275176525,0.17099690437316895,Granada,2016,La_liga
2492,Sergi Samper,22,1267,0,0.24731760285794735,1,0.5415012892335653,6,6,6,0,M S,Granada,0,0.24731760285794735,2.131818096153438,1.6164201712235808,Granada,2016,La_liga
2509,Dimitri Foulquier,22,1873,0,0.0699531976133585,2,1.1904733125120401,3,9,5,0,D S,Granada,0,0.0699531976133585,3.255049983970821,1.9946226822212338,Granada,2016,La_liga
2564,Uche,31,2389,0,0.29950728453695774,0,1.2273049838840961,13,25,12,2,D M S,Granada,0,0.29950728453695774,4.111788258887827,3.2923755822703242,Granada,2016,La_liga
3609,Matthieu Saunier,16,1309,0,0,1,0.34278829768300056,0,2,4,0,D,Granada,0,0,0.8827017936855555,0.8626384939998388,Granada,2016,La_liga
4163,Luis Martins,2,74,0,0,0,0.18214009702205658,0,3,0,0,M S,Granada,0,0,0.3348861038684845,0.15274599567055702,Granada,2016,La_liga
5103,Martin Hongla,10,795,0,0.4670638106763363,0,0.15355500020086765,5,3,2,0,D M S,Granada,0,0.4670638106763363,1.4798795282840729,1.0018261149525642,Granada,2016,La_liga
5105,Victorien Angban,10,684,0,0.02221529930830002,0,0.20729839988052845,2,7,4,0,M S,Granada,0,0.02221529930830002,1.0947901029139757,0.8941746018826962,Granada,2016,La_liga
5106,Aly Mallé,11,507,0,0.19440820068120956,0,0.11562919989228249,6,3,2,0,F M S,Granada,0,0.19440820068120956,0.49674101173877716,0.2133621983230114,Granada,2016,La_liga
5107,Entrena,3,102,0,0.3379674069583416,0,0,6,0,0,0,F S,Granada,0,0.3379674069583416,0.40180300176143646,0.10864000022411346,Granada,2016,La_liga
5108,Omer Atzili,9,317,0,0.07846699655056,0,0.1836120057851076,1,5,0,0,M S,Granada,0,0.07846699655056,0.17342669796198606,0.14275849889963865,Granada,2016,La_liga
5132,Jean Carlos,1,29,0,0.013336899690330029,0,0,1,0,0,0,S,Granada,0,0.013336899690330029,0.12395700067281723,0.11061999946832657,Granada,2016,La_liga
5136,Estupiñán,2,180,0,0.1110759973526001,0,0.052442800253629684,1,2,1,0,D,Granada,0,0.1110759973526001,0.08031609654426575,0.02787330001592636,Granada,2016,La_liga
5180,Jon Toral,5,268,0,0,0,0,0,0,2,0,M S,Granada,0,0,0.11011400073766708,0.11011400073766708,Granada,2016,La_liga
