id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1788,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '2', 'a': '4'}","{'h': '1.27123', 'a': '1.2781'}",2016-08-23 00:00:00,"{'w': 0.36489315234091857, 'd': 0.2669669145149585, 'l': 0.36813993312642}",w,Las Palmas,2016,La_liga
1795,True,h,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '5', 'a': '1'}","{'h': '2.78367', 'a': '0.431857'}",2016-08-28 20:15:00,"{'w': 0.8586808094572578, 'd': 0.10497099178364236, 'l': 0.03634793221736518}",w,Las Palmas,2016,La_liga
1802,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '2', 'a': '1'}","{'h': '3.53881', 'a': '0.642731'}",2016-09-10 20:15:00,"{'w': 0.8906425989252161, 'd': 0.07554489871031411, 'l': 0.03380764824526103}",l,Las Palmas,2016,La_liga
1813,True,h,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '1', 'a': '0'}","{'h': '0.869251', 'a': '0.645227'}",2016-09-17 22:45:00,"{'w': 0.3844332981695551, 'd': 0.36168153779534823, 'l': 0.2538851640350543}",w,Las Palmas,2016,La_liga
1823,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '4', 'a': '1'}","{'h': '2.81655', 'a': '1.02708'}",2016-09-22 00:00:00,"{'w': 0.7443431157329775, 'd': 0.14550335268391265, 'l': 0.1101532232405403}",l,Las Palmas,2016,La_liga
1833,True,h,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '2', 'a': '2'}","{'h': '1.31532', 'a': '2.7519'}",2016-09-24 22:45:00,"{'w': 0.16034835649358983, 'd': 0.16368368382759746, 'l': 0.6759677285799004}",d,Las Palmas,2016,La_liga
1842,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '2', 'a': '2'}","{'h': '0.988479', 'a': '1.37115'}",2016-10-01 20:30:00,"{'w': 0.27063276527966024, 'd': 0.2729706740839076, 'l': 0.45639656061202327}",d,Las Palmas,2016,La_liga
1849,True,h,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '0', 'a': '0'}","{'h': '1.07463', 'a': '0.318729'}",2016-10-14 22:45:00,"{'w': 0.5500105556784972, 'd': 0.3408299893451528, 'l': 0.10915945497552604}",d,Las Palmas,2016,La_liga
1867,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '2', 'a': '1'}","{'h': '1.67294', 'a': '0.5357'}",2016-10-23 20:30:00,"{'w': 0.6528239639001435, 'd': 0.2326775710498693, 'l': 0.11449846468959025}",l,Las Palmas,2016,La_liga
3316,True,h,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '3', 'a': '3'}","{'h': '2.07556', 'a': '1.23697'}",2016-10-30 23:45:00,"{'w': 0.5668415755331366, 'd': 0.21013493767673558, 'l': 0.223023480490391}",d,Las Palmas,2016,La_liga
