id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
5068,Alexander Szymanowski,28,2045,8,4.516993513330817,2,2.111810103058815,42,28,1,0,F M S,Leganes,7,3.030703505501151,5.744141044095159,2.149696432054043,Leganes,2016,La_liga
2218,Guerrero,31,2147,5,5.251240374520421,1,1.6114204414188862,43,19,3,0,F S,Leganes,4,4.507963100448251,6.350675009191036,1.7844969853758812,Leganes,2016,La_liga
5067,Gabriel Pires,34,2757,5,3.8489772686734796,2,3.029952789656818,56,35,9,0,F M S,Leganes,5,3.8489772686734796,7.858487658202648,3.430057728663087,Leganes,2016,La_liga
5069,Luciano Neves,25,1169,4,4.008577909320593,2,1.1971017010509968,24,12,3,0,F M S,Leganes,3,3.265302862972021,5.294258626177907,1.613993413746357,Leganes,2016,La_liga
2089,Robert Ibáñez,5,166,2,0.7294378373771906,1,0.13916399702429771,8,2,0,0,M S,Leganes,2,0.7294378373771906,0.8961958047002554,0.13299469649791718,Leganes,2016,La_liga
4091,Unai López,23,1164,2,0.6417323080822825,0,0.4735861923545599,12,11,2,0,M S,Leganes,2,0.6417323080822825,1.4240935072302818,0.717098006978631,Leganes,2016,La_liga
5066,David Timor,24,1876,2,0.6120575005188584,1,1.3811804931610823,17,23,7,1,D M S,Leganes,2,0.6120575005188584,2.8148578121326864,1.9643708844669163,Leganes,2016,La_liga
2357,Nabil El Zhar,14,956,1,1.8280487731099129,2,1.004568886011839,20,11,1,0,M S,Leganes,1,1.8280487731099129,3.4935751482844353,1.1154936887323856,Leganes,2016,La_liga
4037,Pablo Insúa,29,1899,1,0.40079309418797493,0,0.07832109928131104,7,2,3,0,D S,Leganes,1,0.40079309418797493,0.9858027007430792,0.8886555004864931,Leganes,2016,La_liga
4119,Alberto Bueno,11,374,1,0.5226434022188187,1,0.7325099110603333,8,9,0,0,F M S,Leganes,1,0.5226434022188187,0.55122260004282,0.07123149931430817,Leganes,2016,La_liga
4226,Darwin Machís,27,1039,1,3.0228509195148945,3,0.9783441983163357,36,11,1,0,F M S,Leganes,1,3.0228509195148945,3.8535332195460796,0.3213312029838562,Leganes,2016,La_liga
5064,Dimitrios Siovas,16,1394,1,1.1515304706990719,0,0.14651444368064404,9,3,4,0,D,Leganes,1,1.1515304706990719,1.779855279251933,1.6406132858246565,Leganes,2016,La_liga
5065,Diego Rico,25,2222,1,0.6368234967812896,0,1.1508207796141505,16,14,6,0,D M,Leganes,1,0.6368234967812896,3.2297239806503057,1.924740212969482,Leganes,2016,La_liga
5117,Víctor Díaz,23,1811,1,1.537629334256053,1,0.7478707889094949,15,11,6,0,D S,Leganes,1,1.537629334256053,2.2440228667110205,1.1784116830676794,Leganes,2016,La_liga
5119,Martín Mantovani,31,2701,1,1.4458229802548885,0,0.08957460150122643,15,2,10,0,D S,Leganes,1,1.4458229802548885,2.24007548391819,2.0212553814053535,Leganes,2016,La_liga
1806,Alberto Brignoli,1,61,0,0,0,0,0,0,0,0,S,Leganes,0,0,0,0,Leganes,2016,La_liga
2080,Rubén Pérez,30,2334,0,0.3718423508107662,1,0.6724277995526791,19,17,11,0,M S,Leganes,0,0.3718423508107662,2.310823742300272,1.9286864958703518,Leganes,2016,La_liga
2159,Tito,11,878,0,0.43421100825071335,2,0.8577383980154991,4,5,3,0,D M S,Leganes,0,0.43421100825071335,1.9363990258425474,1.276557395234704,Leganes,2016,La_liga
