id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
2537,Sandro Ramírez,30,2321,14,6.997654146514833,3,2.99848750885576,92,31,4,0,F S,Malaga,14,6.254504120908678,9.065589983947575,2.07458807900548,Malaga,2016,La_liga
2335,Pablo Fornals,32,2677,6,2.397841257508844,2,2.6036421824246645,41,37,6,0,M S,Malaga,6,2.397841257508844,9.68894618563354,6.6705153957009315,Malaga,2016,La_liga
2336,Ignacio Camacho,35,3147,4,1.99272442702204,2,0.7971495031379163,40,14,15,0,M,Malaga,4,1.99272442702204,6.5626926477998495,5.069634817540646,Malaga,2016,La_liga
2337,Recio,18,1361,3,2.237641591578722,2,0.9436300955712795,15,15,9,0,M S,Malaga,2,1.4943635649979115,4.293925616890192,3.0141185019165277,Malaga,2016,La_liga
2339,Charles,21,1135,3,4.077602826058865,1,0.6656437269411981,38,8,5,0,F S,Malaga,3,4.077602826058865,5.349944781512022,1.5887449830770493,Malaga,2016,La_liga
5145,Michael Santos,14,741,3,3.212196573615074,0,0.6529009006917477,20,9,3,0,F M S,Malaga,2,1.7257690876722336,2.8925161343067884,0.6314778616651893,Malaga,2016,La_liga
2163,Diego Llorente,25,2032,2,1.7987308949232101,0,0.1808134950697422,10,3,2,1,D M S,Malaga,2,1.7987308949232101,1.5152908116579056,1.4022420141845942,Malaga,2016,La_liga
2216,Jony,24,1253,2,2.7267380231060088,1,1.5301590953022242,31,21,3,0,M S,Malaga,1,1.9834640198387206,3.7326665041036904,1.4136703852564096,Malaga,2016,La_liga
2343,Juanpi,22,1476,2,2.231831601820886,0,2.591339275240898,41,33,4,1,F M S,Malaga,2,2.231831601820886,4.158480097539723,1.7090231087058783,Malaga,2016,La_liga
2525,Juankar,28,2058,2,2.1619959892705083,4,2.8592884559184313,15,23,8,1,D M S,Malaga,2,2.1619959892705083,5.6891953852027655,2.077061099000275,Malaga,2016,La_liga
2578,Javi Ontiveros,18,824,2,1.4030878823250532,3,1.9724779147654772,23,16,4,0,M S,Malaga,2,1.4030878823250532,3.771313738077879,0.8595933215692639,Malaga,2016,La_liga
1680,Luis Hernández,19,1679,1,0.6131358947604895,1,0.34323979914188385,4,9,3,0,D,Malaga,1,0.6131358947604895,3.7589843422174454,3.5185821801424026,Malaga,2016,La_liga
2331,Roberto Rosales,32,2861,1,0.5175601849332452,2,2.354590678587556,19,39,4,1,D M,Malaga,1,0.5175601849332452,6.771623773500323,5.306361865252256,Malaga,2016,La_liga
2342,Gonzalo Castro,29,1797,1,2.3756089312955737,3,2.538390437141061,31,39,4,1,F M S,Malaga,1,2.3756089312955737,7.259172746911645,3.9986393470317125,Malaga,2016,La_liga
2345,Duda,16,363,1,0.7688400130718946,2,1.1897148080170155,6,11,3,0,M S,Malaga,1,0.7688400130718946,1.566626412793994,0.7935254070907831,Malaga,2016,La_liga
5169,Youssef En-Nesyri,13,309,1,1.2469726148992777,1,0.5677180141210556,15,3,2,0,S,Malaga,1,1.2469726148992777,1.6564288046211004,0,Malaga,2016,La_liga
623,Martín Demichelis,10,673,0,0.28383490815758705,0,0.0746380016207695,4,1,3,0,D S,Malaga,0,0.28383490815758705,0.8600023156031966,0.8600023156031966,Malaga,2016,La_liga
1548,Adalberto Peñaranda,3,173,0,0,0,0.04157840088009834,0,1,1,0,F S,Malaga,0,0,1.2267347797751427,1.2267347797751427,Malaga,2016,La_liga
1987,Zdravko Kuzmanovic,4,219,0,0.1797020025551319,0,0.061216700822114944,4,1,1,0,M S,Malaga,0,0.1797020025551319,0.34199680015444756,0.25262900069355965,Malaga,2016,La_liga
2131,Keko,22,1052,0,1.32529629021883,3,2.241149924695492,18,18,6,0,F M S,Malaga,0,1.32529629021883,4.505926609039307,1.7959264367818832,Malaga,2016,La_liga
2332,Weligton,1,90,0,0,0,0,0,0,1,0,D,Malaga,0,0,0.027845099568367004,0.027845099568367004,Malaga,2016,La_liga
2334,Miguel Torres,22,1562,0,0.21685350500047207,0,0.26961549557745457,4,5,4,0,D S,Malaga,0,0.21685350500047207,2.0595678905956447,1.9759989916346967,Malaga,2016,La_liga
2347,Federico Ricca,21,1628,0,0.5854583978652954,1,0.48567380011081696,11,11,6,0,D S,Malaga,0,0.5854583978652954,3.068484983406961,2.639952974393964,Malaga,2016,La_liga
2348,Carlos Kameni,35,3150,0,0,0,0.020026100799441338,0,1,2,0,GK,Malaga,0,0,1.8906833892688155,1.870657286606729,Malaga,2016,La_liga
3279,Bakary Koné,7,604,0,0.11066100001335144,0,0.0219992995262146,1,1,1,1,D,Malaga,0,0.11066100001335144,0.4969191960990429,0.4749198965728283,Malaga,2016,La_liga
4036,José Rodríguez,6,460,0,0.5960750915110111,0,0.19125100411474705,2,7,0,1,M,Malaga,0,0.5960750915110111,1.6320941727608442,0.8903010878711939,Malaga,2016,La_liga
5059,Denys Boyko,3,270,0,0,0,0,0,0,0,0,GK,Malaga,0,0,0.42217200994491577,0.42217200994491577,Malaga,2016,La_liga
5144,Luis Muñoz,5,380,0,0.011514900252223015,0,0.05671539902687073,1,1,0,0,D S,Malaga,0,0.011514900252223015,0.50690040551126,0.45018440298736095,Malaga,2016,La_liga
5146,Mikel Villanueva,15,1267,0,0.7464215867221355,0,0,4,0,4,0,D S,Malaga,0,0.7464215867221355,1.3102005068212748,1.3102005068212748,Malaga,2016,La_liga
