id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1779,True,a,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '1', 'a': '1'}","{'h': '0.834224', 'a': '0.829951'}",2016-08-19 22:45:00,"{'w': 0.328724891584258, 'd': 0.34495901462682643, 'l': 0.326316093788871}",d,Osasuna,2016,La_liga
1791,True,h,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '0', 'a': '2'}","{'h': '0.342253', 'a': '0.758033'}",2016-08-27 20:15:00,"{'w': 0.15313820877109602, 'd': 0.4248747011621971, 'l': 0.42198709006670115}",l,Osasuna,2016,La_liga
1801,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '5', 'a': '2'}","{'h': '3.7979', 'a': '1.03534'}",2016-09-10 18:00:00,"{'w': 0.8552287634253126, 'd': 0.08736338248108724, 'l': 0.05739682251942665}",l,Osasuna,2016,La_liga
1814,True,h,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '0', 'a': '0'}","{'h': '0.259738', 'a': '0.683638'}",2016-09-18 14:00:00,"{'w': 0.12556220434771723, 'd': 0.4615700120735735, 'l': 0.4128677835787079}",d,Osasuna,2016,La_liga
1827,True,h,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '2'}","{'h': '1.06944', 'a': '1.39628'}",2016-09-22 22:00:00,"{'w': 0.2881167221685959, 'd': 0.26778342512382053, 'l': 0.4440998526758311}",l,Osasuna,2016,La_liga
1836,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '3', 'a': '1'}","{'h': '2.9887', 'a': '1.7961'}",2016-09-25 20:30:00,"{'w': 0.6211966463288289, 'd': 0.16436952390227333, 'l': 0.21443318868487313}",l,Osasuna,2016,La_liga
1842,True,h,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '2', 'a': '2'}","{'h': '0.988479', 'a': '1.37115'}",2016-10-01 20:30:00,"{'w': 0.27063276527966024, 'd': 0.2729706740839076, 'l': 0.45639656061202327}",d,Osasuna,2016,La_liga
1858,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '2', 'a': '3'}","{'h': '0.802032', 'a': '1.40368'}",2016-10-17 22:45:00,"{'w': 0.21435848354951695, 'd': 0.2738000111169735, 'l': 0.5118415053001876}",w,Osasuna,2016,La_liga
1859,True,h,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '2'}","{'h': '0.929293', 'a': '1.23524'}",2016-10-21 22:45:00,"{'w': 0.2780100851114254, 'd': 0.289590907218365, 'l': 0.4323990076643745}",l,Osasuna,2016,La_liga
3314,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '1', 'a': '1'}","{'h': '1.4373', 'a': '0.338045'}",2016-10-30 19:15:00,"{'w': 0.6526547785023787, 'd': 0.26229949416398984, 'l': 0.08504572728759148}",d,Osasuna,2016,La_liga
2779,True,h,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '0', 'a': '1'}","{'h': '0.471469', 'a': '1.62667'}",2016-11-05 21:30:00,"{'w': 0.10342825992367347, 'd': 0.23642748573655895, 'l': 0.6601442540927197}",l,Osasuna,2016,La_liga
2795,True,a,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '2', 'a': '0'}","{'h': '1.6402', 'a': '0.164701'}",2016-11-21 23:45:00,"{'w': 0.7544857406528813, 'd': 0.21201931941321997, 'l': 0.03349493965766945}",l,Osasuna,2016,La_liga
