id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1784,True,h,"{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '2', 'a': '1'}","{'h': '1.43642', 'a': '0.604671'}",2016-08-21 20:15:00,"{'w': 0.5740455749409678, 'd': 0.2696953557889145, 'l': 0.1562590692244607}",w,Sporting Gijon,2016,La_liga
1796,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '0', 'a': '0'}","{'h': '1.12017', 'a': '0.27695'}",2016-08-28 20:15:00,"{'w': 0.5786117647315225, 'd': 0.3301904528208713, 'l': 0.09119778244613479}",d,Sporting Gijon,2016,La_liga
1805,True,h,"{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '2', 'a': '1'}","{'h': '1.65936', 'a': '0.484862'}",2016-09-11 14:00:00,"{'w': 0.6639835272522687, 'd': 0.23216354741477285, 'l': 0.1038529250099772}",w,Sporting Gijon,2016,La_liga
1811,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '5', 'a': '0'}","{'h': '2.52857', 'a': '0.503786'}",2016-09-17 18:15:00,"{'w': 0.8136880862934032, 'd': 0.13215860686549682, 'l': 0.05415322698163922}",l,Sporting Gijon,2016,La_liga
1822,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '2', 'a': '1'}","{'h': '1.38706', 'a': '0.847147'}",2016-09-21 22:00:00,"{'w': 0.49567818677869296, 'd': 0.2750554839163789, 'l': 0.22926632927660542}",l,Sporting Gijon,2016,La_liga
1831,True,h,"{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '5'}","{'h': '0.631314', 'a': '3.6662'}",2016-09-24 18:15:00,"{'w': 0.029847246469877572, 'd': 0.06873175764942727, 'l': 0.9014136599490745}",l,Sporting Gijon,2016,La_liga
1843,True,a,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '2', 'a': '1'}","{'h': '1.26977', 'a': '0.234392'}",2016-10-01 22:45:00,"{'w': 0.6390727090254955, 'd': 0.29342296036822446, 'l': 0.06750433059789243}",l,Sporting Gijon,2016,La_liga
1856,True,h,"{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '1', 'a': '2'}","{'h': '0.487759', 'a': '0.962304'}",2016-10-16 20:30:00,"{'w': 0.18173671530903437, 'd': 0.35826204807789747, 'l': 0.4600012366128934}",l,Sporting Gijon,2016,La_liga
1863,True,a,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'h': '0', 'a': '0'}","{'h': '0.546868', 'a': '0.242784'}",2016-10-22 22:45:00,"{'w': 0.3508100965969664, 'd': 0.5163116332633461, 'l': 0.13287827013968767}",d,Sporting Gijon,2016,La_liga
3309,True,h,"{'id': '149', 'title': 'Sporting Gijon', 'short_title': 'GIJ'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '1'}","{'h': '0.47946', 'a': '1.288'}",2016-10-29 15:00:00,"{'w': 0.13801050957565678, 'd': 0.29366412975893197, 'l': 0.5683253606551987}",d,Sporting Gijon,2016,La_liga
