id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
2290,Iago Aspas,34,2939,22,17.546523582190275,5,8.858793137595057,94,67,9,0,F M S,Celta Vigo,20,15.317330490797758,31.42611799389124,11.639251209795475,Celta Vigo,2017,La_liga
6124,Maxi Gómez,36,3084,17,16.014192320406437,4,4.2972936518490314,83,23,12,0,F S,Celta Vigo,17,16.014192320406437,22.774309907108545,4.923011703416705,Celta Vigo,2017,La_liga
5116,Pione Sisto,34,2543,5,4.448535276576877,9,4.9382699290290475,52,42,2,0,F M S,Celta Vigo,5,4.448535276576877,15.495612774044275,8.629673698917031,Celta Vigo,2017,La_liga
2284,Daniel Wass,35,2944,4,3.974273569881916,9,6.180295278318226,52,55,4,0,D M S,Celta Vigo,4,3.974273569881916,16.576309601776302,9.739907330833375,Celta Vigo,2017,La_liga
2286,Pablo Hernández,30,1811,3,1.46821422688663,2,1.7553022187203169,17,14,5,0,M S,Celta Vigo,3,1.46821422688663,7.1575942393392324,5.874573333188891,Celta Vigo,2017,La_liga
2280,Jonny,36,3208,2,1.8854480786249042,1,1.7965966258198023,15,22,10,0,D,Celta Vigo,2,1.8854480786249042,15.266025771386921,12.630613301880658,Celta Vigo,2017,La_liga
2282,Sergi Gómez,33,2682,1,1.1746284067630768,0,0.6867827996611595,14,5,3,0,D S,Celta Vigo,1,1.1746284067630768,6.2713778875768185,5.465524412691593,Celta Vigo,2017,La_liga
2419,Cabral,26,1893,1,0.5069958018139005,1,0.27641499787569046,10,2,5,0,D S,Celta Vigo,1,0.5069958018139005,4.230613226071,4.230613226071,Celta Vigo,2017,La_liga
5272,Emre Mor,23,643,1,0.780384368263185,2,1.9865708835422993,12,14,4,0,F M S,Celta Vigo,1,0.780384368263185,2.9539018804207444,1.458084188401699,Celta Vigo,2017,La_liga
6227,Brais Méndez,20,949,1,1.8407847080379725,1,1.8268002159893513,22,10,0,0,F M S,Celta Vigo,1,1.8407847080379725,6.1128133945167065,2.7581852674484253,Celta Vigo,2017,La_liga
1189,Lucas Boyé,13,264,0,0.777316614985466,0,0.19049420580267906,7,2,2,0,F S,Celta Vigo,0,0.777316614985466,1.276345007121563,0.42842480167746544,Celta Vigo,2017,La_liga
1884,Facundo Roncaglia,21,1490,0,0.521823170594871,0,0.11559559963643551,4,2,2,0,D S,Celta Vigo,0,0.521823170594871,6.678834160789847,6.57381640188396,Celta Vigo,2017,La_liga
2165,Jozabed,24,1484,0,1.8308772938326001,4,2.420630726031959,18,21,7,0,M S,Celta Vigo,0,1.8308772938326001,9.2747353464365,6.677969144657254,Celta Vigo,2017,La_liga
2279,Sergio Álvarez,17,1475,0,0,0,0.06671310216188431,0,1,0,0,GK S,Celta Vigo,0,0,2.2223549876362085,2.155641982331872,Celta Vigo,2017,La_liga
2281,Hugo Mallo,34,3007,0,1.7387536698952317,5,5.270098146051168,23,29,12,0,D,Celta Vigo,0,1.7387536698952317,14.871013754047453,10.773180267773569,Celta Vigo,2017,La_liga
2287,John Guidetti,8,100,0,0.32106170989573,0,0.5026395171880722,5,2,0,0,S,Celta Vigo,0,0.32106170989573,0.8338707219809294,0.20683560520410538,Celta Vigo,2017,La_liga
2289,Nemanja Radoja,26,1094,0,0.7047782056033611,1,0.990004975348711,4,7,3,0,M S,Celta Vigo,0,0.7047782056033611,6.765492917969823,5.07070410810411,Celta Vigo,2017,La_liga
2293,Rubén Blanco,22,1942,0,0,0,0,0,0,3,1,GK,Celta Vigo,0,0,2.5707764141261578,2.5707764141261578,Celta Vigo,2017,La_liga
2600,Fontàs,12,882,0,0.03833220154047012,1,0.21941189840435982,1,4,2,0,D S,Celta Vigo,0,0.03833220154047012,3.057549100369215,2.926621802151203,Celta Vigo,2017,La_liga
5032,Andrew Hjulsager,2,9,0,0.02123989909887314,0,0,1,0,0,0,S,Celta Vigo,0,0.02123989909887314,0.02123989909887314,0,Celta Vigo,2017,La_liga
6125,Stanislav Lobotka,38,3062,0,0.2054772013798356,0,0.6420859042555094,8,10,2,0,M S,Celta Vigo,0,0.2054772013798356,12.33898847643286,11.77366051170975,Celta Vigo,2017,La_liga
6481,Robert Mazán,2,80,0,0.14459950476884842,0,0.028351599350571632,2,1,0,0,D S,Celta Vigo,0,0.14459950476884842,0.25211500376462936,0.20760630071163177,Celta Vigo,2017,La_liga
6716,Daniel Molina,1,3,0,0,0,0,0,0,0,0,S,Celta Vigo,0,0,0,0,Celta Vigo,2017,La_liga
