id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
7886,True,h,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '0', 'a': '3'}","{'h': '1.48262', 'a': '2.38821'}",2017-08-20 21:15:00,"{'w': 0.23122115430733947, 'd': 0.1922356330114075, 'l': 0.5765431739874275}",l,Deportivo La Coruna,2017,La_liga
7898,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '2', 'a': '2'}","{'h': '2.40085', 'a': '0.814208'}",2017-08-26 19:15:00,"{'w': 0.7252078224937647, 'd': 0.16643535032700124, 'l': 0.10835678586074293}",d,Deportivo La Coruna,2017,La_liga
7900,True,h,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '2', 'a': '4'}","{'h': '1.1079', 'a': '2.02187'}",2017-09-10 11:00:00,"{'w': 0.20276811874595776, 'd': 0.21227969854833512, 'l': 0.584952178238988}",l,Deportivo La Coruna,2017,La_liga
7911,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '2', 'a': '1'}","{'h': '2.73624', 'a': '0.377717'}",2017-09-16 17:30:00,"{'w': 0.8642877803530185, 'd': 0.10365637820554466, 'l': 0.032055626214147995}",l,Deportivo La Coruna,2017,La_liga
7921,True,h,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '1', 'a': '0'}","{'h': '1.93585', 'a': '0.21606'}",2017-09-20 20:00:00,"{'w': 0.7956900089310239, 'd': 0.17021688855285716, 'l': 0.03409309999621104}",w,Deportivo La Coruna,2017,La_liga
7932,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '4', 'a': '1'}","{'h': '3.02613', 'a': '1.40609'}",2017-09-24 11:00:00,"{'w': 0.7010591759098407, 'd': 0.14978588383756214, 'l': 0.14915419494018084}",l,Deportivo La Coruna,2017,La_liga
7942,True,h,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '1'}","{'h': '2.41777', 'a': '1.54261'}",2017-09-30 12:00:00,"{'w': 0.5698001525512185, 'd': 0.19132329072852575, 'l': 0.2388765114064588}",w,Deportivo La Coruna,2017,La_liga
7954,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '0', 'a': '0'}","{'h': '0.565592', 'a': '0.470714'}",2017-10-15 11:00:00,"{'w': 0.3037433446679403, 'd': 0.45568742189215566, 'l': 0.24056923343990394}",d,Deportivo La Coruna,2017,La_liga
7960,True,h,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '1', 'a': '2'}","{'h': '1.93154', 'a': '1.63012'}",2017-10-23 20:00:00,"{'w': 0.4519939297373915, 'd': 0.2182852213320123, 'l': 0.3297208462295471}",l,Deportivo La Coruna,2017,La_liga
7974,True,a,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '1', 'a': '3'}","{'h': '0.546481', 'a': '1.90215'}",2017-10-30 20:00:00,"{'w': 0.09787135594678155, 'd': 0.20245741537098785, 'l': 0.6996712266842324}",w,Deportivo La Coruna,2017,La_liga
