id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
7888,True,a,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '0', 'a': '1'}","{'h': '0.913442', 'a': '1.4766'}",2017-08-21 21:00:00,"{'w': 0.2332411090588878, 'd': 0.2636830022164821, 'l': 0.5030758886580253}",w,Eibar,2017,La_liga
7894,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '0', 'a': '1'}","{'h': '1.1133', 'a': '1.35304'}",2017-08-27 17:15:00,"{'w': 0.3077745629149681, 'd': 0.26980041863667215, 'l': 0.42242501842688635}",l,Eibar,2017,La_liga
7905,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '3', 'a': '0'}","{'h': '2.84122', 'a': '0.690659'}",2017-09-09 17:30:00,"{'w': 0.8147135477484527, 'd': 0.12176023297442694, 'l': 0.06352587578232495}",l,Eibar,2017,La_liga
7915,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '1', 'a': '0'}","{'h': '0.383513', 'a': '0.236029'}",2017-09-16 06:00:00,"{'w': 0.2623835535032608, 'd': 0.5880216351364526, 'l': 0.14959481136028663}",w,Eibar,2017,La_liga
7924,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '6', 'a': '1'}","{'h': '2.58774', 'a': '0.962105'}",2017-09-19 21:00:00,"{'w': 0.7230189832416791, 'd': 0.15921103116594446, 'l': 0.11776987864283553}",l,Eibar,2017,La_liga
7934,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '0', 'a': '4'}","{'h': '1.06999', 'a': '1.13361'}",2017-09-24 17:30:00,"{'w': 0.33858182424751637, 'd': 0.2908378283855171, 'l': 0.37058034736445333}",l,Eibar,2017,La_liga
7943,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '3', 'a': '0'}","{'h': '2.76075', 'a': '0.539665'}",2017-10-01 17:30:00,"{'w': 0.834969440266007, 'd': 0.11597770938414918, 'l': 0.04905260984296158}",l,Eibar,2017,La_liga
7954,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'h': '0', 'a': '0'}","{'h': '0.565592', 'a': '0.470714'}",2017-10-15 11:00:00,"{'w': 0.3037433446679403, 'd': 0.45568742189215566, 'l': 0.24056923343990394}",d,Eibar,2017,La_liga
7961,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '3', 'a': '0'}","{'h': '1.54139', 'a': '0.359568'}",2017-10-22 19:45:00,"{'w': 0.6724682531050628, 'd': 0.24444876342598088, 'l': 0.08308298334970007}",l,Eibar,2017,La_liga
7972,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '2', 'a': '2'}","{'h': '1.41711', 'a': '0.90967'}",2017-10-29 17:30:00,"{'w': 0.4881333424974617, 'd': 0.27029110017889046, 'l': 0.24157555728562433}",d,Eibar,2017,La_liga
7981,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '3', 'a': '1'}","{'h': '2.41358', 'a': '0.275872'}",2017-11-05 17:30:00,"{'w': 0.8495365892214234, 'd': 0.12124917081909227, 'l': 0.029214195755323264}",l,Eibar,2017,La_liga
7991,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '5', 'a': '0'}","{'h': '2.62321', 'a': '0.689499'}",2017-11-20 20:00:00,"{'w': 0.7865854083687289, 'd': 0.1387831964908785, 'l': 0.07463126820554657}",w,Eibar,2017,La_liga
8000,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '1', 'a': '2'}","{'h': '0.401289', 'a': '1.08957'}",2017-11-25 12:00:00,"{'w': 0.13552144198221938, 'd': 0.3349341459039721, 'l': 0.5295444121128092}",w,Eibar,2017,La_liga
8010,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '3', 'a': '1'}","{'h': '1.70062', 'a': '0.266091'}",2017-12-03 17:30:00,"{'w': 0.7366523136718077, 'd': 0.21076448142797424, 'l': 0.05258320445096529}",w,Eibar,2017,La_liga
8019,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '0', 'a': '0'}","{'h': '0.267913', 'a': '0.906043'}",2017-12-09 12:00:00,"{'w': 0.1064363245973531, 'd': 0.3888613880102003, 'l': 0.5047022873923721}",d,Eibar,2017,La_liga
8031,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '1'}","{'h': '0.808252', 'a': '1.09896'}",2017-12-16 17:30:00,"{'w': 0.26633589773429317, 'd': 0.31273747250001505, 'l': 0.42092662976455114}",w,Eibar,2017,La_liga
8039,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '4', 'a': '1'}","{'h': '2.47814', 'a': '0.343595'}",2017-12-21 18:30:00,"{'w': 0.8423340741369736, 'd': 0.12202927769902253, 'l': 0.03563658630438779}",w,Eibar,2017,La_liga
8049,True,a,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '1', 'a': '2'}","{'h': '0.909208', 'a': '1.69025'}",2018-01-06 17:30:00,"{'w': 0.2013456097854204, 'd': 0.24065366831595553, 'l': 0.5580007214846988}",w,Eibar,2017,La_liga
8067,True,h,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '1'}","{'h': '0.922091', 'a': '1.68244'}",2018-01-13 17:30:00,"{'w': 0.2055113301015331, 'd': 0.24158929496944181, 'l': 0.5528993745400383}",l,Eibar,2017,La_liga
