id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
7882,True,h,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '2', 'a': '2'}","{'h': '2.57496', 'a': '0.847485'}",2017-08-19 19:15:00,"{'w': 0.7456773209001731, 'd': 0.15351923930416755, 'l': 0.10080333931716196}",d,Girona,2017,La_liga
7895,True,h,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '1', 'a': '0'}","{'h': '1.66954', 'a': '0.325871'}",2017-08-26 19:15:00,"{'w': 0.7122901950029401, 'd': 0.22061625419866301, 'l': 0.06709355044772336}",w,Girona,2017,La_liga
7906,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '2', 'a': '0'}","{'h': '1.72422', 'a': '0.314128'}",2017-09-10 15:15:00,"{'w': 0.7275273035330357, 'd': 0.21093379695082792, 'l': 0.06153889897571936}",l,Girona,2017,La_liga
7916,True,h,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '0', 'a': '1'}","{'h': '1.90439', 'a': '1.35514'}",2017-09-17 15:15:00,"{'w': 0.5035259072990838, 'd': 0.22309287226054295, 'l': 0.2733812183904658}",l,Girona,2017,La_liga
7925,True,a,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '0', 'a': '0'}","{'h': '0.470624', 'a': '1.24121'}",2017-09-20 19:00:00,"{'w': 0.14057572003223728, 'd': 0.3024298970713802, 'l': 0.5569943828902584}",d,Girona,2017,La_liga
7935,True,h,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '3'}","{'h': '0.90657', 'a': '1.28645'}",2017-09-23 19:45:00,"{'w': 0.26242796916068567, 'd': 0.28494289252703786, 'l': 0.4526291383021572}",l,Girona,2017,La_liga
7944,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '3', 'a': '3'}","{'h': '2.56272', 'a': '1.32391'}",2017-09-29 20:00:00,"{'w': 0.641994024439369, 'd': 0.17683160495310052, 'l': 0.18117427597696617}",d,Girona,2017,La_liga
7955,True,h,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '1', 'a': '2'}","{'h': '1.77848', 'a': '1.23084'}",2017-10-15 15:15:00,"{'w': 0.5024188314295205, 'd': 0.23291021412098728, 'l': 0.26467095362625903}",l,Girona,2017,La_liga
7960,True,a,"{'id': '139', 'title': 'Deportivo La Coruna', 'short_title': 'DEP'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '1', 'a': '2'}","{'h': '1.93154', 'a': '1.63012'}",2017-10-23 20:00:00,"{'w': 0.4519939297373915, 'd': 0.2182852213320123, 'l': 0.3297208462295471}",w,Girona,2017,La_liga
7973,True,h,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '2', 'a': '1'}","{'h': '2.26046', 'a': '1.58248'}",2017-10-29 15:15:00,"{'w': 0.5307396324859351, 'd': 0.2009506338661612, 'l': 0.26830971441289436}",w,Girona,2017,La_liga
7982,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '1', 'a': '2'}","{'h': '0.648662', 'a': '1.61579'}",2017-11-05 11:00:00,"{'w': 0.1471790587278721, 'd': 0.24485098653470633, 'l': 0.607969954511755}",w,Girona,2017,La_liga
