id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1672,Jonathan Calleri,37,3112,9,13.241059372201562,3,2.9048602040857077,99,27,7,0,F S,Las Palmas,4,9.524800950661302,10.36804828979075,2.5199098018929362,Las Palmas,2017,La_liga
690,Loïc Remy,12,757,5,3.7402372881770134,0,0.12163770012557507,31,5,1,0,F M S,Las Palmas,5,3.7402372881770134,4.934484090656042,1.7842687703669071,Las Palmas,2017,La_liga
2358,Jonathan Viera,23,1993,4,5.653494576923549,3,6.395737191662192,39,62,4,0,M,Las Palmas,3,3.4236613558605313,10.870012428611517,5.734954625368118,Las Palmas,2017,La_liga
2215,Alen Halilovic,20,1307,2,1.527150934562087,1,1.5836089979857206,38,20,1,1,M S,Las Palmas,2,1.527150934562087,2.998553115874529,1.2473648972809315,Las Palmas,2017,La_liga
2352,David García,11,858,1,0.5757188908755779,0,0.1802510004490614,5,4,2,0,D S,Las Palmas,1,0.5757188908755779,0.8303497955203056,0.8025231882929802,Las Palmas,2017,La_liga
2359,Tana,24,1552,1,1.9745752923190594,1,1.1884200032800436,14,21,2,0,F M S,Las Palmas,1,1.9745752923190594,5.789995728060603,3.690795011818409,Las Palmas,2017,La_liga
2511,Vitolo,9,693,1,0.9531686902046204,0,0.9130447879433632,6,7,0,0,F M S,Las Palmas,1,0.9531686902046204,2.462721711024642,1.1534806722775102,Las Palmas,2017,La_liga
5079,Erik Exposito,10,455,1,0.6502666138112545,0,0.24682670086622238,9,4,0,0,F S,Las Palmas,1,0.6502666138112545,1.278836701065302,0.48789540119469166,Las Palmas,2017,La_liga
46,Jairo Samperio,11,556,0,0.638067714869976,0,0.6489579007029533,9,4,1,0,D F M S,Las Palmas,0,0.638067714869976,0.9474907070398331,0.2863534986972809,Las Palmas,2017,La_liga
112,Alejandro Gálvez,18,1620,0,0.9363534934818745,0,0.052720699459314346,16,1,5,1,D,Las Palmas,0,0.9363534934818745,1.9747520983219147,1.922031007707119,Las Palmas,2017,La_liga
1167,Alberto Aquilani,21,1293,0,0.48865550570189953,0,0.45392000023275614,12,12,4,0,M S,Las Palmas,0,0.48865550570189953,3.0569204734638333,2.775176498107612,Las Palmas,2017,La_liga
1594,Hernán Toledo,15,613,0,0.163242993876338,1,0.7300128005445004,3,6,2,0,D F M S,Las Palmas,0,0.163242993876338,1.9107371335849166,1.1654918482527137,Las Palmas,2017,La_liga
2351,Raúl Lizoain,11,990,0,0,0,0,0,0,0,0,GK,Las Palmas,0,0,1.0332660004496574,1.0332660004496574,Las Palmas,2017,La_liga
2353,Pedro Bigas,12,897,0,0.1183605995029211,0,0.2990422062575817,4,5,3,0,D S,Las Palmas,0,0.1183605995029211,1.491445031017065,1.2765536159276962,Las Palmas,2017,La_liga
2354,Mauricio Lemos,16,1267,0,0.7387478984892368,0,0.1763996034860611,16,4,6,0,D M S,Las Palmas,0,0.7387478984892368,2.7831077249720693,2.7131957542151213,Las Palmas,2017,La_liga
2355,Dani Castellano,24,2027,0,0.08162480033934116,2,0.6387750990688801,4,9,5,0,D S,Las Palmas,0,0.08162480033934116,3.8766449335962534,3.393347855657339,Las Palmas,2017,La_liga
2360,Momo,13,675,0,0.7708120681345463,1,1.0864722952246666,6,14,3,0,F M S,Las Palmas,0,0.7708120681345463,2.041386302560568,0.670193511992693,Las Palmas,2017,La_liga
2363,Vicente Gómez,25,1531,0,0.5280277077108622,0,0.3107220036908984,14,5,3,0,M S,Las Palmas,0,0.5280277077108622,2.902015555649996,2.2321387492120266,Las Palmas,2017,La_liga
2364,David Simón,11,717,0,0.23226500302553177,0,0.8737270962446928,3,10,3,0,D S,Las Palmas,0,0.23226500302553177,1.8821553960442543,0.9025823064148426,Las Palmas,2017,La_liga
2365,Sergio Araujo,2,36,0,0.09825959801673889,0,0,2,0,0,0,S,Las Palmas,0,0.09825959801673889,0.19027100503444672,0.09201139956712723,Las Palmas,2017,La_liga
2429,Hernán,7,350,0,0.9991779997944832,0,0,5,0,1,0,M S,Las Palmas,0,0.9991779997944832,1.8285235101357102,0.946212493814528,Las Palmas,2017,La_liga
2461,Aythami,3,181,0,0,0,0,0,0,0,0,D S,Las Palmas,0,0,0.359721296466887,0.359721296466887,Las Palmas,2017,La_liga
2492,Sergi Samper,2,150,0,0,0,0,0,0,0,0,M,Las Palmas,0,0,0.18412939831614494,0.18412939831614494,Las Palmas,2017,La_liga
2570,Nacho Gil,14,731,0,0.35335710644721985,0,1.1561638321727514,8,10,1,0,F M S,Las Palmas,0,0.35335710644721985,0.9117113035172224,0.46901860274374485,Las Palmas,2017,La_liga
