id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
7888,True,h,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '0', 'a': '1'}","{'h': '0.913442', 'a': '1.4766'}",2017-08-21 21:00:00,"{'w': 0.2332411090588878, 'd': 0.2636830022164821, 'l': 0.5030758886580253}",l,Malaga,2017,La_liga
7895,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '1', 'a': '0'}","{'h': '1.66954', 'a': '0.325871'}",2017-08-26 19:15:00,"{'w': 0.7122901950029401, 'd': 0.22061625419866301, 'l': 0.06709355044772336}",l,Malaga,2017,La_liga
7907,True,h,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'h': '1', 'a': '3'}","{'h': '0.904978', 'a': '1.89906'}",2017-09-11 20:00:00,"{'w': 0.17408606893175116, 'd': 0.21889716180609117, 'l': 0.6070167673066093}",l,Malaga,2017,La_liga
7918,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '1', 'a': '0'}","{'h': '1.54645', 'a': '0.438352'}",2017-09-16 19:45:00,"{'w': 0.6503359463962718, 'd': 0.24758180158353457, 'l': 0.1020822518955174}",l,Malaga,2017,La_liga
7928,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '5', 'a': '0'}","{'h': '3.40858', 'a': '0.817228'}",2017-09-19 19:00:00,"{'w': 0.8530578255966624, 'd': 0.0941549711965354, 'l': 0.05278408383749621}",l,Malaga,2017,La_liga
7938,True,h,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '3', 'a': '3'}","{'h': '2.36068', 'a': '1.93264'}",2017-09-23 17:30:00,"{'w': 0.48169229714337997, 'd': 0.19550318090662935, 'l': 0.32280448618659213}",d,Malaga,2017,La_liga
7947,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '2', 'a': '0'}","{'h': '2.50129', 'a': '0.429422'}",2017-09-30 15:15:00,"{'w': 0.8263891961941593, 'd': 0.12802817670860717, 'l': 0.04558255749026333}",l,Malaga,2017,La_liga
7958,True,h,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '0', 'a': '2'}","{'h': '1.13838', 'a': '1.93807'}",2017-10-15 17:30:00,"{'w': 0.22038538748132422, 'd': 0.2198421634150765, 'l': 0.5597724465434405}",l,Malaga,2017,La_liga
7966,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'h': '2', 'a': '0'}","{'h': '2.19062', 'a': '0.629202'}",2017-10-21 19:45:00,"{'w': 0.7328513271814469, 'd': 0.17483532443468117, 'l': 0.09231333567934899}",l,Malaga,2017,La_liga
7976,True,h,"{'id': '137', 'title': 'Malaga', 'short_title': 'MAL'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '2', 'a': '1'}","{'h': '2.03731', 'a': '1.07069'}",2017-10-29 19:45:00,"{'w': 0.5968824106239207, 'd': 0.21013971589760155, 'l': 0.19297786854380072}",w,Malaga,2017,La_liga
