id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9961,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '3', 'a': '0'}","{'h': '3.26753', 'a': '0.248353'}",2018-08-18 23:15:00,"{'w': 0.9287004668739006, 'd': 0.059198089418958634, 'l': 0.01209955854195363}",l,Alaves,2018,La_liga
9969,True,h,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '0', 'a': '0'}","{'h': '0.580983', 'a': '1.5812'}",2018-08-25 19:15:00,"{'w': 0.1341821744491893, 'd': 0.24769004636605702, 'l': 0.6181277790162973}",d,Alaves,2018,La_liga
9984,True,h,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '1'}","{'h': '1.15622', 'a': '1.04802'}",2018-09-02 14:15:00,"{'w': 0.3819876181057918, 'd': 0.2904192736347533, 'l': 0.3275931082565878}",w,Alaves,2018,La_liga
9994,True,a,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '0', 'a': '1'}","{'h': '1.10397', 'a': '0.848478'}",2018-09-16 16:30:00,"{'w': 0.41263656001568644, 'd': 0.3094360987901397, 'l': 0.2779273411929441}",w,Alaves,2018,La_liga
10001,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '1', 'a': '5'}","{'h': '1.08157', 'a': '1.24884'}",2018-09-22 11:00:00,"{'w': 0.3188509445872507, 'd': 0.280229642426208, 'l': 0.40091941297897415}",w,Alaves,2018,La_liga
10007,True,h,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '1', 'a': '1'}","{'h': '1.65223', 'a': '1.20669'}",2018-09-27 18:00:00,"{'w': 0.4778477632025143, 'd': 0.24293012633595545, 'l': 0.2792221101525917}",d,Alaves,2018,La_liga
10021,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '2', 'a': '1'}","{'h': '1.37126', 'a': '0.703753'}",2018-09-30 16:30:00,"{'w': 0.52888486615909, 'd': 0.279281308528119, 'l': 0.1918338252886087}",l,Alaves,2018,La_liga
10027,True,h,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '0'}","{'h': '1.16947', 'a': '0.872949'}",2018-10-06 16:30:00,"{'w': 0.42664639298598583, 'd': 0.3000246484351414, 'l': 0.2733289585761478}",w,Alaves,2018,La_liga
10044,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '0', 'a': '1'}","{'h': '0.733589', 'a': '0.988217'}",2018-10-19 19:00:00,"{'w': 0.2625254471345947, 'd': 0.3337862441196882, 'l': 0.4036883087454593}",w,Alaves,2018,La_liga
10055,True,h,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '2', 'a': '1'}","{'h': '1.97594', 'a': '1.0916'}",2018-10-28 16:30:00,"{'w': 0.578917492219702, 'd': 0.21591530160778982, 'l': 0.20516720286989926}",w,Alaves,2018,La_liga
10063,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '2', 'a': '1'}","{'h': '1.161', 'a': '0.596162'}",2018-11-04 11:00:00,"{'w': 0.49614511734186006, 'd': 0.3142755661159113, 'l': 0.18957931653980548}",l,Alaves,2018,La_liga
