id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9966,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '2', 'a': '1'}","{'h': '2.45697', 'a': '1.14522'}",2018-08-20 23:00:00,"{'w': 0.6613206252715776, 'd': 0.17814282780901666, 'l': 0.16053649144867638}",l,Leganes,2018,La_liga
9968,True,h,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '2', 'a': '2'}","{'h': '1.67636', 'a': '1.69572'}",2018-08-24 23:15:00,"{'w': 0.38222788484024306, 'd': 0.22746688784176505, 'l': 0.3903052265153747}",d,Leganes,2018,La_liga
9982,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '4', 'a': '1'}","{'h': '2.31092', 'a': '1.00157'}",2018-09-01 18:45:00,"{'w': 0.6668063942871465, 'd': 0.1840575701305815, 'l': 0.14913601024817139}",l,Leganes,2018,La_liga
9992,True,h,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '1'}","{'h': '1.22184', 'a': '0.533854'}",2018-09-16 10:00:00,"{'w': 0.532639848350097, 'd': 0.30526064555784055, 'l': 0.16209950608713666}",l,Leganes,2018,La_liga
10004,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '1', 'a': '0'}","{'h': '1.78459', 'a': '0.781041'}",2018-09-22 14:15:00,"{'w': 0.6127103484208447, 'd': 0.22766682851944847, 'l': 0.15962282220362808}",l,Leganes,2018,La_liga
10013,True,h,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '1'}","{'h': '1.17874', 'a': '0.40097'}",2018-09-26 18:00:00,"{'w': 0.5586354209822914, 'd': 0.31554390231156165, 'l': 0.1258206767031548}",w,Leganes,2018,La_liga
10017,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '1', 'a': '0'}","{'h': '2.09064', 'a': '0.410456'}",2018-09-30 18:45:00,"{'w': 0.7703172506781533, 'd': 0.16896998879313885, 'l': 0.060712753610535554}",l,Leganes,2018,La_liga
10031,True,h,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '1', 'a': '0'}","{'h': '1.18789', 'a': '0.408158'}",2018-10-06 18:45:00,"{'w': 0.5593246610437812, 'd': 0.31354632295174145, 'l': 0.1271290160011463}",w,Leganes,2018,La_liga
10038,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '1', 'a': '1'}","{'h': '1.18124', 'a': '0.973224'}",2018-10-20 14:15:00,"{'w': 0.4062834944415925, 'd': 0.2928579894042452, 'l': 0.3008585161508766}",d,Leganes,2018,La_liga
10056,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '2', 'a': '0'}","{'h': '1.15766', 'a': '1.46459'}",2018-10-27 16:30:00,"{'w': 0.29916690325637973, 'd': 0.25895404864926835, 'l': 0.4418790480325105}",l,Leganes,2018,La_liga
