id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9964,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '0'}","{'h': '1.16219', 'a': '0.188446'}",2018-08-19 23:15:00,"{'w': 0.6213692444704101, 'd': 0.31899886971324837, 'l': 0.05963188581388407}",w,Real Madrid,2018,La_liga
9974,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '4'}","{'h': '0.502361', 'a': '4.09404'}",2018-08-26 23:15:00,"{'w': 0.01520124954739952, 'd': 0.044282673652000316, 'l': 0.9404901742906233}",w,Real Madrid,2018,La_liga
9982,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'h': '4', 'a': '1'}","{'h': '2.31092', 'a': '1.00157'}",2018-09-01 18:45:00,"{'w': 0.6668063942871465, 'd': 0.1840575701305815, 'l': 0.14913601024817139}",w,Real Madrid,2018,La_liga
9991,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '1'}","{'h': '1.45129', 'a': '1.95843'}",2018-09-15 18:45:00,"{'w': 0.28619033319839166, 'd': 0.2190221928188697, 'l': 0.4947874709938304}",d,Real Madrid,2018,La_liga
9998,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '0'}","{'h': '1.08701', 'a': '0.424687'}",2018-09-22 18:45:00,"{'w': 0.52163836160034, 'd': 0.33471315859669637, 'l': 0.14364847980199663}",w,Real Madrid,2018,La_liga
10016,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '3', 'a': '0'}","{'h': '2.29262', 'a': '1.55351'}",2018-09-26 20:00:00,"{'w': 0.543133236054864, 'd': 0.19890915166358536, 'l': 0.2579575892777983}",l,Real Madrid,2018,La_liga
10022,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '0'}","{'h': '1.13552', 'a': '0.661567'}",2018-09-29 18:45:00,"{'w': 0.47024324805412565, 'd': 0.31575538413157883, 'l': 0.21400136781251572}",d,Real Madrid,2018,La_liga
10027,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '0'}","{'h': '1.16947', 'a': '0.872949'}",2018-10-06 16:30:00,"{'w': 0.42664639298598583, 'd': 0.3000246484351414, 'l': 0.2733289585761478}",l,Real Madrid,2018,La_liga
10046,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '1', 'a': '2'}","{'h': '3.02601', 'a': '1.83965'}",2018-10-20 11:00:00,"{'w': 0.6191838412322261, 'd': 0.16345315429767598, 'l': 0.21736225826931663}",l,Real Madrid,2018,La_liga
10047,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '5', 'a': '1'}","{'h': '3.15939', 'a': '2.11339'}",2018-10-28 14:15:00,"{'w': 0.5911181394625811, 'd': 0.1623985271415743, 'l': 0.24648206789461669}",l,Real Madrid,2018,La_liga
