id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9960,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '2'}","{'h': '1.39716', 'a': '0.410646'}",2018-08-18 21:15:00,"{'w': 0.6197975161591295, 'd': 0.27250376583211106, 'l': 0.10769871797750803}",w,Real Sociedad,2018,La_liga
9968,True,a,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '2', 'a': '2'}","{'h': '1.67636', 'a': '1.69572'}",2018-08-24 23:15:00,"{'w': 0.38222788484024306, 'd': 0.22746688784176505, 'l': 0.3903052265153747}",d,Real Sociedad,2018,La_liga
9978,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '2', 'a': '1'}","{'h': '0.798059', 'a': '1.32388'}",2018-08-31 23:00:00,"{'w': 0.2253853044528899, 'd': 0.2839979730291317, 'l': 0.4906167225030524}",l,Real Sociedad,2018,La_liga
9989,True,h,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '1.47969', 'a': '1.7617'}",2018-09-15 14:15:00,"{'w': 0.3251664400904203, 'd': 0.23022944058235967, 'l': 0.4446041185382265}",l,Real Sociedad,2018,La_liga
10003,True,a,"{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '0', 'a': '1'}","{'h': '0.565773', 'a': '0.200875'}",2018-09-21 19:00:00,"{'w': 0.3719786382350368, 'd': 0.5188848440590946, 'l': 0.10913651770586828}",w,Real Sociedad,2018,La_liga
10008,True,h,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '2', 'a': '2'}","{'h': '1.23911', 'a': '1.77977'}",2018-09-25 19:00:00,"{'w': 0.2663944429048867, 'd': 0.23275220896204024, 'l': 0.5008533473013594}",d,Real Sociedad,2018,La_liga
10023,True,h,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '0', 'a': '1'}","{'h': '1.12097', 'a': '0.924746'}",2018-09-29 11:00:00,"{'w': 0.39966156087819804, 'd': 0.30231135904371836, 'l': 0.29802708007649803}",l,Real Sociedad,2018,La_liga
10035,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '3'}","{'h': '1.18842', 'a': '2.11494'}",2018-10-05 19:00:00,"{'w': 0.207780177264696, 'd': 0.20624282031551913, 'l': 0.5859769943725711}",w,Real Sociedad,2018,La_liga
10039,True,h,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '0', 'a': '0'}","{'h': '0.57678', 'a': '0.53783'}",2018-10-22 19:00:00,"{'w': 0.2936866006285864, 'd': 0.4379745874600984, 'l': 0.2683388119113148}",d,Real Sociedad,2018,La_liga
10053,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '2', 'a': '0'}","{'h': '1.41243', 'a': '0.211158'}",2018-10-27 18:45:00,"{'w': 0.6861009718581442, 'd': 0.2605340876586893, 'l': 0.05336494044690075}",l,Real Sociedad,2018,La_liga
10064,True,h,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '0', 'a': '0'}","{'h': '0.74078', 'a': '0.413773'}",2018-11-04 17:30:00,"{'w': 0.3947645961646846, 'd': 0.41947171294822555, 'l': 0.1857636908870855}",d,Real Sociedad,2018,La_liga
10071,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '3'}","{'h': '1.06813', 'a': '1.43351'}",2018-11-09 20:00:00,"{'w': 0.28121900535001354, 'd': 0.26446815135726426, 'l': 0.45431284324755666}",w,Real Sociedad,2018,La_liga
10078,True,h,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '2', 'a': '1'}","{'h': '2.07409', 'a': '0.545872'}",2018-11-26 20:00:00,"{'w': 0.7328297399379741, 'd': 0.18171918179330696, 'l': 0.08545107203284068}",w,Real Sociedad,2018,La_liga
10094,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '0'}","{'h': '1.31385', 'a': '1.39194'}",2018-12-02 11:00:00,"{'w': 0.35321084046690665, 'd': 0.25763127338752717, 'l': 0.3891578861024461}",l,Real Sociedad,2018,La_liga
10102,True,h,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '1', 'a': '2'}","{'h': '1.7451', 'a': '1.31256'}",2018-12-09 17:30:00,"{'w': 0.4764138296963662, 'd': 0.23444651829658344, 'l': 0.2891396513589058}",l,Real Sociedad,2018,La_liga
10113,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '0'}","{'h': '0.358274', 'a': '0.608285'}",2018-12-15 12:00:00,"{'w': 0.18129063745073087, 'd': 0.46791655790096015, 'l': 0.3507928046483085}",l,Real Sociedad,2018,La_liga
