id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9957,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '0', 'a': '0'}","{'h': '0.626716', 'a': '0.030934'}",2018-08-17 21:15:00,"{'w': 0.4554063567075847, 'd': 0.5281598325241971, 'l': 0.016433810768217993}",d,Real Valladolid,2018,La_liga
9971,True,h,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '0.510742', 'a': '1.20392'}",2018-08-25 23:15:00,"{'w': 0.15723369389233255, 'd': 0.30894519644901625, 'l': 0.5338211096546384}",l,Real Valladolid,2018,La_liga
9977,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '0', 'a': '0'}","{'h': '1.0807', 'a': '1.09505'}",2018-08-31 21:00:00,"{'w': 0.34974771301015284, 'd': 0.29324701505557543, 'l': 0.3570052719323089}",d,Real Valladolid,2018,La_liga
9994,True,h,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '0', 'a': '1'}","{'h': '1.10397', 'a': '0.848478'}",2018-09-16 16:30:00,"{'w': 0.41263656001568644, 'd': 0.3094360987901397, 'l': 0.2779273411929441}",l,Real Valladolid,2018,La_liga
10005,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '3', 'a': '3'}","{'h': '2.13067', 'a': '2.16098'}",2018-09-22 14:15:00,"{'w': 0.394735181802466, 'd': 0.1992141158190615, 'l': 0.4060506828737131}",d,Real Valladolid,2018,La_liga
10009,True,h,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '2', 'a': '1'}","{'h': '1.25362', 'a': '1.09992'}",2018-09-27 18:00:00,"{'w': 0.39815752181754843, 'd': 0.2787930604303505, 'l': 0.32304941774393353}",w,Real Valladolid,2018,La_liga
10026,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '0', 'a': '1'}","{'h': '2.90806', 'a': '0.848198'}",2018-09-30 14:15:00,"{'w': 0.7923092369668818, 'd': 0.12797007345228129, 'l': 0.0797202319482522}",w,Real Valladolid,2018,La_liga
10036,True,h,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '1', 'a': '0'}","{'h': '0.927264', 'a': '0.800191'}",2018-10-07 10:00:00,"{'w': 0.3671736697540599, 'd': 0.3361905192737041, 'l': 0.2966358109721196}",w,Real Valladolid,2018,La_liga
10045,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '0', 'a': '1'}","{'h': '0.820674', 'a': '0.501587'}",2018-10-21 18:45:00,"{'w': 0.403349337041997, 'd': 0.38806774564914576, 'l': 0.20858291730883893}",w,Real Valladolid,2018,La_liga
10049,True,h,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '1'}","{'h': '1.2412', 'a': '0.508367'}",2018-10-26 19:00:00,"{'w': 0.5459020758527204, 'd': 0.3021119011561396, 'l': 0.1519860229850169}",d,Real Valladolid,2018,La_liga
