id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
6219,Enes Ünal,33,2152,6,8.596426769159734,3,1.561076712794602,53,19,7,0,F S,Real Valladolid,3,6.366721740923822,8.194578994065523,1.6029745619744062,Real Valladolid,2018,La_liga
5212,Sergi Guardiola,17,1517,3,5.431481750681996,1,2.0693453531712294,46,9,0,0,F,Real Valladolid,3,4.688204752281308,6.438215561211109,0.39068280160427094,Real Valladolid,2018,La_liga
6917,Rubén Alcaraz,34,2979,3,3.7584778387099504,2,0.993112713098526,52,21,13,0,M,Real Valladolid,3,3.01519981212914,9.273644555360079,7.906210337765515,Real Valladolid,2018,La_liga
6921,Óscar Plano,33,2699,3,4.245735727250576,4,3.486890785396099,46,30,8,0,F M S,Real Valladolid,3,4.245735727250576,10.412572834640741,4.43991628754884,Real Valladolid,2018,La_liga
2044,Daniele Verde,22,622,2,1.4970452236011624,0,1.5240882150828838,24,12,1,0,F M S,Real Valladolid,1,0.7537671970203519,2.953784216195345,1.7594084292650223,Real Valladolid,2018,La_liga
2131,Keko,26,1556,2,3.6359490547329187,1,1.7005322389304638,21,13,2,0,M S,Real Valladolid,2,3.6359490547329187,7.166660953313112,1.9902904778718948,Real Valladolid,2018,La_liga
5164,Leo Suárez,12,527,2,1.331463203765452,0,0.33619319647550583,10,2,0,0,F M S,Real Valladolid,2,1.331463203765452,2.7317379601299763,1.193066019564867,Real Valladolid,2018,La_liga
6919,Toni Villa,26,1783,2,1.9413274703547359,2,2.6932565877214074,35,24,3,0,F M S,Real Valladolid,2,1.9413274703547359,6.476711839437485,3.3441330436617136,Real Valladolid,2018,La_liga
6922,Antoñito,30,1846,2,1.2499060770496726,1,2.033600714057684,8,23,5,0,D M S,Real Valladolid,2,1.2499060770496726,5.6332379803061485,3.748378809541464,Real Valladolid,2018,La_liga
2161,Nacho,35,3150,1,0.5801392020657659,3,3.7000644095242023,17,42,10,0,D M,Real Valladolid,1,0.5801392020657659,10.779464671388268,8.027090730145574,Real Valladolid,2018,La_liga
4208,Míchel,35,2554,1,1.304522069171071,2,4.437097385525703,21,55,9,0,M S,Real Valladolid,1,0.561244698241353,10.03890385851264,7.917086781933904,Real Valladolid,2018,La_liga
6916,Fernando Calero,36,3131,1,0.5485896011814475,0,0.5020151007920504,10,5,7,0,D S,Real Valladolid,1,0.5485896011814475,6.624418235383928,6.491227245889604,Real Valladolid,2018,La_liga
6918,Anuar Mohamed,19,1081,1,2.9295815713703632,0,0.0731324004009366,10,2,6,0,M S,Real Valladolid,1,2.9295815713703632,3.9648995297029614,1.4208815023303032,Real Valladolid,2018,La_liga
7233,Joaquín Fernández,13,835,1,0.3302143020555377,0,0.011703199706971645,7,1,2,0,D M S,Real Valladolid,1,0.3302143020555377,0.35451769828796387,0.34281449764966965,Real Valladolid,2018,La_liga
7525,Waldo Rubio,8,493,1,1.0845442228019238,0,0.2599820978939533,12,6,1,0,M S,Real Valladolid,1,1.0845442228019238,1.7483168318867683,0.4857639819383621,Real Valladolid,2018,La_liga
2105,Jordi Masip,35,3150,0,0,0,0.019686900079250336,0,1,1,0,GK,Real Valladolid,0,0,1.9732119888067245,1.9535250887274742,Real Valladolid,2018,La_liga
2157,Yoel,3,270,0,0,0,0,0,0,0,0,GK,Real Valladolid,0,0,0.07117420062422752,0.07117420062422752,Real Valladolid,2018,La_liga
2340,Duje Cop,18,672,0,2.3709028009325266,0,1.4538035802543163,16,10,2,0,F S,Real Valladolid,0,2.3709028009325266,5.117911973968148,1.6735909134149551,Real Valladolid,2018,La_liga
2528,Ivi,3,12,0,0.06892509758472443,0,0,1,0,0,0,S,Real Valladolid,0,0.06892509758472443,0,0,Real Valladolid,2018,La_liga
4054,Pablo Hervías,3,165,0,0.1136787012219429,0,0.27226949483156204,3,2,1,0,M S,Real Valladolid,0,0.1136787012219429,0.491899810731411,0.15720479935407639,Real Valladolid,2018,La_liga
4132,Borja,19,837,0,0.12666889932006598,0,0.010902900248765945,5,1,3,0,D M S,Real Valladolid,0,0.12666889932006598,0.38924029283225536,0.35651989933103323,Real Valladolid,2018,La_liga
6404,Hacen,1,1,0,0,0,0,0,0,0,0,S,Real Valladolid,0,0,0.07877089828252792,0.07877089828252792,Real Valladolid,2018,La_liga
6914,Javi Moyano,27,2115,0,0.2655117064714432,0,0.3200891064479947,6,10,3,0,D S,Real Valladolid,0,0.2655117064714432,4.33348647877574,3.9590846598148346,Real Valladolid,2018,La_liga
6915,Kiko Olivas,35,3103,0,0.26574199460446835,0,0.13212820142507553,5,4,6,0,D,Real Valladolid,0,0.26574199460446835,5.820304594933987,5.737110983580351,Real Valladolid,2018,La_liga
6920,Chris Ramos,1,64,0,0,0,0,0,0,0,0,F,Real Valladolid,0,0,0,0,Real Valladolid,2018,La_liga
6924,Miguel De la Fuente,2,11,0,0.1030300036072731,0,0,2,0,0,0,S,Real Valladolid,0,0.1030300036072731,0.06822700053453445,0,Real Valladolid,2018,La_liga
7182,Moisés Delgado,3,270,0,0.030662639997899532,0,0.07561109773814678,2,3,1,0,D M,Real Valladolid,0,0.030662639997899532,0.8129232823848724,0.7202111706137657,Real Valladolid,2018,La_liga
7426,Stiven Plaza,2,34,0,0,0,0,0,0,0,0,S,Real Valladolid,0,0,0,0,Real Valladolid,2018,La_liga
