id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
12026,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '0'}","{'h': '0.457129', 'a': '1.03621'}",2019-08-16 20:00:00,"{'w': 0.16091174515666318, 'd': 0.34430339110155556, 'l': 0.4947848637412865}",l,Barcelona,2019,La_liga
12042,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '5', 'a': '2'}","{'h': '2.85088', 'a': '0.145785'}",2019-08-25 20:00:00,"{'w': 0.9174831252919817, 'd': 0.0729742283621872, 'l': 0.009542288129153831}",w,Barcelona,2019,La_liga
12043,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '2'}","{'h': '1.7305', 'a': '0.360967'}",2019-08-31 16:00:00,"{'w': 0.7153020333724198, 'd': 0.21357155083341617, 'l': 0.07112641522678427}",d,Barcelona,2019,La_liga
12054,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '5', 'a': '2'}","{'h': '2.61069', 'a': '1.27064'}",2019-09-14 19:00:00,"{'w': 0.6614854734253038, 'd': 0.17165124087015207, 'l': 0.16686316617182329}",w,Barcelona,2019,La_liga
12065,True,a,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '0'}","{'h': '1.87283', 'a': '0.557709'}",2019-09-21 19:00:00,"{'w': 0.6906772746805773, 'd': 0.2068669734102367, 'l': 0.10245575028271778}",l,Barcelona,2019,La_liga
12073,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '2', 'a': '1'}","{'h': '0.643865', 'a': '0.54607'}",2019-09-24 19:00:00,"{'w': 0.32062798006782517, 'd': 0.42098879930657196, 'l': 0.25838322062560243}",w,Barcelona,2019,La_liga
12088,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '2'}","{'h': '1.0808', 'a': '1.3084'}",2019-09-28 14:00:00,"{'w': 0.3072635911375558, 'd': 0.27510487295699826, 'l': 0.4176315358918702}",w,Barcelona,2019,La_liga
12093,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '4', 'a': '0'}","{'h': '2.40324', 'a': '3.03653'}",2019-10-06 20:00:00,"{'w': 0.3104578171556332, 'd': 0.1697421289956793, 'l': 0.5197992348799204}",w,Barcelona,2019,La_liga
12106,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '3'}","{'h': '0.212797', 'a': '1.72534'}",2019-10-19 12:00:00,"{'w': 0.04056021788750913, 'd': 0.20188508289219786, 'l': 0.7575546986751545}",w,Barcelona,2019,La_liga
12125,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '5', 'a': '1'}","{'h': '3.77856', 'a': '1.2024'}",2019-10-29 20:15:00,"{'w': 0.8287665850658588, 'd': 0.09753006218059931, 'l': 0.07369295067058435}",w,Barcelona,2019,La_liga
12137,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '3', 'a': '1'}","{'h': '0.927053', 'a': '2.13479'}",2019-11-02 15:00:00,"{'w': 0.15271036356981219, 'd': 0.19667871896179578, 'l': 0.6506109083836094}",l,Barcelona,2019,La_liga
12146,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '4', 'a': '1'}","{'h': '1.49638', 'a': '0.317045'}",2019-11-09 20:00:00,"{'w': 0.6742445224969478, 'd': 0.2501453457821129, 'l': 0.075610131641207}",w,Barcelona,2019,La_liga
12157,True,a,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '0.484105', 'a': '1.68235'}",2019-11-23 12:00:00,"{'w': 0.1017901674803952, 'd': 0.22871416580885692, 'l': 0.6694956663221366}",w,Barcelona,2019,La_liga
12165,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '1.16353', 'a': '1.18842'}",2019-12-01 20:00:00,"{'w': 0.353946967378214, 'd': 0.27992701126228337, 'l': 0.36612602135365285}",w,Barcelona,2019,La_liga
12173,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '5', 'a': '2'}","{'h': '4.28236', 'a': '1.0224'}",2019-12-07 20:00:00,"{'w': 0.8938122822991401, 'd': 0.06590685343616, 'l': 0.040238097705585334}",w,Barcelona,2019,La_liga
12190,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '2'}","{'h': '2.87892', 'a': '1.18314'}",2019-12-14 15:00:00,"{'w': 0.7223693527074244, 'd': 0.14929541685576597, 'l': 0.1283348262037681}",d,Barcelona,2019,La_liga
