id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
12023,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '3'}","{'h': '1.51166', 'a': '1.99723'}",2019-08-17 16:00:00,"{'w': 0.2932122324843192, 'd': 0.21626266620381457, 'l': 0.49052509741896144}",l,Celta Vigo,2019,La_liga
12037,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '1', 'a': '0'}","{'h': '2.37702', 'a': '0.675601'}",2019-08-24 20:00:00,"{'w': 0.75299249902729, 'd': 0.15956097888708606, 'l': 0.08744648571358649}",w,Celta Vigo,2019,La_liga
12046,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '1', 'a': '1'}","{'h': '1.50787', 'a': '0.454026'}",2019-08-30 19:00:00,"{'w': 0.6360517255655831, 'd': 0.2546241679943729, 'l': 0.10932410635156989}",d,Celta Vigo,2019,La_liga
12056,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '0', 'a': '2'}","{'h': '0.233721', 'a': '1.1436'}",2019-09-15 14:00:00,"{'w': 0.0753276630740588, 'd': 0.3243179030988703, 'l': 0.6003544338251068}",l,Celta Vigo,2019,La_liga
12064,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '0', 'a': '0'}","{'h': '1.71994', 'a': '0.582564'}",2019-09-21 16:30:00,"{'w': 0.6506935568323595, 'd': 0.22829134756911826, 'l': 0.12101509507580208}",d,Celta Vigo,2019,La_liga
12082,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '1'}","{'h': '1.1247', 'a': '1.50653'}",2019-09-26 18:00:00,"{'w': 0.2833204839238158, 'd': 0.2564704220004719, 'l': 0.46020909398674503}",d,Celta Vigo,2019,La_liga
12086,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '2', 'a': '0'}","{'h': '1.02791', 'a': '0.826593'}",2019-09-29 12:00:00,"{'w': 0.3939579550430121, 'd': 0.32059372422930393, 'l': 0.2854483207272217}",l,Celta Vigo,2019,La_liga
12095,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '1', 'a': '0'}","{'h': '1.91529', 'a': '0.127135'}",2019-10-06 13:00:00,"{'w': 0.8169584290484099, 'd': 0.16327471071572913, 'l': 0.019766858047428844}",w,Celta Vigo,2019,La_liga
12103,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '2', 'a': '0'}","{'h': '2.08309', 'a': '1.1334'}",2019-10-20 11:00:00,"{'w': 0.5919197052326092, 'd': 0.20767423244195643, 'l': 0.2004060557248119}",l,Celta Vigo,2019,La_liga
12114,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '0', 'a': '1'}","{'h': '0.846315', 'a': '0.967791'}",2019-10-27 11:00:00,"{'w': 0.30371405577742694, 'd': 0.3264299256204882, 'l': 0.3698560186018675}",l,Celta Vigo,2019,La_liga
12126,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '2', 'a': '1'}","{'h': '1.11761', 'a': '1.59702'}",2019-10-30 20:00:00,"{'w': 0.2663815962457052, 'd': 0.2489000934501205, 'l': 0.48471831011002364}",l,Celta Vigo,2019,La_liga
12133,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '0', 'a': '1'}","{'h': '0.133684', 'a': '0.389551'}",2019-11-03 17:30:00,"{'w': 0.08693702566589592, 'd': 0.6238651885523265, 'l': 0.2891977857817773}",l,Celta Vigo,2019,La_liga
12146,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '4', 'a': '1'}","{'h': '1.49638', 'a': '0.317045'}",2019-11-09 20:00:00,"{'w': 0.6742445224969478, 'd': 0.2501453457821129, 'l': 0.075610131641207}",l,Celta Vigo,2019,La_liga
12161,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '1', 'a': '3'}","{'h': '1.20262', 'a': '1.75554'}",2019-11-24 17:30:00,"{'w': 0.2616539494741939, 'd': 0.23489060214836247, 'l': 0.5034554476858895}",w,Celta Vigo,2019,La_liga
12166,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '0', 'a': '0'}","{'h': '1.43181', 'a': '0.263566'}",2019-11-29 20:00:00,"{'w': 0.674430732446761, 'd': 0.25960500262001784, 'l': 0.06596426488952707}",d,Celta Vigo,2019,La_liga
12177,True,a,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '3', 'a': '2'}","{'h': '0.971054', 'a': '0.47817'}",2019-12-08 17:30:00,"{'w': 0.465854836302093, 'd': 0.3570800390360838, 'l': 0.17706512466162502}",l,Celta Vigo,2019,La_liga
12186,True,h,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '2', 'a': '2'}","{'h': '2.18849', 'a': '1.51622'}",2019-12-15 13:00:00,"{'w': 0.5298535911146491, 'd': 0.20490440002487176, 'l': 0.2652419962198237}",d,Celta Vigo,2019,La_liga
