id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1235,Ante Budimir,35,2807,13,10.887495037168264,2,1.0852131973952055,56,13,12,0,F S,Mallorca,11,9.400936741381884,12.438691513612866,3.1601230558007956,Mallorca,2019,La_liga
2121,Salva Sevilla,35,2598,5,3.855841616168618,3,4.594569710083306,34,59,8,1,M S,Mallorca,3,1.626008192077279,7.4221600741147995,5.831174813210964,Mallorca,2019,La_liga
6954,Juan Camilo Hernández,22,1506,5,3.8349167481064796,1,1.751151917502284,45,17,3,1,F M S,Mallorca,5,3.8349167481064796,7.17431949544698,2.5412511313334107,Mallorca,2019,La_liga
7841,Dani Rodríguez,37,3065,5,4.954717204906046,2,2.3880074080079794,51,39,7,0,F M S,Mallorca,4,4.211439899168909,10.76153427734971,6.183883269317448,Mallorca,2019,La_liga
7843,Lago Junior,35,2167,4,5.973532274365425,0,1.343231189996004,41,20,3,0,D F M S,Mallorca,1,3.7436962574720383,7.306505938991904,3.480540467426181,Mallorca,2019,La_liga
8001,Takefusa Kubo,35,2323,4,3.079359969124198,4,2.8934091608971357,55,34,4,0,F M S,Mallorca,4,3.079359969124198,8.888236679136753,4.282932702451944,Mallorca,2019,La_liga
2584,Raíllo,32,2791,1,2.1818990763276815,0,0.24403630010783672,14,6,7,1,D,Mallorca,1,2.1818990763276815,4.763591913506389,4.191159209236503,Mallorca,2019,La_liga
5138,Alejandro Pozo,19,1503,1,0.27712349873036146,2,1.3864480946213007,7,17,0,0,D S,Mallorca,1,0.27712349873036146,3.654118489474058,2.4195361100137234,Mallorca,2019,La_liga
7839,Lumor Agbenyenu,23,1815,1,0.2653366010636091,0,1.6328044161200523,14,17,3,1,D S,Mallorca,1,0.2653366010636091,4.352695789188147,3.1634997753426433,Mallorca,2019,La_liga
684,Abdul Rahman Baba,2,108,0,0.043996501713991165,0,0,1,0,1,0,D,Mallorca,0,0.043996501713991165,0.14397099614143372,0.09997480362653732,Mallorca,2019,La_liga
723,Ki Sung-yueng,1,8,0,0,0,0,0,0,0,0,S,Mallorca,0,0,0,0,Mallorca,2019,La_liga
1837,Aleksandar Trajkovski,14,295,0,0.39285309985280037,0,0.84142130240798,10,14,0,0,M S,Mallorca,0,0.39285309985280037,0.8371022008359432,0.37942430190742016,Mallorca,2019,La_liga
2294,Señé,6,139,0,0.1219559982419014,0,0.06207019928842783,1,3,0,0,M S,Mallorca,0,0.1219559982419014,0.46352630481123924,0.32994790747761726,Mallorca,2019,La_liga
2587,Fabri,1,90,0,0,0,0,0,0,0,0,GK,Mallorca,0,0,0,0,Mallorca,2019,La_liga
3473,Yannis Salibur,4,70,0,0.0368398018181324,0,0.09248899668455124,1,2,0,0,S,Mallorca,0,0.0368398018181324,0.15802469849586487,0.11989070102572441,Mallorca,2019,La_liga
