id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
4136,Ángel,33,1350,5,6.360525488853455,0,0.6912347041070461,38,6,4,0,F S,Getafe,4,4.87409870699048,5.439952157437801,1.574207914993167,Getafe,2020,La_liga
7009,Jaime Mata,33,2050,5,7.800480004400015,0,1.3467821720987558,40,16,9,1,F S,Getafe,4,6.314051851630211,7.969260366633534,2.9682467579841614,Getafe,2020,La_liga
6219,Enes Ünal,28,1325,4,4.259309365414083,2,1.8574969097971916,38,14,4,0,F S,Getafe,3,3.5160313388332725,5.065791530534625,2.066192189231515,Getafe,2020,La_liga
3264,Mauro Arambarri,34,2993,3,1.991594109684229,0,2.0360944103449583,46,21,11,0,M S,Getafe,3,1.991594109684229,4.877123478800058,3.3113552052527666,Getafe,2020,La_liga
7134,Marc Cucurella,37,3255,3,2.204234382137656,2,3.6014319956302643,25,40,8,0,D M,Getafe,3,2.204234382137656,9.51705271564424,5.000348560512066,Getafe,2020,La_liga
5058,Carles Aleñá,22,1378,2,1.7601469196379185,2,2.3534539230167866,30,25,1,0,F M S,Getafe,2,1.7601469196379185,5.731098655611277,2.344073124229908,Getafe,2020,La_liga
6954,Juan Camilo Hernández,23,1479,2,2.5189573168754578,3,1.2373304162174463,28,20,5,0,F M S,Getafe,2,2.5189573168754578,4.7493499759584665,1.3927094042301178,Getafe,2020,La_liga
2194,Damián Suárez,31,2440,1,0.29951721290126443,0,1.072824596427381,10,19,11,1,D S,Getafe,1,0.29951721290126443,3.06705562165007,2.3172494750469923,Getafe,2020,La_liga
6076,Nemanja Maksimovic,35,2761,1,1.9210073919966817,0,0.8090476049110293,17,18,5,0,M S,Getafe,1,1.9210073919966817,4.816256490536034,2.293503226712346,Getafe,2020,La_liga
8001,Takefusa Kubo,18,795,1,0.7073314972221851,1,1.1669325772672892,15,9,2,0,F M S,Getafe,1,0.7073314972221851,3.1716842763125896,1.5708934348076582,Getafe,2020,La_liga
565,Nyom,31,2346,0,1.2003799825906754,2,2.4538192618638277,11,17,10,1,D M S,Getafe,0,1.2003799825906754,3.678131528198719,2.1035102121531963,Getafe,2020,La_liga
2149,Francisco Portillo,16,402,0,0,1,0.5204448904842138,0,5,1,0,M S,Getafe,0,0,1.069846872240305,0.6182834766805172,Getafe,2020,La_liga
2372,Rubén Yáñez,10,900,0,0,0,0,0,0,2,0,GK,Getafe,0,0,0,0,Getafe,2020,La_liga
2394,Etxeita,11,880,0,0.2562838979065418,0,0.4741879999637604,4,1,3,0,D S,Getafe,0,0.2562838979065418,0.5208019986748695,0.5208019986748695,Getafe,2020,La_liga
2415,David Soria,28,2520,0,0,0,0,0,0,2,0,GK,Getafe,0,0,0.7223635977134109,0.7223635977134109,Getafe,2020,La_liga
4799,Abdoulaye Diaby,1,16,0,0.3757320046424866,0,0.08167260140180588,1,1,0,0,S,Getafe,0,0.3757320046424866,0.3757320046424866,0,Getafe,2020,La_liga
5066,David Timor,30,1379,0,0.6020129090175033,0,1.5629708813503385,18,12,5,1,D M S,Getafe,0,0.6020129090175033,0.8435618001967669,0.6980448812246323,Getafe,2020,La_liga
5201,Darío Poveda,1,1,0,0,0,0,0,0,0,0,S,Getafe,0,0,0,0,Getafe,2020,La_liga
5642,Erick Cabaco,20,1326,0,0.2677989900112152,0,0,5,0,9,0,D S,Getafe,0,0.2677989900112152,0.6484244056046009,0.6484244056046009,Getafe,2020,La_liga
6151,Djené Dakonam,34,2947,0,0.2847547009587288,1,0.2830886971205473,3,6,6,2,D M,Getafe,0,0.2847547009587288,2.652981210500002,2.3798814322799444,Getafe,2020,La_liga
6216,Chema Rodríguez,10,552,0,0.07901120837777853,0,0.12327510118484497,3,2,3,1,D M S,Getafe,0,0.07901120837777853,0.21178081538528204,0.14707800559699535,Getafe,2020,La_liga
6368,Mathías Olivera,31,2622,0,2.8389641493558884,0,2.5263255666941404,19,21,6,0,D S,Getafe,0,2.8389641493558884,3.8566616866737604,1.7835551984608173,Getafe,2020,La_liga
7351,Victor Mollejo,4,68,0,0,0,0.06882960349321365,0,2,0,0,S,Getafe,0,0,0.12928540259599686,0.07801779918372631,Getafe,2020,La_liga
8306,Sofian Chakla,11,897,0,0.16124819964170456,0,0.06894440203905106,3,1,5,0,D S,Getafe,0,0.16124819964170456,0.764823067933321,0.6969186700880527,Getafe,2020,La_liga
8823,Ante Palaversa,2,3,0,0,0,0.10887199640274048,0,2,0,0,S,Getafe,0,0,0,0,Getafe,2020,La_liga
9170,John Finn,6,54,0,0.13045969791710377,0,0,2,0,0,0,S,Getafe,0,0.13045969791710377,0.12361329980194569,0.09519559890031815,Getafe,2020,La_liga
9208,Sabit Abdulai,3,54,0,0,0,0,0,0,1,0,S,Getafe,0,0,0,0,Getafe,2020,La_liga
9218,Juan Iglesias,10,602,0,0.15841471310704947,0,0.14147219993174076,4,4,2,0,D F M S,Getafe,0,0.15841471310704947,0.8295027147978544,0.5296156015247107,Getafe,2020,La_liga
9245,Mamor Niang,1,21,0,0.05399530008435249,0,0,1,0,0,0,S,Getafe,0,0.05399530008435249,0.05399530008435249,0.05399530008435249,Getafe,2020,La_liga
9268,Koffi,1,43,0,0,0,0,0,0,0,0,S,Getafe,0,0,0,0,Getafe,2020,La_liga
9457,José Boacho,4,21,0,0.018616599962115288,0,0,1,0,1,0,S,Getafe,0,0.018616599962115288,0.03350280039012432,0.014886200428009033,Getafe,2020,La_liga
