id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14143,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '1', 'a': '1'}","{'h': '2.01913', 'a': '0.556003'}",2020-09-13 16:30:00,"{'w': 0.7200538017627612, 'd': 0.1888296551351185, 'l': 0.0911165387154172}",d,SD Huesca,2020,La_liga
14148,True,h,"{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'h': '0', 'a': '2'}","{'h': '0.223846', 'a': '1.50522'}",2020-09-20 14:00:00,"{'w': 0.0521477921286442, 'd': 0.24246855991338342, 'l': 0.705383647871589}",l,SD Huesca,2020,La_liga
14161,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '1', 'a': '1'}","{'h': '0.306092', 'a': '1.10618'}",2020-09-26 14:00:00,"{'w': 0.1020388740501292, 'd': 0.3333166568511842, 'l': 0.5646444690974523}",d,SD Huesca,2020,La_liga
14168,True,h,"{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '0'}","{'h': '0.631932', 'a': '1.79241'}",2020-09-30 17:00:00,"{'w': 0.1253269705087414, 'd': 0.2210558646409307, 'l': 0.6536171639428585}",d,SD Huesca,2020,La_liga
14824,True,a,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '0', 'a': '0'}","{'h': '0.188885', 'a': '1.70374'}",2020-10-03 16:30:00,"{'w': 0.03647232958468415, 'd': 0.20320828688181578, 'l': 0.7603193830730637}",d,SD Huesca,2020,La_liga
14832,True,h,"{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '2', 'a': '2'}","{'h': '1.25439', 'a': '0.907963'}",2020-10-18 16:30:00,"{'w': 0.4430966446613329, 'd': 0.2884789637695297, 'l': 0.2684243915619735}",d,SD Huesca,2020,La_liga
14841,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '4', 'a': '1'}","{'h': '1.79773', 'a': '0.591473'}",2020-10-25 20:00:00,"{'w': 0.6656441131692978, 'd': 0.21840624014749008, 'l': 0.11594964573917717}",l,SD Huesca,2020,La_liga
14852,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '4', 'a': '1'}","{'h': '2.23898', 'a': '0.79915'}",2020-10-31 13:00:00,"{'w': 0.7006278115710884, 'd': 0.18057536919959166, 'l': 0.11879680237560501}",l,SD Huesca,2020,La_liga
14858,True,h,"{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '1', 'a': '1'}","{'h': '2.23211', 'a': '0.839508'}",2020-11-07 13:00:00,"{'w': 0.6898435236941691, 'd': 0.18341928793922213, 'l': 0.126737172169106}",d,SD Huesca,2020,La_liga
14872,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '1', 'a': '1'}","{'h': '0.878778', 'a': '0.807899'}",2020-11-20 20:00:00,"{'w': 0.34895606608779617, 'd': 0.3418253799708529, 'l': 0.309218553941288}",d,SD Huesca,2020,La_liga
