id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14144,True,h,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '4', 'a': '2'}","{'h': '1.72531', 'a': '2.37179'}",2020-09-13 19:00:00,"{'w': 0.2805807908332645, 'd': 0.19542865912204435, 'l': 0.5239905141384784}",w,Valencia,2020,La_liga
14147,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '1'}","{'h': '2.33534', 'a': '0.456643'}",2020-09-19 19:00:00,"{'w': 0.7974735343635908, 'd': 0.14630728500419538, 'l': 0.05621915163667116}",l,Valencia,2020,La_liga
14161,True,h,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '1', 'a': '1'}","{'h': '0.306092', 'a': '1.10618'}",2020-09-26 14:00:00,"{'w': 0.1020388740501292, 'd': 0.3333166568511842, 'l': 0.5646444690974523}",d,Valencia,2020,La_liga
14170,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '0', 'a': '1'}","{'h': '0.589249', 'a': '0.836796'}",2020-09-29 17:00:00,"{'w': 0.239221496949858, 'd': 0.37415220772268476, 'l': 0.38662629532743314}",w,Valencia,2020,La_liga
14822,True,h,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '0', 'a': '2'}","{'h': '0.475219', 'a': '1.87508'}",2020-10-03 19:00:00,"{'w': 0.08545243314571019, 'd': 0.20120354126490567, 'l': 0.7133440239368212}",l,Valencia,2020,La_liga
14834,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '1'}","{'h': '1.59975', 'a': '0.677588'}",2020-10-18 14:00:00,"{'w': 0.5961626503770734, 'd': 0.24773667200879587, 'l': 0.15610067741690398}",l,Valencia,2020,La_liga
14844,True,a,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '1'}","{'h': '0.165573', 'a': '1.23519'}",2020-10-23 19:00:00,"{'w': 0.04893350934633529, 'd': 0.2994388564129986, 'l': 0.6516276342349406}",l,Valencia,2020,La_liga
14853,True,h,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '2'}","{'h': '1.75934', 'a': '2.35774'}",2020-11-01 20:00:00,"{'w': 0.2892891337403197, 'd': 0.19619292614042919, 'l': 0.5145179066407257}",d,Valencia,2020,La_liga
14862,True,h,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '4', 'a': '1'}","{'h': '2.34693', 'a': '1.05824'}",2020-11-08 20:00:00,"{'w': 0.660630914077067, 'd': 0.18341479644601177, 'l': 0.1559542585798217}",w,Valencia,2020,La_liga
14865,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '2'}","{'h': '1.82668', 'a': '1.79824'}",2020-11-22 20:00:00,"{'w': 0.396495230529954, 'd': 0.21848958245573255, 'l': 0.38501518489893427}",d,Valencia,2020,La_liga
14882,True,h,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '1'}","{'h': '0.181436', 'a': '1.10533'}",2020-11-28 15:15:00,"{'w': 0.060460363860653996, 'd': 0.3343853025754226, 'l': 0.6051543335627019}",l,Valencia,2020,La_liga
14894,True,a,"{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '0', 'a': '0'}","{'h': '1.09317', 'a': '0.648196'}",2020-12-07 20:00:00,"{'w': 0.46029880730430545, 'd': 0.32329596468152993, 'l': 0.21640522801311718}",d,Valencia,2020,La_liga
14895,True,h,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '2', 'a': '2'}","{'h': '2.17259', 'a': '1.73307'}",2020-12-12 13:00:00,"{'w': 0.4825291049752838, 'd': 0.20529731662779857, 'l': 0.3121735664052947}",d,Valencia,2020,La_liga
14909,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '2'}","{'h': '3.2847', 'a': '1.97181'}",2020-12-19 15:15:00,"{'w': 0.636179941632124, 'd': 0.1539066993424043, 'l': 0.20991134856927984}",d,Valencia,2020,La_liga
