id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14143,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '232', 'title': 'SD Huesca', 'short_title': 'HUE'}","{'h': '1', 'a': '1'}","{'h': '2.01913', 'a': '0.556003'}",2020-09-13 16:30:00,"{'w': 0.7200538017627612, 'd': 0.1888296551351185, 'l': 0.0911165387154172}",d,Villarreal,2020,La_liga
14146,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '156', 'title': 'Eibar', 'short_title': 'EIB'}","{'h': '2', 'a': '1'}","{'h': '2.99286', 'a': '1.112'}",2020-09-19 14:00:00,"{'w': 0.7526198580578742, 'd': 0.13796049196985782, 'l': 0.10941899883480832}",w,Villarreal,2020,La_liga
14156,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '4', 'a': '0'}","{'h': '3.50735', 'a': '0.244835'}",2020-09-27 19:00:00,"{'w': 0.9420218899324679, 'd': 0.048379295217576425, 'l': 0.009594444178338924}",l,Villarreal,2020,La_liga
14172,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '3', 'a': '1'}","{'h': '2.65908', 'a': '0.618672'}",2020-09-30 17:00:00,"{'w': 0.8063286621423309, 'd': 0.13044717897059446, 'l': 0.06322400836029533}",w,Villarreal,2020,La_liga
14816,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '0'}","{'h': '0.610002', 'a': '0.201508'}",2020-10-03 14:00:00,"{'w': 0.39433985741588623, 'd': 0.5004873505796191, 'l': 0.10517279200449446}",d,Villarreal,2020,La_liga
14834,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '1'}","{'h': '1.59975', 'a': '0.677588'}",2020-10-18 14:00:00,"{'w': 0.5961626503770734, 'd': 0.24773667200879587, 'l': 0.15610067741690398}",w,Villarreal,2020,La_liga
14838,True,a,"{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '0'}","{'h': '0.20914', 'a': '0.752296'}",2020-10-25 15:00:00,"{'w': 0.09586899911061383, 'd': 0.4449074642225545, 'l': 0.4592235366668263}",d,Villarreal,2020,La_liga
14854,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '2', 'a': '0'}","{'h': '1.85014', 'a': '0.793913'}",2020-11-02 20:00:00,"{'w': 0.6241037592379237, 'd': 0.22066888748081592, 'l': 0.15522735189765755}",w,Villarreal,2020,La_liga
14857,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '1', 'a': '3'}","{'h': '0.55465', 'a': '2.32114'}",2020-11-08 13:00:00,"{'w': 0.07176119605627237, 'd': 0.15592833754702617, 'l': 0.7723104395849392}",w,Villarreal,2020,La_liga
14874,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '1'}","{'h': '1.72712', 'a': '0.652049'}",2020-11-21 15:15:00,"{'w': 0.6334927100234381, 'd': 0.2302559032721382, 'l': 0.13625138615170423}",d,Villarreal,2020,La_liga
