id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
17137,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '0', 'a': '0'}","{'h': '0.579404', 'a': '0.583698'}",2021-08-14 20:00:00,"{'w': 0.28487911877870753, 'd': 0.42748610683408284, 'l': 0.2876347743872092}",d,Espanyol,2021,La_liga
17149,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '0'}","{'h': '1.68861', 'a': '0.597171'}",2021-08-21 17:30:00,"{'w': 0.6394620702047662, 'd': 0.23318098549815539, 'l': 0.12735694388859087}",d,Espanyol,2021,La_liga
17156,True,a,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '0'}","{'h': '1.28733', 'a': '0.296878'}",2021-08-27 18:00:00,"{'w': 0.6240853781332552, 'd': 0.2913146091897307, 'l': 0.084600012666875}",l,Espanyol,2021,La_liga
17170,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '2'}","{'h': '0.373891', 'a': '0.732283'}",2021-09-12 12:00:00,"{'w': 0.17011408654796317, 'd': 0.42779117288834634, 'l': 0.4020947405636869}",l,Espanyol,2021,La_liga
17179,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '2'}","{'h': '2.36891', 'a': '1.21693'}",2021-09-19 16:30:00,"{'w': 0.6295886432830183, 'd': 0.1873652114197664, 'l': 0.1830461104770284}",d,Espanyol,2021,La_liga
17193,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '1', 'a': '0'}","{'h': '1.61796', 'a': '0.424815'}",2021-09-22 17:30:00,"{'w': 0.6715531544227957, 'd': 0.23532980092283798, 'l': 0.09311704442457651}",w,Espanyol,2021,La_liga
17200,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '0'}","{'h': '1.57528', 'a': '0.478568'}",2021-09-25 16:30:00,"{'w': 0.6457405407951332, 'd': 0.2447394445495362, 'l': 0.10952001449520987}",l,Espanyol,2021,La_liga
17207,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '2', 'a': '1'}","{'h': '1.29119', 'a': '1.62384'}",2021-10-03 14:15:00,"{'w': 0.3045879720934293, 'd': 0.24327553944111197, 'l': 0.4521364882135771}",w,Espanyol,2021,La_liga
17220,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'h': '2', 'a': '0'}","{'h': '1.73503', 'a': '0.603648'}",2021-10-18 19:00:00,"{'w': 0.6483794089665873, 'd': 0.22721667681525848, 'l': 0.1244039136305656}",w,Espanyol,2021,La_liga
17227,True,a,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '2'}","{'h': '0.998945', 'a': '1.05435'}",2021-10-23 16:30:00,"{'w': 0.33390451762987616, 'd': 0.30348842999719067, 'l': 0.3626070523720064}",d,Espanyol,2021,La_liga
17243,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '1', 'a': '1'}","{'h': '1.23306', 'a': '3.68446'}",2021-10-26 19:00:00,"{'w': 0.08150698443286677, 'd': 0.10391017484435518, 'l': 0.8145750691663851}",d,Espanyol,2021,La_liga
17253,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '1'}","{'h': '0.951784', 'a': '0.619895'}",2021-10-31 17:30:00,"{'w': 0.420278836413738, 'd': 0.34954299884103096, 'l': 0.23017816474508093}",l,Espanyol,2021,La_liga
17261,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'h': '2', 'a': '0'}","{'h': '1.76367', 'a': '2.06874'}",2021-11-06 13:00:00,"{'w': 0.33531036479978327, 'd': 0.2097134156774564, 'l': 0.45497621276255323}",w,Espanyol,2021,La_liga
17267,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '0'}","{'h': '1.51262', 'a': '1.41291'}",2021-11-20 20:00:00,"{'w': 0.39907738881086674, 'd': 0.2461780650553715, 'l': 0.35474454600498834}",l,Espanyol,2021,La_liga
17281,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '1', 'a': '0'}","{'h': '0.378098', 'a': '1.32638'}",2021-11-28 15:15:00,"{'w': 0.10486189190787538, 'd': 0.2851666919365444, 'l': 0.6099714161402736}",w,Espanyol,2021,La_liga
17293,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '0'}","{'h': '0.649198', 'a': '0.474816'}",2021-12-05 13:00:00,"{'w': 0.33991802287004086, 'd': 0.4331345475757317, 'l': 0.2269474295542266}",l,Espanyol,2021,La_liga
17301,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '4', 'a': '3'}","{'h': '2.1352', 'a': '3.38759'}",2021-12-11 13:00:00,"{'w': 0.2238511655733219, 'd': 0.15289328333435176, 'l': 0.6232526430005277}",w,Espanyol,2021,La_liga
17308,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '3', 'a': '1'}","{'h': '1.6562', 'a': '0.377711'}",2021-12-17 20:00:00,"{'w': 0.6941053295666295, 'd': 0.2263851278893798, 'l': 0.07950954222918795}",l,Espanyol,2021,La_liga
17317,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '2'}","{'h': '0.864078', 'a': '2.14833'}",2021-12-31 15:15:00,"{'w': 0.13910013290542236, 'd': 0.1926468769063478, 'l': 0.6682529803246557}",w,Espanyol,2021,La_liga
17328,True,h,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '1', 'a': '2'}","{'h': '1.30222', 'a': '0.662335'}",2022-01-10 20:00:00,"{'w': 0.5204936829774777, 'd': 0.28987362777098225, 'l': 0.1896326892396571}",l,Espanyol,2021,La_liga
17343,True,a,"{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '2', 'a': '2'}","{'h': '0.801983', 'a': '1.91578'}",2022-01-18 18:00:00,"{'w': 0.1499301997060172, 'd': 0.21375462536866843, 'l': 0.6363151727294571}",d,Espanyol,2021,La_liga
