id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
8066,Arnaut Danjuma Groeneveld,23,1483,10,12.822505246847868,3,2.3936407063156366,62,15,2,0,F M S,Villarreal,7,10.592675220221281,14.406457994133234,2.95650140568614,Villarreal,2021,La_liga
2120,Gerard Moreno,17,1190,9,7.676860794425011,3,4.974263995885849,38,30,2,0,F S,Villarreal,8,6.19043343514204,10.593399696052074,2.3420440293848515,Villarreal,2021,La_liga
2301,Manu Trigueros,35,2237,6,6.288964716717601,4,3.0046655870974064,41,23,3,0,F M S,Villarreal,6,6.288964716717601,18.12305220030248,11.433545183390379,Villarreal,2021,La_liga
9024,Yeremi Pino,31,1717,6,7.2105646431446075,4,3.568692659959197,27,26,2,0,F M S,Villarreal,6,7.2105646431446075,12.442915238440037,3.9528255313634872,Villarreal,2021,La_liga
6221,Pau Torres,33,2862,5,4.809495896100998,1,2.1740425024181604,24,9,5,0,D,Villarreal,5,4.809495896100998,12.096996039152145,11.953241534531116,Villarreal,2021,La_liga
7224,Boulaye Dia,25,1264,5,5.256488427519798,5,2.463763888925314,37,16,3,0,F S,Villarreal,5,5.256488427519798,10.02333758585155,2.6894341986626387,Villarreal,2021,La_liga
2521,Alfonso,28,1710,4,1.6117760986089706,4,4.700777918100357,22,24,2,0,D S,Villarreal,4,1.6117760986089706,9.110445491969585,5.853963973000646,Villarreal,2021,La_liga
608,Alberto Moreno,24,1222,3,2.450511148199439,2,2.81878150627017,22,17,3,0,D F M S,Villarreal,3,2.450511148199439,6.156586155295372,2.3093584198504686,Villarreal,2021,La_liga
7208,Samuel Chukwueze,27,1308,3,4.8456982765346766,3,4.700998198240995,32,27,4,0,F M S,Villarreal,3,4.8456982765346766,13.559952955693007,4.692692028358579,Villarreal,2021,La_liga
497,Francis Coquelin,20,805,2,0.2550812065601349,1,0.6773870065808296,5,10,3,0,M S,Villarreal,2,0.2550812065601349,4.841039100661874,4.192261284217238,Villarreal,2021,La_liga
2198,Moi Gómez,29,1258,2,3.2599096037447453,2,2.424828676506877,13,18,2,0,F M S,Villarreal,2,3.2599096037447453,8.328711342066526,3.7300151847302914,Villarreal,2021,La_liga
2378,Daniel Parejo,33,2718,2,1.4858024045825005,10,7.374511243775487,16,65,3,0,M S,Villarreal,1,0.7425250969827175,18.59771879017353,16.237668626010418,Villarreal,2021,La_liga
572,Etienne Capoue,30,2312,1,0.651917602866888,1,1.0353651978075504,14,5,9,0,M S,Villarreal,1,0.651917602866888,9.91871253028512,9.349543660879135,Villarreal,2021,La_liga
2380,Paco Alcácer,18,791,1,3.3991579227149487,3,1.6770221143960953,18,7,1,0,F S,Villarreal,1,3.3991579227149487,5.924509804695845,2.585264891386032,Villarreal,2021,La_liga
3237,Aissa Mandi,17,1368,1,1.8237323723733425,0,0.020785799250006676,10,1,3,0,D S,Villarreal,1,1.8237323723733425,6.999948482960463,6.9609854482114315,Villarreal,2021,La_liga
5681,Giovani Lo Celso,16,1001,1,1.7190865967422724,1,2.4132529348134995,18,17,2,0,F M S,Villarreal,1,1.7190865967422724,6.646165758371353,3.5761318895965815,Villarreal,2021,La_liga
6306,Juan Foyth,25,1939,1,1.0203602081164718,1,1.3658556807786226,6,11,4,1,D S,Villarreal,1,1.0203602081164718,6.654781844466925,6.040545964613557,Villarreal,2021,La_liga
1588,Raúl Albiol,28,2470,0,0.3834182061254978,0,0.1295443009585142,5,4,8,0,D,Villarreal,0,0.3834182061254978,7.39725111797452,7.3536231108009815,Villarreal,2021,La_liga
2065,Vicente Iborra,20,1033,0,1.0980575922876596,1,0.5616094097495079,8,2,4,0,M S,Villarreal,0,1.0980575922876596,7.693986777216196,7.270136807113886,Villarreal,2021,La_liga
2225,Gerónimo Rulli,32,2880,0,0,0,0,0,0,2,0,GK,Villarreal,0,0,5.1568284425884485,5.1568284425884485,Villarreal,2021,La_liga
2296,Mario,12,617,0,0.21614630334079266,0,0.6112431269139051,4,5,1,0,D S,Villarreal,0,0.21614630334079266,2.6310436129570007,2.416820302605629,Villarreal,2021,La_liga
2460,Sergio Asenjo,6,540,0,0,0,0,0,0,1,0,GK,Villarreal,0,0,0.47314160875976086,0.47314160875976086,Villarreal,2021,La_liga
3600,Serge Aurier,19,993,0,0.7485052943229675,1,0.9090102128684521,11,6,4,0,D S,Villarreal,0,0.7485052943229675,9.007555840536952,8.569230483844876,Villarreal,2021,La_liga
5075,Rubén Peña,7,115,0,0.21367000043392181,0,0.9443620145320892,3,2,1,0,M S,Villarreal,0,0.21367000043392181,2.33050374686718,1.172472819685936,Villarreal,2021,La_liga
5136,Estupiñán,28,1571,0,0.8332497030496597,1,3.0931389816105366,14,13,3,0,D S,Villarreal,0,0.8332497030496597,11.31069670803845,8.163488669320941,Villarreal,2021,La_liga
5199,Raba,7,69,0,0,0,0.4202788081020117,0,4,1,0,S,Villarreal,0,0,0.44347790628671646,0.13332489877939224,Villarreal,2021,La_liga
8586,Nikita Iosifov,1,1,0,0,0,0,0,0,0,0,S,Villarreal,0,0,0,0,Villarreal,2021,La_liga
9214,Carlo Adriano García,1,5,0,0,0,0,0,0,0,0,S,Villarreal,0,0,0,0,Villarreal,2021,La_liga
10048,Nicolas Jackson,9,145,0,0.813447704538703,0,0.7375730276107788,5,3,1,0,S,Villarreal,0,0.813447704538703,1.606246730312705,0.2561966981738806,Villarreal,2021,La_liga
