team,team_id,season,league,h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
Sevilla,138,2022,La_liga,a,0.965574,1.35571,0.965574,0.612433,"{'att': 142, 'def': 20}","{'att': 347, 'def': 22}",8,4,1,2,0.9575999999999999,l,2022-08-12 19:00:00,0,0,1,0,0.35314100000000004
Sevilla,138,2022,La_liga,h,1.95115,0.557629,1.95115,0.557629,"{'att': 159, 'def': 32}","{'att': 251, 'def': 21}",4,1,1,1,2.4412000000000003,d,2022-08-19 20:00:00,0,1,0,1,1.3935209999999998
Sevilla,138,2022,La_liga,a,1.37889,2.15407,1.37889,2.15407,"{'att': 134, 'def': 12}","{'att': 301, 'def': 22}",9,2,1,2,0.8148,l,2022-08-27 20:00:00,0,0,1,0,-0.77518
Sevilla,138,2022,La_liga,h,0.829157,4.67838,0.829157,4.67838,"{'att': 237, 'def': 31}","{'att': 202, 'def': 23}",8,8,0,3,0.0228,l,2022-09-03 19:00:00,0,0,1,0,-3.849223
Sevilla,138,2022,La_liga,a,2.32043,2.37055,2.32043,1.62728,"{'att': 217, 'def': 20}","{'att': 139, 'def': 23}",2,7,3,2,1.2948,w,2022-09-10 14:15:00,1,0,0,3,0.6931499999999999
Sevilla,138,2022,La_liga,a,0.436539,2.10358,0.436539,2.10358,"{'att': 179, 'def': 27}","{'att': 274, 'def': 24}",6,9,1,1,0.23750000000000002,d,2022-09-18 14:15:00,0,1,0,1,-1.667041
Sevilla,138,2022,La_liga,h,0.362804,2.12095,0.362804,2.12095,"{'att': 232, 'def': 32}","{'att': 339, 'def': 12}",6,14,0,2,0.281,l,2022-10-01 16:30:00,0,0,1,0,-1.758146
Sevilla,138,2022,La_liga,h,1.35598,1.91863,1.35598,1.91863,"{'att': 216, 'def': 17}","{'att': 179, 'def': 25}",8,6,1,1,0.9981,d,2022-10-08 16:30:00,0,1,0,1,-0.5626500000000001
Sevilla,138,2022,La_liga,a,0.176713,1.41043,0.176713,1.41043,"{'att': 222, 'def': 20}","{'att': 277, 'def': 14}",4,4,1,0,0.289,w,2022-10-15 16:30:00,1,0,0,3,-1.233717
Sevilla,138,2022,La_liga,h,1.19743,1.71123,1.19743,0.96795,"{'att': 147, 'def': 14}","{'att': 300, 'def': 35}",6,1,1,1,0.9480999999999999,d,2022-10-18 17:00:00,0,1,0,1,0.22948000000000002
Sevilla,138,2022,La_liga,a,0.518059,2.17678,0.518059,2.17678,"{'att': 367, 'def': 25}","{'att': 326, 'def': 23}",3,4,1,3,0.28270000000000006,l,2022-10-22 19:00:00,0,0,1,0,-1.658721
Sevilla,138,2022,La_liga,h,0.978055,0.773435,0.978055,0.773435,"{'att': 150, 'def': 15}","{'att': 235, 'def': 35}",7,1,0,1,1.5688,l,2022-10-29 16:30:00,0,0,1,0,0.20462000000000002
Sevilla,138,2022,La_liga,a,1.49591,1.13067,1.49591,1.13067,"{'att': 165, 'def': 22}","{'att': 261, 'def': 8}",11,7,1,1,1.6176,d,2022-11-06 20:00:00,0,1,0,1,0.36524
Sevilla,138,2022,La_liga,h,0.69755,2.18846,0.69755,2.18846,"{'att': 370, 'def': 19}","{'att': 162, 'def': 22}",5,9,1,2,0.38380000000000003,l,2022-11-09 18:00:00,0,0,1,0,-1.49091
Sevilla,138,2022,La_liga,a,0.594381,1.66459,0.594381,1.66459,"{'att': 247, 'def': 27}","{'att': 313, 'def': 18}",2,9,1,1,0.5506,d,2022-12-30 18:15:00,0,1,0,1,-1.070209
Sevilla,138,2022,La_liga,h,1.21643,1.17518,1.21643,1.17518,"{'att': 235, 'def': 15}","{'att': 310, 'def': 21}",6,4,2,1,1.3961999999999999,w,2023-01-08 17:30:00,1,0,0,3,0.04125000000000001
Sevilla,138,2022,La_liga,a,0.784402,2.8461,0.784402,2.8461,"{'att': 267, 'def': 18}","{'att': 308, 'def': 24}",5,6,1,2,0.2541,l,2023-01-14 15:15:00,0,0,1,0,-2.061698
Sevilla,138,2022,La_liga,h,1.66028,0.0765073,0.916998,0.0765073,"{'att': 114, 'def': 29}","{'att': 345, 'def': 9}",12,0,1,0,2.7392999999999996,w,2023-01-21 20:00:00,1,0,0,3,0.8404906999999999
Sevilla,138,2022,La_liga,h,3.27297,0.340633,3.27297,0.340633,"{'att': 78, 'def': 18}","{'att': 419, 'def': 10}",17,5,3,0,2.8878,w,2023-01-28 17:30:00,1,0,0,3,2.932337
Sevilla,138,2022,La_liga,a,0.0413799,3.09763,0.0413799,3.09763,"{'att': 402, 'def': 16}","{'att': 256, 'def': 23}",2,14,0,3,0.0141,l,2023-02-05 20:00:00,0,0,1,0,-3.0562501
Sevilla,138,2022,La_liga,h,2.16804,0.206824,2.16804,0.206824,"{'att': 187, 'def': 12}","{'att': 281, 'def': 22}",7,5,2,0,2.8295,w,2023-02-11 17:30:00,1,0,0,3,1.9612159999999998
Sevilla,138,2022,La_liga,a,0.476153,1.37468,0.476153,1.37468,"{'att': 221, 'def': 23}","{'att': 180, 'def': 26}",4,1,1,1,0.5777,d,2023-02-19 15:15:00,0,1,0,1,-0.8985269999999999
Sevilla,138,2022,La_liga,h,2.38177,1.34283,2.38177,1.34283,"{'att': 138, 'def': 13}","{'att': 334, 'def': 27}",8,3,2,3,2.1531,l,2023-02-26 20:00:00,0,0,1,0,1.03894
Sevilla,138,2022,La_liga,a,1.76791,3.05182,1.02463,3.05182,"{'att': 334, 'def': 19}","{'att': 380, 'def': 21}",4,11,1,6,0.47319999999999995,l,2023-03-04 20:00:00,0,0,1,0,-2.02719
Sevilla,138,2022,La_liga,h,3.15875,1.51939,2.41548,1.51939,"{'att': 210, 'def': 26}","{'att': 218, 'def': 18}",18,2,2,1,2.3958999999999997,w,2023-03-12 15:15:00,1,0,0,3,0.89609
