id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
3423,Kylian Mbappe-Lottin,28,2422,24,23.766613338142633,4,7.031899709254503,132,63,4,0,F S,Real Madrid,16,17.0771143771708,25.01587763428688,6.524804832413793,2025,La_liga
9002,Vedat Muriqi,34,2880,22,19.597082121297717,1,1.749946097843349,102,18,4,1,F S,Mallorca,17,14.394138706848025,15.975500352680683,4.343669414985925,2025,La_liga
1235,Ante Budimir,34,2725,17,17.314507136121392,0,0.8396249487996101,88,12,2,0,F S,Osasuna,11,11.368286138400435,10.253536967560649,1.0957884043455124,2025,La_liga
6441,Ferrán Torres,31,1910,16,16.090799679979682,1,2.582750441506505,67,22,1,0,F M S,Barcelona,16,16.090799679979682,22.31571327522397,5.331197551451623,2025,La_liga
11527,Lamine Yamal,28,2291,16,14.664689928293228,11,12.566995456814766,117,73,1,0,F M S,Barcelona,13,11.691579438745975,33.655128441751,15.989167042076588,2025,La_liga
2234,Mikel Oyarzabal,31,2599,15,15.997766729444265,3,5.556814910843968,78,40,2,0,F S,Real Sociedad,8,10.794951360672712,19.730638578534126,6.546199385076761,2025,La_liga
7008,Vinícius Júnior,34,2697,15,14.055697854608297,5,6.334131179377437,96,65,7,0,F M S,Real Madrid,11,10.339309696108103,21.829401463270187,8.503431383520365,2025,La_liga
2543,Borja Iglesias,32,1742,14,11.253689870238304,2,1.6599800884723663,45,17,7,0,F S,Celta Vigo,10,8.280579436570406,13.148099947720766,4.360821824520826,2025,La_liga
227,Robert Lewandowski,28,1364,13,15.278156530112028,2,2.230940155684948,60,12,2,0,F S,Barcelona,12,13.04832374677062,18.355159431695938,5.786768103018403,2025,La_liga
6400,Antonio Martínez,34,2487,12,10.98441755771637,3,3.8200031016021967,87,24,2,0,F S,Alaves,11,10.241139903664589,13.509809320792556,3.4809861443936825,2025,La_liga
6531,Alexander Sørloth,32,1854,12,12.799865014851093,0,1.2237359210848808,64,10,4,1,F S,Atletico Madrid,12,12.799865014851093,14.776600527577102,2.849465993233025,2025,La_liga
1189,Lucas Boyé,27,1865,11,10.792246302589774,1,2.653146343305707,59,25,2,1,F M S,Alaves,8,8.562413355335593,11.921454858966172,3.6730124531313777,2025,La_liga
8026,Raphinha,21,1360,11,10.215445077046752,3,5.760370654985309,60,38,5,0,F M S,Barcelona,8,7.985612211748958,17.987344041466713,7.480321377515793,2025,La_liga
8187,Georges Mikautadze,31,1991,11,13.552000269293785,5,3.9402307104319334,62,26,1,0,F S,Villarreal,11,13.552000269293785,18.227014360949397,2.072973639704287,2025,La_liga
6170,André Silva,28,1710,10,10.706877465359867,0,1.410549782216549,54,19,2,0,F S,Elche,7,8.47704456280917,9.24293763935566,2.252919040620327,2025,La_liga
6954,Juan Camilo Hernández,30,2443,10,10.487413443624973,3,4.764919456094503,80,31,4,0,F S,Real Betis,9,9.744135834276676,17.833619385957718,5.240016954950988,2025,La_liga
8107,Jorge De Frutos,33,2369,10,11.448687953874469,1,2.6530979350209236,60,27,3,0,F M S,Rayo Vallecano,9,10.705410284921527,14.44721601717174,1.8645794102922082,2025,La_liga
12160,Alberto Moleiro,35,2265,10,5.383764328435063,4,5.11476762779057,43,36,5,0,F M S,Villarreal,10,5.383764328435063,14.099288394674659,4.598148018121719,2025,La_liga
2120,Gerard Moreno,20,1253,9,6.861613601446152,0,2.9336339980363846,37,22,0,0,F S,Villarreal,6,4.631780728697777,9.573215190321207,4.820019021630287,2025,La_liga
5656,Nicolas Pepe,35,2343,9,9.642027791589499,6,7.7206737119704485,61,52,4,0,F M S,Villarreal,7,8.15547251701355,20.733449978753924,7.11723567545414,2025,La_liga
6637,Hugo Duro,33,1752,9,9.25577761232853,0,1.675361756235361,34,16,4,1,F S,Valencia,8,7.769222363829613,10.15030112117529,2.674969846382737,2025,La_liga
7020,Gorka Guruzeta,32,2212,9,10.668514918535948,3,3.434490490704775,74,24,4,1,F M S,Athletic Club,8,9.92523730918765,14.179404888302088,3.276839369907975,2025,La_liga
10095,Abdessamad Ezzalzouli,26,2022,9,9.47753243893385,8,6.059428688138723,68,28,3,0,F M S,Real Betis,9,9.47753243893385,17.573290832340717,4.6762995682656765,2025,La_liga
11783,Akor Adams,29,1844,9,9.7747274460271,3,1.0176191050559282,56,10,3,0,F S,Sevilla,6,7.544894588179886,9.100630314089358,1.0918212365359068,2025,La_liga
13705,Federico Viñas,32,2405,9,9.698679964989424,1,2.492430455982685,57,28,4,3,F M S,Real Oviedo,7,8.212124712765217,8.093414422124624,2.5724815391004086,2025,La_liga
13769,Carlos Espí,22,1060,9,7.444557674229145,0,0.22008171305060387,44,6,3,0,F S,Levante,9,7.444557674229145,6.601851060986519,0.3450157642364502,2025,La_liga
14041,Vladyslav Vanat,27,2003,9,9.496832385659218,1,2.1041252370923758,27,12,4,0,F,Girona,6,7.2669995576143265,8.851113688200712,1.6265962794423103,2025,La_liga
556,Marcus Rashford,30,1559,8,8.564603206701577,7,4.8241879884153605,73,42,2,0,F M S,Barcelona,8,8.564603206701577,17.138300358317792,7.615036468952894,2025,La_liga
2589,Rafa Mir,27,1834,8,8.264916526153684,0,1.7095182929188013,69,9,4,0,F M S,Elche,7,6.778489189222455,11.559987911954522,4.549745937809348,2025,La_liga
5682,Gonçalo Guedes,31,1827,8,4.142274813726544,4,2.665413634851575,46,24,3,0,F M S,Real Sociedad,8,4.142274813726544,11.958985421806574,7.62766895070672,2025,La_liga
10846,Julián Álvarez,29,1926,8,8.894600672647357,4,6.265264900401235,54,47,2,0,F S,Atletico Madrid,6,6.664767829701304,17.452052727341652,7.806348083540797,2025,La_liga
11094,Antony,29,2229,8,8.59105928055942,6,6.238232713192701,80,50,5,1,F M S,Real Betis,8,8.59105928055942,21.27498399466276,9.924552623648196,2025,La_liga
2270,Antoine Griezmann,31,1158,7,7.198652429506183,2,3.2436643317341805,41,26,0,0,F S,Atletico Madrid,7,7.198652429506183,14.860052421689034,6.9742286875844,2025,La_liga
2335,Pablo Fornals,35,2739,7,4.588530459441245,5,7.79515360109508,41,80,2,0,F M S,Real Betis,7,4.588530459441245,22.559527460485697,12.597318093292415,2025,La_liga
8042,Raul García,33,786,7,6.277648735791445,0,0.40141759999096394,33,7,2,1,F S,Osasuna,7,6.277648735791445,5.66551910340786,0.7437138687819242,2025,La_liga
8292,Dani Olmo,30,1938,7,8.681995859369636,8,6.078448897227645,67,46,1,0,F M S,Barcelona,7,8.681995859369636,21.83014564961195,10.566354371607304,2025,La_liga
8549,Ferrán Jutglà,27,1539,7,5.945430305786431,3,1.4263157285749912,43,13,4,0,F M S,Celta Vigo,7,5.945430305786431,8.137868292629719,2.4260402284562588,2025,La_liga
9275,Iván Romero,29,2164,7,9.177442789077759,1,2.851037349551916,57,24,5,0,F M S,Levante,7,8.434165179729462,13.012949732132256,3.465623276308179,2025,La_liga
10930,Etta Eyong,31,1655,7,10.904212965629995,4,2.7803932204842567,48,14,3,0,F S,"Levante,Villarreal",7,10.160935341380537,11.936550584621727,2.0079270619899035,2025,La_liga
10974,Samú Costa,32,2576,7,4.231499754823744,2,1.7343001449480653,37,14,10,0,M S,Mallorca,7,4.231499754823744,8.683136215433478,4.625413519330323,2025,La_liga
12322,Tajon Buchanan,33,1799,7,2.74269391130656,1,2.5965847074985504,27,15,8,0,F M S,Villarreal,7,2.74269391130656,7.804664281196892,2.703610603697598,2025,La_liga
13048,Orri Óskarsson,18,658,7,5.820720363408327,0,0.4746837932616472,20,4,5,0,F S,Real Sociedad,7,5.820720363408327,5.97512274980545,0.3927123937755823,2025,La_liga
13701,Ilyas Chaira,34,2416,7,7.156397873535752,2,1.9351129233837128,82,20,2,1,F M S,Real Oviedo,7,7.156397873535752,10.996726889163256,3.344136990606785,2025,La_liga
3264,Mauro Arambarri,34,3009,6,8.047958988696337,2,0.9065079391002655,56,21,5,0,M,Getafe,4,5.818126168102026,5.930692609399557,2.0200484236702323,2025,La_liga
4175,Pere Milla,30,1860,6,7.0108630657196045,0,3.5771477427333593,55,33,6,1,F M S,Espanyol,6,7.0108630657196045,9.170175354927778,2.484249575994909,2025,La_liga
5074,Kike García,34,1603,6,8.957583386451006,1,2.539835562929511,57,18,3,0,F S,Espanyol,5,7.4711560644209385,11.6109947450459,2.124022038653493,2025,La_liga
6227,Brais Méndez,28,1646,6,6.033863070420921,2,2.9658558648079634,36,25,4,1,F M S,Real Sociedad,5,4.547307777218521,11.882635537534952,5.582106248475611,2025,La_liga
8765,Roberto Navarro,29,1026,6,3.2769376737996936,1,1.45152185857296,20,18,1,0,M S,Athletic Club,6,3.2769376737996936,5.640017531812191,2.248382253572345,2025,La_liga
9211,Nico Williams,25,1715,6,5.862554809078574,3,4.138543902896345,46,34,2,0,M S,Athletic Club,5,4.375999530777335,10.798387989401817,3.284014131873846,2025,La_liga
10975,Largie Ramazani,24,1130,6,6.189914979040623,1,2.096711148507893,45,16,4,0,F M S,Valencia,3,3.960082095116377,9.194128589704633,3.8336282912641764,2025,La_liga
