id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
7020,Gorka Guruzeta,32,2212,9,10.668514918535948,3,3.434490490704775,74,24,4,1,F M S,Athletic Club,8,9.92523730918765,14.179404888302088,3.276839369907975,Athletic Club,2025,La_liga
8765,Roberto Navarro,29,1026,6,3.2769376737996936,1,1.45152185857296,20,18,1,0,M S,Athletic Club,6,3.2769376737996936,5.640017531812191,2.248382253572345,Athletic Club,2025,La_liga
9211,Nico Williams,25,1715,6,5.862554809078574,3,4.138543902896345,46,34,2,0,M S,Athletic Club,5,4.375999530777335,10.798387989401817,3.284014131873846,Athletic Club,2025,La_liga
7779,Oihan Sancet,28,1832,4,7.056168496608734,0,1.445348110049963,48,27,4,1,M S,Athletic Club,2,5.569741144776344,7.564459195360541,2.206977505236864,Athletic Club,2025,La_liga
2399,Iñaki Williams,27,1944,2,6.452295454218984,4,3.0534831881523132,49,20,2,0,F M S,Athletic Club,1,5.7090178448706865,9.7359871994704,3.3205614872276783,Athletic Club,2025,La_liga
5091,Alex Berenguer,29,2015,2,5.088640256784856,3,5.407221911475062,41,48,4,0,F M S,Athletic Club,2,5.088640256784856,10.759772971272469,4.0648663230240345,Athletic Club,2025,La_liga
8948,Aitor Paredes,18,1535,2,1.4780013747513294,0,0.7596744522452354,13,4,4,0,D S,Athletic Club,2,1.4780013747513294,3.2289575710892677,3.055551938712597,Athletic Club,2025,La_liga
12263,Mikel Jauregizar,33,2683,2,1.2205345332622528,0,1.4989423444494605,34,27,5,1,M S,Athletic Club,2,1.2205345332622528,7.9343246165663,6.072607362642884,Athletic Club,2025,La_liga
6766,Dani Vivian,29,2424,1,1.3903410006314516,0,1.5971452463418245,16,6,8,1,D S,Athletic Club,1,1.3903410006314516,6.510920707136393,5.445325020700693,Athletic Club,2025,La_liga
9755,Inigo Ruiz de Galarreta,31,2072,1,0.6572877513244748,2,3.088102932088077,20,24,11,0,M S,Athletic Club,1,0.6572877513244748,7.679007813334465,6.159802835434675,Athletic Club,2025,La_liga
9825,Nicolás Serrano,14,323,1,0.665966035798192,0,0.49420297518372536,15,8,0,0,M S,Athletic Club,1,0.665966035798192,1.3144560437649488,0.4696573466062546,Athletic Club,2025,La_liga
11531,Unai Gómez,23,738,1,1.4556893166154623,1,0.6146819815039635,15,8,1,1,F M S,Athletic Club,1,1.4556893166154623,2.364793950691819,0.6776821743696928,Athletic Club,2025,La_liga
13417,Maroan Sannadi,9,264,1,1.0051096249371767,0,0.5883069485425949,8,2,2,0,F S,Athletic Club,1,1.0051096249371767,1.6283603627234697,0.034943751990795135,Athletic Club,2025,La_liga
13627,Alejandro Rego,26,1099,1,0.5311379982158542,1,0.78486742451787,11,10,6,0,M S,Athletic Club,1,0.5311379982158542,2.4478404950350523,1.5351314283907413,Athletic Club,2025,La_liga
2229,Yuri,31,2618,0,0.545407036319375,5,3.278390359133482,22,27,4,0,D S,Athletic Club,0,0.545407036319375,8.36477256193757,7.008385239169002,Athletic Club,2025,La_liga
2403,Íñigo Lekue,10,580,0,0.13128633052110672,0,0.04521955922245979,3,1,2,0,D S,Athletic Club,0,0.13128633052110672,1.714218033477664,1.5377121213823557,Athletic Club,2025,La_liga
2498,Aymeric Laporte,23,1888,0,1.7862818371504545,1,0.4414121750742197,14,7,3,0,D S,Athletic Club,0,1.7862818371504545,4.209133202210069,3.7853081822395325,Athletic Club,2025,La_liga
5062,Yeray Álvarez,4,335,0,0,0,0.05241221934556961,0,1,0,0,D,Athletic Club,0,0,0.99512093141675,0.9427087195217609,Athletic Club,2025,La_liga
5077,Mikel Vesga,22,400,0,0.2157706804573536,0,0.12440561410039663,3,4,0,0,M S,Athletic Club,0,0.2157706804573536,0.6342269023880363,0.4725715946406126,Athletic Club,2025,La_liga
5185,Unai Simón,35,3150,0,0,0,0.03188738599419594,0,1,1,0,GK,Athletic Club,0,0,3.062369391322136,3.030482016503811,Athletic Club,2025,La_liga
6325,Andoni Gorosabel,21,1198,0,0.21548599284142256,1,0.9112975522875786,5,12,3,0,D S,Athletic Club,0,0.21548599284142256,5.038005219772458,4.286926340311766,Athletic Club,2025,La_liga
9505,Beñat Prados,2,87,0,0.02024441957473755,0,0.03657878190279007,1,2,1,0,M S,Athletic Club,0,0.02024441957473755,0.1660694107413292,0.12949062883853912,Athletic Club,2025,La_liga
9768,Jesús Areso,25,1426,0,0.09548324905335903,1,1.526359448209405,3,22,3,0,D S,Athletic Club,0,0.09548324905335903,2.8577664978802204,2.133522294461727,Athletic Club,2025,La_liga
12724,Adama Boiro,12,630,0,0.03685692697763443,0,0.13991212099790573,1,3,1,0,D S,Athletic Club,0,0.03685692697763443,1.2566335164010525,1.1206503361463547,Athletic Club,2025,La_liga
13821,Urko Izeta,11,139,0,1.1592427976429462,0,0.3224271722137928,8,2,2,0,F S,Athletic Club,0,1.1592427976429462,0.6328749284148216,0.03245190158486366,Athletic Club,2025,La_liga
14167,Selton Sánchez,7,191,0,0.28422196209430695,1,0.15717779099941254,4,4,0,0,M S,Athletic Club,0,0.28422196209430695,1.3910062201321125,0.9496064782142639,Athletic Club,2025,La_liga
14183,Asier Hierro,1,30,0,0.0869530513882637,0,0.01957118697464466,1,1,0,0,S,Athletic Club,0,0.0869530513882637,0.10652423650026321,0,Athletic Club,2025,La_liga
14216,Eder García,2,30,0,0.03657441958785057,0,0,1,0,1,0,S,Athletic Club,0,0.03657441958785057,0.06727110967040062,0.03069669008255005,Athletic Club,2025,La_liga
