id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29165,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '2', 'a': '1'}","{'h': '1.41508', 'a': '1.29319'}",2025-08-17 19:30:00,"{'w': 0.39944952032895326, 'd': 0.2571673816393951, 'l': 0.343383097983649}",l,Atletico Madrid,2025,La_liga
29170,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '1', 'a': '1'}","{'h': '1.68159', 'a': '0.313268'}",2025-08-23 17:30:00,"{'w': 0.7186435339371079, 'd': 0.2177020123848636, 'l': 0.06365445329176891}",d,Atletico Madrid,2025,La_liga
29181,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '1'}","{'h': '0.855094', 'a': '0.960547'}",2025-08-30 15:00:00,"{'w': 0.308055507322359, 'd': 0.3264799648148087, 'l': 0.36546452786262934}",d,Atletico Madrid,2025,La_liga
29193,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '2', 'a': '0'}","{'h': '1.5106', 'a': '0.668177'}",2025-09-13 19:00:00,"{'w': 0.5761072965768639, 'd': 0.25968950119658657, 'l': 0.16420320213587167}",w,Atletico Madrid,2025,La_liga
29204,True,a,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '1'}","{'h': '0.530939', 'a': '2.08772'}",2025-09-21 14:15:00,"{'w': 0.08186171365958389, 'd': 0.1790576314087529, 'l': 0.7390806481386089}",d,Atletico Madrid,2025,La_liga
29216,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '3', 'a': '2'}","{'h': '4.95017', 'a': '1.61988'}",2025-09-24 19:30:00,"{'w': 0.8711645910876407, 'd': 0.06939106469807856, 'l': 0.059240568429135665}",w,Atletico Madrid,2025,La_liga
29219,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '5', 'a': '2'}","{'h': '2.79075', 'a': '1.02797'}",2025-09-27 14:15:00,"{'w': 0.7403845917652733, 'd': 0.14742050390874367, 'l': 0.11219462924211786}",w,Atletico Madrid,2025,La_liga
29232,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '1'}","{'h': '2.27285', 'a': '0.710823'}",2025-10-05 19:00:00,"{'w': 0.7275055958739368, 'd': 0.17195595178284112, 'l': 0.10053843188622946}",d,Atletico Madrid,2025,La_liga
29239,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '1', 'a': '0'}","{'h': '2.24415', 'a': '0.981492'}",2025-10-18 19:00:00,"{'w': 0.6589522142881868, 'd': 0.18899773520291505, 'l': 0.15205003314526627}",w,Atletico Madrid,2025,La_liga
29253,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '2'}","{'h': '1.33792', 'a': '0.876554'}",2025-10-27 20:00:00,"{'w': 0.4746104232816432, 'd': 0.28010948596533825, 'l': 0.24528009073572873}",w,Atletico Madrid,2025,La_liga
29259,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '3', 'a': '0'}","{'h': '2.98632', 'a': '0.376887'}",2025-11-01 15:15:00,"{'w': 0.8880942629763224, 'd': 0.08603087853699481, 'l': 0.02587422454463713}",w,Atletico Madrid,2025,La_liga
29269,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '3', 'a': '1'}","{'h': '3.03599', 'a': '1.29112'}",2025-11-08 17:30:00,"{'w': 0.7244341051666029, 'd': 0.14415064349393208, 'l': 0.13141447589000493}",w,Atletico Madrid,2025,La_liga
29285,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '1'}","{'h': '0.578828', 'a': '1.47677'}",2025-11-23 17:30:00,"{'w': 0.14476208079741723, 'd': 0.2631724398457982, 'l': 0.5920654792901591}",w,Atletico Madrid,2025,La_liga
29288,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '2', 'a': '0'}","{'h': '2.40693', 'a': '0.921985'}",2025-11-29 20:00:00,"{'w': 0.7019019721295225, 'd': 0.1719922385512199, 'l': 0.1261057466445078}",w,Atletico Madrid,2025,La_liga
29342,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '3', 'a': '1'}","{'h': '3.46121', 'a': '1.35018'}",2025-12-02 20:00:00,"{'w': 0.7701906135654938, 'd': 0.12182929105899289, 'l': 0.10797635615726799}",l,Atletico Madrid,2025,La_liga
29299,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '0'}","{'h': '1.18636', 'a': '0.771885'}",2025-12-06 20:00:00,"{'w': 0.4570150577197149, 'd': 0.3030915204237747, 'l': 0.23989342185323093}",l,Atletico Madrid,2025,La_liga
29309,True,h,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '1'}","{'h': '2.07076', 'a': '1.26068'}",2025-12-13 13:00:00,"{'w': 0.5605272470204307, 'd': 0.2108120195942566, 'l': 0.22866072727146936}",w,Atletico Madrid,2025,La_liga
29324,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '3'}","{'h': '1.11565', 'a': '1.26201'}",2025-12-21 13:00:00,"{'w': 0.32578297601141626, 'd': 0.2772170495278798, 'l': 0.3969999744516063}",w,Atletico Madrid,2025,La_liga
