id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29160,True,h,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '3'}","{'h': '0.529217', 'a': '2.0243'}",2025-08-16 17:30:00,"{'w': 0.08573372893866628, 'd': 0.18632974498041238, 'l': 0.7279365215445411}",l,Mallorca,2025,La_liga
29169,True,h,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '1', 'a': '1'}","{'h': '0.664974', 'a': '0.917413'}",2025-08-23 15:00:00,"{'w': 0.25205307541713695, 'd': 0.35130596435815736, 'l': 0.39664096022461587}",d,Mallorca,2025,La_liga
29184,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '2', 'a': '1'}","{'h': '1.84116', 'a': '0.549872'}",2025-08-30 19:30:00,"{'w': 0.6861720985484321, 'd': 0.21047285610243807, 'l': 0.10335504405212756}",l,Mallorca,2025,La_liga
29198,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '3', 'a': '2'}","{'h': '2.67405', 'a': '2.03185'}",2025-09-15 19:00:00,"{'w': 0.522317695171098, 'd': 0.1823372077374063, 'l': 0.29534493083318564}",l,Mallorca,2025,La_liga
29204,True,h,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '1'}","{'h': '0.530939', 'a': '2.08772'}",2025-09-21 14:15:00,"{'w': 0.08186171365958389, 'd': 0.1790576314087529, 'l': 0.7390806481386089}",d,Mallorca,2025,La_liga
29215,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '1', 'a': '0'}","{'h': '2.82857', 'a': '0.641137'}",2025-09-24 19:30:00,"{'w': 0.8229008699305771, 'd': 0.11895110853030495, 'l': 0.058147696497047055}",l,Mallorca,2025,La_liga
29224,True,h,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '1', 'a': '0'}","{'h': '1.04267', 'a': '0.566415'}",2025-09-27 16:30:00,"{'w': 0.46590155823466994, 'd': 0.336862757473825, 'l': 0.19723568429096527}",w,Mallorca,2025,La_liga
29229,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '2', 'a': '1'}","{'h': '1.73351', 'a': '0.213773'}",2025-10-04 16:30:00,"{'w': 0.7589096289335838, 'd': 0.20063243502268366, 'l': 0.04045793546299663}",l,Mallorca,2025,La_liga
29247,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '1', 'a': '3'}","{'h': '1.25884', 'a': '1.95555'}",2025-10-18 12:00:00,"{'w': 0.2443984790047876, 'd': 0.2194474321411511, 'l': 0.5361540859666651}",w,Mallorca,2025,La_liga
29257,True,h,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': '1', 'a': '1'}","{'h': '1.86979', 'a': '2.3579'}",2025-10-26 13:00:00,"{'w': 0.3109275544445122, 'd': 0.19597292908828778, 'l': 0.493099482076124}",d,Mallorca,2025,La_liga
