id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
29166,True,a,"{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '1'}","{'h': '0.981494', 'a': '1.59562'}",2025-08-18 19:00:00,"{'w': 0.23259400419429138, 'd': 0.25055465958117973, 'l': 0.5168513360338426}",d,Real Betis,2025,La_liga
29168,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '1', 'a': '0'}","{'h': '2.13985', 'a': '1.43838'}",2025-08-22 19:30:00,"{'w': 0.5362406986751308, 'd': 0.20756784765709493, 'l': 0.25619144425232887}",w,Real Betis,2025,La_liga
29178,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '1'}","{'h': '0.905201', 'a': '0.714458'}",2025-08-27 19:00:00,"{'w': 0.38009965947853663, 'd': 0.34824588940546664, 'l': 0.27165445111592046}",d,Real Betis,2025,La_liga
29186,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '1', 'a': '2'}","{'h': '0.716186', 'a': '1.11141'}",2025-08-31 17:00:00,"{'w': 0.23518001239850406, 'd': 0.3166304844811708, 'l': 0.4481895031190043}",l,Real Betis,2025,La_liga
29191,True,a,"{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '2'}","{'h': '1.02425', 'a': '2.19546'}",2025-09-14 14:15:00,"{'w': 0.16534144423011113, 'd': 0.19493200171208522, 'l': 0.6397265409841603}",d,Real Betis,2025,La_liga
29200,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'h': '3', 'a': '1'}","{'h': '2.53579', 'a': '0.606673'}",2025-09-19 19:00:00,"{'w': 0.7922289696523719, 'd': 0.13995796180082776, 'l': 0.06781298575402651}",w,Real Betis,2025,La_liga
29221,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '2', 'a': '0'}","{'h': '1.18955', 'a': '0.578485'}",2025-09-28 19:00:00,"{'w': 0.5100012704928027, 'd': 0.3099282900862243, 'l': 0.18007043941757608}",w,Real Betis,2025,La_liga
29234,True,a,"{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '2'}","{'h': '2.0699', 'a': '1.43721'}",2025-10-05 16:30:00,"{'w': 0.5218138804249086, 'd': 0.21205053343526128, 'l': 0.26613558002065646}",w,Real Betis,2025,La_liga
29245,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '2'}","{'h': '0.980598', 'a': '0.895532'}",2025-10-18 16:30:00,"{'w': 0.36271884440499347, 'd': 0.32027665893921897, 'l': 0.31700449665549646}",d,Real Betis,2025,La_liga
29253,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '0', 'a': '2'}","{'h': '1.33792', 'a': '0.876554'}",2025-10-27 20:00:00,"{'w': 0.4746104232816432, 'd': 0.28010948596533825, 'l': 0.24528009073572873}",l,Real Betis,2025,La_liga
29261,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '3', 'a': '0'}","{'h': '2.82134', 'a': '0.749852'}",2025-11-02 20:00:00,"{'w': 0.8005487069935366, 'd': 0.12754698624617408, 'l': 0.07190399185831273}",w,Real Betis,2025,La_liga
29275,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '1'}","{'h': '1.95148', 'a': '1.58932'}",2025-11-09 17:30:00,"{'w': 0.46458229096637044, 'd': 0.21793483647304743, 'l': 0.3174828695781147}",d,Real Betis,2025,La_liga
29279,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'h': '1', 'a': '1'}","{'h': '1.5784', 'a': '1.48903'}",2025-11-23 15:15:00,"{'w': 0.3996068796444488, 'd': 0.23969194156860915, 'l': 0.36070117854791195}",d,Real Betis,2025,La_liga
29296,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '0', 'a': '2'}","{'h': '0.735196', 'a': '1.17861'}",2025-11-30 15:15:00,"{'w': 0.23000064717380064, 'd': 0.3058495152199566, 'l': 0.46414983760325196}",w,Real Betis,2025,La_liga
29302,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '3', 'a': '5'}","{'h': '2.74214', 'a': '3.30288'}",2025-12-06 17:30:00,"{'w': 0.330557534818252, 'd': 0.16210079562941665, 'l': 0.50733930429268}",l,Real Betis,2025,La_liga
29313,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '0', 'a': '0'}","{'h': '2.1848', 'a': '0.788766'}",2025-12-15 20:00:00,"{'w': 0.6931915561418478, 'd': 0.18527734359879813, 'l': 0.12153108798562393}",d,Real Betis,2025,La_liga
29319,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '4', 'a': '0'}","{'h': '3.46022', 'a': '1.24726'}",2025-12-21 20:00:00,"{'w': 0.7875514460005175, 'd': 0.11668218572451865, 'l': 0.09576264167577124}",w,Real Betis,2025,La_liga
29334,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '5', 'a': '1'}","{'h': '3.0073', 'a': '0.974623'}",2026-01-04 15:15:00,"{'w': 0.780791443295303, 'd': 0.12910310816014361, 'l': 0.0901047579492911}",l,Real Betis,2025,La_liga
29343,True,a,"{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '1'}","{'h': '1.01026', 'a': '2.70809'}",2026-01-10 13:00:00,"{'w': 0.11582360955560819, 'd': 0.15255544648909392, 'l': 0.7316207547814002}",d,Real Betis,2025,La_liga
29352,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '2', 'a': '0'}","{'h': '1.34951', 'a': '1.17907'}",2026-01-17 20:00:00,"{'w': 0.4068334788965949, 'd': 0.2670688166348534, 'l': 0.32609770444613434}",w,Real Betis,2025,La_liga
29359,True,a,"{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '1'}","{'h': '1.67102', 'a': '1.78662'}",2026-01-25 20:00:00,"{'w': 0.36419226572962365, 'd': 0.2239543394949286, 'l': 0.4118533935514219}",l,Real Betis,2025,La_liga
29368,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'h': '2', 'a': '1'}","{'h': '2.16883', 'a': '1.88674'}",2026-02-01 15:15:00,"{'w': 0.4520699613207739, 'd': 0.20371093519992076, 'l': 0.3442190905262093}",w,Real Betis,2025,La_liga
29380,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '0', 'a': '1'}","{'h': '0.625525', 'a': '0.839838'}",2026-02-08 17:30:00,"{'w': 0.25214928798395536, 'd': 0.3692435310276158, 'l': 0.3786071809884033}",w,Real Betis,2025,La_liga
29396,True,a,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '2'}","{'h': '0.731317', 'a': '2.04841'}",2026-02-15 20:00:00,"{'w': 0.12255600124185194, 'd': 0.19620304823083476, 'l': 0.6812409452293989}",w,Real Betis,2025,La_liga
29402,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '1', 'a': '1'}","{'h': '2.13548', 'a': '1.30345'}",2026-02-21 15:15:00,"{'w': 0.5645571093623122, 'd': 0.2065980308564234, 'l': 0.2288448506462544}",d,Real Betis,2025,La_liga
29409,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '2', 'a': '2'}","{'h': '1.48441', 'a': '0.656164'}",2026-03-01 17:30:00,"{'w': 0.5725491273668184, 'd': 0.2632176810364481, 'l': 0.1642331915252568}",d,Real Betis,2025,La_liga
29423,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '0'}","{'h': '0.821088', 'a': '1.24912'}",2026-03-08 15:15:00,"{'w': 0.2440780117820225, 'd': 0.29276483648037877, 'l': 0.46315715173089367}",l,Real Betis,2025,La_liga
29431,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '1', 'a': '1'}","{'h': '1.87752', 'a': '0.646702'}",2026-03-15 17:30:00,"{'w': 0.66809882900153, 'd': 0.21123406532085476, 'l': 0.12066710399632088}",d,Real Betis,2025,La_liga
29439,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '1'}","{'h': '1.92715', 'a': '0.591202'}",2026-03-22 17:30:00,"{'w': 0.6929175600933545, 'd': 0.20212560267483173, 'l': 0.10495683485740008}",l,Real Betis,2025,La_liga
29450,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '0', 'a': '0'}","{'h': '2.00215', 'a': '0.144091'}",2026-04-04 16:30:00,"{'w': 0.8260365307394247, 'd': 0.15316633190305023, 'l': 0.020797133431256023}",d,Real Betis,2025,La_liga
29460,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '1', 'a': '1'}","{'h': '1.52928', 'a': '0.411183'}",2026-04-12 12:00:00,"{'w': 0.6540789137391045, 'd': 0.2491894904629876, 'l': 0.09673159569075598}",d,Real Betis,2025,La_liga
29485,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '3'}","{'h': '1.72891', 'a': '1.24954'}",2026-04-21 19:30:00,"{'w': 0.48657675015642293, 'd': 0.23647516594645768, 'l': 0.2769480833299624}",w,Real Betis,2025,La_liga
29474,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '1'}","{'h': '1.01953', 'a': '1.09576'}",2026-04-24 19:00:00,"{'w': 0.3315166753901137, 'd': 0.29796592197410926, 'l': 0.3705174026343016}",d,Real Betis,2025,La_liga
29492,True,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '289', 'title': 'Real Oviedo', 'short_title': 'OVI'}","{'h': '3', 'a': '0'}","{'h': '1.86882', 'a': '1.14971'}",2026-05-03 16:30:00,"{'w': 0.5417188613103712, 'd': 0.22572626260306985, 'l': 0.23255487450355156}",w,Real Betis,2025,La_liga
29504,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '2'}","{'h': '2.66557', 'a': '1.78903'}",2026-05-09 19:00:00,"{'w': 0.5667594923402772, 'd': 0.18089340284614738, 'l': 0.2523469487323779}",d,Real Betis,2025,La_liga
29509,False,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-12 18:00:00,,,Real Betis,2025,La_liga
29519,False,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-17 15:00:00,,,Real Betis,2025,La_liga
29529,False,h,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '151', 'title': 'Levante', 'short_title': 'LEV'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-24 15:00:00,,,Real Betis,2025,La_liga
